countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,03,001,101,1982,02630,0,0,0,0,1,1,1
840,03,001,101,1982,04120,0,0,0,0,1,1,1
840,03,001,101,1982,04661,0,7,7,2,1,12,17
840,03,001,101,1982,04840,1,0,0,0,0,1,1
840,03,001,101,1982,04860,0,0,0,2,0,1,2
840,03,001,101,1982,05280,0,0,1,0,0,1,1
840,03,001,101,1982,05540,1,0,0,1,0,2,2
840,03,001,101,1982,05670,3,2,5,2,4,15,16
840,03,001,101,1982,06140,0,0,2,0,0,1,2
840,03,001,101,1982,06150,0,0,0,1,8,5,9
840,03,001,101,1982,06180,0,0,5,0,0,1,5
840,03,001,101,1982,06460,2,4,0,4,2,12,12
840,03,001,101,1982,06550,2,0,3,2,0,6,7
840,03,001,101,1982,06750,0,0,1,0,0,1,1
840,03,001,101,1982,06800,0,0,0,1,0,1,1
840,03,001,101,1982,07490,1,0,0,0,0,1,1
840,03,001,101,1982,07570,4,10,0,0,0,12,14
840,03,001,101,1982,07580,0,0,6,1,1,7,8
840,03,001,101,1982,07610,0,0,0,0,1,1,1
840,03,001,101,1982,07630,0,2,0,0,0,2,2
840,03,001,101,1991,02300,0,0,2,0,0,2,2
840,03,001,101,1991,02550,0,0,1,0,1,2,2
840,03,001,101,1991,02630,0,0,1,1,1,3,3
840,03,001,101,1991,04120,0,0,2,0,0,2,2
840,03,001,101,1991,04590,3,2,0,1,0,5,6
840,03,001,101,1991,04661,7,6,18,7,10,29,48
840,03,001,101,1991,04680,2,0,0,0,0,2,2
840,03,001,101,1991,04840,3,5,6,6,7,21,27
840,03,001,101,1991,04860,0,0,2,0,0,2,2
840,03,001,101,1991,05220,1,2,0,2,0,4,5
840,03,001,101,1991,05420,0,0,1,0,0,1,1
840,03,001,101,1991,05540,2,0,9,5,4,16,20
840,03,001,101,1991,05670,25,28,15,13,18,44,99
840,03,001,101,1991,05830,2,1,4,0,0,7,7
840,03,001,101,1991,06140,0,0,1,0,0,1,1
840,03,001,101,1991,06150,0,0,0,3,2,3,5
840,03,001,101,1991,06180,0,2,0,1,0,2,3
840,03,001,101,1991,06460,2,2,5,1,2,12,12
840,03,001,101,1991,06550,8,4,5,2,1,16,20
840,03,001,101,1991,06850,0,0,0,0,1,1,1
840,03,001,101,1991,07400,0,0,0,1,0,1,1
840,03,001,101,1991,07490,1,0,0,0,1,2,2
840,03,001,101,1991,07540,2,0,0,1,3,6,6
840,03,001,101,1991,07570,1,0,0,0,0,1,1
840,03,001,101,1991,07580,11,20,16,8,10,37,65
840,03,001,101,1991,07590,0,0,0,2,0,2,2
840,03,001,101,1991,07610,6,1,8,3,0,16,18
840,03,001,101,1991,07630,13,12,3,0,1,21,29
840,03,001,101,1992,02630,0,0,2,0,0,2,2
840,03,001,101,1992,03370,1,0,0,0,0,1,1
840,03,001,101,1992,03600,0,0,0,1,0,1,1
840,03,001,101,1992,04120,0,0,0,1,1,2,2
840,03,001,101,1992,04590,5,0,0,0,0,4,5
840,03,001,101,1992,04661,5,6,12,4,3,21,30
840,03,001,101,1992,04680,0,0,0,1,4,5,5
840,03,001,101,1992,04840,2,1,4,3,3,12,13
840,03,001,101,1992,04860,0,0,2,0,1,2,3
840,03,001,101,1992,05150,1,1,0,0,1,3,3
840,03,001,101,1992,05220,1,4,7,4,3,18,19
840,03,001,101,1992,05280,1,1,0,0,0,2,2
840,03,001,101,1992,05540,3,6,13,3,2,18,27
840,03,001,101,1992,05670,19,15,12,10,8,41,64
840,03,001,101,1992,05830,1,3,5,0,0,8,9
840,03,001,101,1992,06150,0,0,0,3,5,5,8
840,03,001,101,1992,06180,0,0,1,0,1,2,2
840,03,001,101,1992,06460,3,3,2,6,1,12,15
840,03,001,101,1992,06520,0,0,0,0,1,1,1
840,03,001,101,1992,06550,2,2,10,2,1,14,17
840,03,001,101,1992,06850,0,0,0,1,0,1,1
840,03,001,101,1992,07400,0,0,1,0,1,2,2
840,03,001,101,1992,07490,0,1,1,1,1,4,4
840,03,001,101,1992,07540,1,0,0,1,3,4,5
840,03,001,101,1992,07570,2,0,0,0,0,1,2
840,03,001,101,1992,07580,10,16,14,14,5,34,59
840,03,001,101,1992,07590,0,0,2,3,1,5,6
840,03,001,101,1992,07610,3,1,5,0,1,9,10
840,03,001,101,1992,07630,5,6,1,1,1,12,14
840,03,001,101,1994,02630,0,1,0,0,1,2,2
840,03,001,101,1994,03600,0,0,0,2,0,2,2
840,03,001,101,1994,04120,0,0,0,2,0,2,2
840,03,001,101,1994,04590,1,0,1,0,0,2,2
840,03,001,101,1994,04661,3,4,7,1,1,14,16
840,03,001,101,1994,04680,3,2,4,3,5,16,17
840,03,001,101,1994,04840,2,2,2,0,1,7,7
840,03,001,101,1994,04860,0,0,1,0,0,1,1
840,03,001,101,1994,05150,1,2,0,0,1,4,4
840,03,001,101,1994,05220,1,0,3,0,33,5,37
840,03,001,101,1994,05280,0,0,0,0,1,1,1
840,03,001,101,1994,05540,4,7,8,3,2,20,24
840,03,001,101,1994,05600,1,0,0,0,0,1,1
840,03,001,101,1994,05670,27,21,12,9,8,42,77
840,03,001,101,1994,05830,1,4,6,0,1,12,12
