countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,06,001,101,1974,03160,5,8,2,0,3,7,18
840,06,001,101,1974,03490,0,0,0,0,1,1,1
840,06,001,101,1974,03600,0,0,0,0,1,1,1
840,06,001,101,1974,03960,1,0,0,0,0,1,1
840,06,001,101,1974,04200,1,0,0,0,0,1,1
840,06,001,101,1974,04470,5,0,2,0,0,6,7
840,06,001,101,1974,04540,6,4,0,0,0,5,10
840,06,001,101,1974,04570,0,0,1,1,2,4,4
840,06,001,101,1974,04740,10,45,41,51,47,34,194
840,06,001,101,1974,04860,4,3,5,9,0,16,21
840,06,001,101,1974,04920,93,1,0,0,0,3,94
840,06,001,101,1974,04950,1,0,0,10,0,4,11
840,06,001,101,1974,05011,0,0,2,7,1,6,10
840,06,001,101,1974,05040,1,0,0,0,0,1,1
840,06,001,101,1974,05190,1,7,10,0,0,6,18
840,06,001,101,1974,05520,17,10,8,1,2,19,38
840,06,001,101,1974,05730,12,9,8,2,14,23,45
840,06,001,101,1974,06220,0,4,1,1,1,6,7
840,06,001,101,1974,07030,1,2,5,4,1,11,13
840,06,001,101,1974,07080,0,0,1,0,2,2,3
840,06,001,101,1974,07150,0,0,0,0,2,1,2
840,06,001,101,1974,07210,1,0,0,0,0,1,1
840,06,001,101,1975,03160,8,6,4,0,1,13,19
840,06,001,101,1975,04200,1,0,0,0,1,2,2
840,06,001,101,1975,04470,3,4,3,0,0,7,10
840,06,001,101,1975,04540,1,1,0,0,0,2,2
840,06,001,101,1975,04570,2,0,1,2,1,5,6
840,06,001,101,1975,04691,0,0,1,0,0,1,1
840,06,001,101,1975,04740,17,23,31,50,18,41,139
840,06,001,101,1975,04860,6,3,2,9,6,15,26
840,06,001,101,1975,04920,0,0,2,0,0,1,2
840,06,001,101,1975,04950,0,0,2,0,0,2,2
840,06,001,101,1975,05011,9,9,2,2,4,13,26
840,06,001,101,1975,05190,3,6,6,1,10,13,26
840,06,001,101,1975,05520,0,13,8,2,1,14,24
840,06,001,101,1975,05730,29,10,5,8,5,25,57
840,06,001,101,1975,06220,0,0,3,0,4,4,7
840,06,001,101,1975,06340,0,1,0,0,0,1,1
840,06,001,101,1975,07020,0,0,1,0,0,1,1
840,06,001,101,1975,07030,4,2,12,3,2,18,23
840,06,001,101,1975,07080,0,2,0,0,0,1,2
840,06,001,101,1975,07150,0,1,0,9,0,6,10
840,06,001,101,1975,07210,1,0,0,0,0,1,1
840,06,001,101,1976,03160,18,1,1,1,3,15,24
840,06,001,101,1976,03370,0,0,2,1,1,3,4
840,06,001,101,1976,04200,0,0,0,2,1,2,3
840,06,001,101,1976,04470,2,0,2,0,0,3,4
840,06,001,101,1976,04540,0,0,0,1,0,1,1
840,06,001,101,1976,04570,0,5,0,0,0,2,5
840,06,001,101,1976,04740,9,31,34,87,78,39,239
840,06,001,101,1976,04860,3,2,0,5,4,10,14
840,06,001,101,1976,04920,0,0,1,0,0,1,1
840,06,001,101,1976,05011,3,3,4,9,1,12,20
840,06,001,101,1976,05040,0,0,5,0,3,4,8
840,06,001,101,1976,05190,3,0,9,3,0,9,15
840,06,001,101,1976,05520,3,10,1,13,1,13,28
840,06,001,101,1976,05600,1,0,0,0,0,1,1
840,06,001,101,1976,05730,9,7,0,1,9,13,26
840,06,001,101,1976,06150,0,0,1,0,0,1,1
840,06,001,101,1976,06220,0,0,2,0,0,1,2
840,06,001,101,1976,07030,3,3,4,1,1,9,12
840,06,001,101,1976,07080,0,0,0,0,4,3,4
840,06,001,101,1976,07150,0,0,0,3,2,3,5
840,06,001,101,1976,07190,1,0,0,0,0,1,1
840,06,001,101,1977,03160,14,4,0,0,1,11,19
840,06,001,101,1977,03370,0,0,1,1,1,3,3
840,06,001,101,1977,03750,1,0,0,0,0,1,1
840,06,001,101,1977,04470,2,2,3,2,0,7,9
840,06,001,101,1977,04480,0,0,1,0,0,1,1
840,06,001,101,1977,04540,7,2,3,0,0,11,12
840,06,001,101,1977,04570,1,1,3,1,0,5,6
840,06,001,101,1977,04740,20,49,41,100,45,42,255
840,06,001,101,1977,04860,5,2,5,3,2,12,17
840,06,001,101,1977,04920,1,1,1,0,0,3,3
840,06,001,101,1977,04950,0,0,0,10,2,2,12
840,06,001,101,1977,05011,8,10,8,4,3,19,33
840,06,001,101,1977,05040,0,1,2,0,0,3,3
840,06,001,101,1977,05190,5,8,6,1,0,11,20
840,06,001,101,1977,05520,7,0,1,2,1,10,11
840,06,001,101,1977,05620,0,1,0,0,0,1,1
840,06,001,101,1977,05730,8,3,3,8,10,21,32
840,06,001,101,1977,06220,0,0,1,0,2,3,3
840,06,001,101,1977,07030,6,9,9,2,5,23,31
840,06,001,101,1977,07080,1,1,0,0,4,4,6
840,06,001,101,1977,07150,0,0,0,8,0,6,8
840,06,001,101,1977,07190,1,0,0,0,0,1,1
840,06,001,101,1978,03160,11,1,2,2,0,11,16
840,06,001,101,1978,03370,0,0,1,1,0,2,2
840,06,001,101,1978,03490,0,1,0,0,0,1,1
840,06,001,101,1978,03960,1,0,0,0,0,1,1
840,06,001,101,1978,04320,0,0,0,1,0,1,1
840,06,001,101,1978,04470,0,0,1,0,0,1,1
840,06,001,101,1978,04480,0,0,3,0,0,3,3
840,06,001,101,1978,04540,3,1,2,0,0,6,6
840,06,001,101,1978,04570,0,2,0,1,0,2,3
840,06,001,101,1978,04691,3,0,0,0,0,3,3
840,06,001,101,1978,04740,16,28,40,42,27,36,153
840,06,001,101,1978,04860,7,6,4,1,2,16,20
840,06,001,101,1978,04920,1,2,0,0,0,2,3
840,06,001,101,1978,04930,0,3,0,0,0,1,3
840,06,001,101,1978,04950,3,1,2,0,0,4,6
840,06,001,101,1978,05011,4,6,4,1,2,14,17
840,06,001,101,1978,05190,0,3,7,0,0,6,10
840,06,001,101,1978,05520,0,0,2,3,2,7,7
840,06,001,101,1978,05600,1,0,0,0,0,1,1
840,06,001,101,1978,05620,5,4,0,0,4,10,13
840,06,001,101,1978,05730,11,10,2,1,8,19,32
840,06,001,101,1978,06050,0,0,0,0,5,1,5
840,06,001,101,1978,07020,0,0,0,0,3,2,3
840,06,001,101,1978,07030,21,16,24,2,3,29,66
840,06,001,101,1978,07150,0,0,0,11,0,5,11
840,06,001,101,1978,07190,1,0,1,0,0,2,2
840,06,001,101,1978,07430,2,0,0,0,0,1,2
840,06,001,101,1979,03160,4,0,3,1,0,5,8
840,06,001,101,1979,03370,0,0,0,0,1,1,1
840,06,001,101,1979,03490,0,0,0,1,0,1,1
840,06,001,101,1979,03600,4,2,5,1,0,6,12
840,06,001,101,1979,04200,0,0,0,1,0,1,1
840,06,001,101,1979,04480,2,1,1,0,0,3,4
840,06,001,101,1979,04540,7,7,1,0,0,8,15
840,06,001,101,1979,04570,8,0,6,1,4,13,19
840,06,001,101,1979,04740,3,33,22,49,3,26,110
840,06,001,101,1979,04810,4,1,0,0,0,2,5
840,06,001,101,1979,04860,17,1,3,6,0,12,27
840,06,001,101,1979,04920,14,0,2,0,3,5,19
840,06,001,101,1979,04950,0,2,0,0,0,1,2
840,06,001,101,1979,04970,0,2,0,0,0,1,2
840,06,001,101,1979,05011,5,10,5,0,0,14,20
840,06,001,101,1979,05040,2,1,1,0,0,4,4
840,06,001,101,1979,05190,8,8,0,0,0,5,16
840,06,001,101,1979,05520,0,3,0,0,0,2,3
840,06,001,101,1979,05600,5,0,1,0,0,3,6
840,06,001,101,1979,05620,3,0,1,1,0,4,5
840,06,001,101,1979,05650,2,0,0,0,0,1,2
840,06,001,101,1979,05730,9,4,2,3,2,17,20
840,06,001,101,1979,06220,1,4,1,0,6,8,12
840,06,001,101,1979,07030,12,8,2,0,2,17,24
840,06,001,101,1979,07080,0,1,0,0,0,1,1
840,06,001,101,1979,07150,2,0,4,6,0,3,12
840,06,001,101,1979,07190,0,1,0,0,0,1,1
840,06,001,101,1979,07210,0,1,0,0,0,1,1
840,06,001,101,1980,02950,1,0,0,0,0,1,1
840,06,001,101,1980,03160,8,2,0,2,0,10,12
840,06,001,101,1980,03600,0,0,0,1,0,1,1
840,06,001,101,1980,04130,2,0,0,0,0,2,2
840,06,001,101,1980,04290,0,0,0,0,1,1,1
840,06,001,101,1980,04480,0,3,5,0,1,7,9
840,06,001,101,1980,04540,2,0,0,0,1,3,3
840,06,001,101,1980,04570,1,0,0,0,0,1,1
840,06,001,101,1980,04691,2,0,0,0,0,2,2
840,06,001,101,1980,04740,22,38,59,81,17,38,217
840,06,001,101,1980,04860,3,4,0,2,2,5,11
840,06,001,101,1980,04920,0,11,2,0,0,4,13
840,06,001,101,1980,04950,1,1,0,0,0,2,2
840,06,001,101,1980,05011,7,20,28,5,0,25,60
840,06,001,101,1980,05190,0,1,0,3,0,3,4
840,06,001,101,1980,05520,2,0,1,0,0,3,3
840,06,001,101,1980,05620,2,3,0,1,0,5,6
840,06,001,101,1980,05730,4,5,4,6,7,15,26
840,06,001,101,1980,05880,5,1,0,1,0,6,7
840,06,001,101,1980,06170,0,0,1,0,0,1,1
840,06,001,101,1980,06220,0,2,0,0,0,2,2
840,06,001,101,1980,07030,13,4,6,0,5,18,28
840,06,001,101,1980,07070,1,0,0,0,0,1,1
840,06,001,101,1980,07080,0,0,2,0,2,2,4
840,06,001,101,1980,07150,0,0,1,1,0,2,2
840,06,001,101,1980,07331,1,0,0,0,0,1,1
840,06,001,101,1980,07380,0,1,0,0,0,1,1
840,06,001,101,1980,07670,1,0,0,0,0,1,1
840,06,001,101,1992,03160,8,4,2,0,0,8,14
840,06,001,101,1992,03370,0,0,1,0,1,2,2
840,06,001,101,1992,03560,0,1,0,0,0,1,1
840,06,001,101,1992,04130,1,0,0,0,0,1,1
840,06,001,101,1992,04200,0,0,0,0,2,1,2
840,06,001,101,1992,04480,2,3,4,0,1,7,10
840,06,001,101,1992,04540,3,4,0,0,1,6,8
840,06,001,101,1992,04740,73,30,48,44,30,48,225
840,06,001,101,1992,04860,3,3,3,16,9,16,34
840,06,001,101,1992,04920,0,0,8,0,9,8,17
840,06,001,101,1992,05011,4,15,14,13,11,36,57
840,06,001,101,1992,05520,3,9,13,3,11,21,39
840,06,001,101,1992,05730,0,0,0,0,9,3,9
840,06,001,101,1992,06220,0,0,0,0,1,1,1
840,06,001,101,1992,07030,16,18,16,1,12,38,63
840,06,001,101,1992,07150,0,0,0,4,0,4,4
840,06,001,101,1993,03160,10,7,3,0,0,13,20
840,06,001,101,1993,03600,1,0,0,0,0,1,1
840,06,001,101,1993,04470,0,0,2,0,0,1,2
840,06,001,101,1993,04480,2,0,0,0,0,1,2
840,06,001,101,1993,04540,5,4,2,0,0,9,11
840,06,001,101,1993,04740,19,27,34,61,26,43,167
840,06,001,101,1993,04860,4,7,3,2,1,12,17
840,06,001,101,1993,04920,1,7,26,0,0,10,34
840,06,001,101,1993,04930,1,0,0,0,0,1,1
840,06,001,101,1993,05011,11,13,11,15,11,41,61
840,06,001,101,1993,05520,8,12,10,9,1,24,40
840,06,001,101,1993,05730,4,2,5,0,4,11,15
840,06,001,101,1993,05910,0,0,0,0,1,1,1
840,06,001,101,1993,06220,0,0,0,0,1,1,1
840,06,001,101,1993,07030,22,14,8,3,5,31,52
840,06,001,101,1993,07150,0,0,0,2,0,2,2
840,06,001,101,1993,07670,2,0,0,0,0,1,2
840,06,002,101,1968,03160,11,10,1,6,0,18,28
840,06,002,101,1968,03600,1,0,0,0,0,1,1
840,06,002,101,1968,04200,0,0,0,0,1,1,1
840,06,002,101,1968,04290,0,0,0,0,2,2,2
840,06,002,101,1968,04470,3,1,2,1,0,6,7
840,06,002,101,1968,04540,0,0,4,1,3,7,8
840,06,002,101,1968,04570,2,1,1,0,0,3,4
840,06,002,101,1968,04620,4,0,0,0,0,3,4
840,06,002,101,1968,04691,0,1,0,0,3,4,4
840,06,002,101,1968,04740,47,10,0,0,0,12,57
840,06,002,101,1968,04810,0,0,0,0,1,1,1
840,06,002,101,1968,04860,8,1,0,0,0,6,9
840,06,002,101,1968,04920,23,385,12,18,35,26,473
840,06,002,101,1968,04950,0,1,2,0,1,3,4
840,06,002,101,1968,05520,0,4,2,0,0,3,6
840,06,002,101,1968,05600,0,0,0,8,6,7,14
840,06,002,101,1968,05730,6,20,35,10,4,20,75
840,06,002,101,1968,05740,0,0,0,8,0,1,8
840,06,002,101,1968,05880,0,0,0,8,13,8,21
840,06,002,101,1968,05960,0,0,0,0,1,1,1
840,06,002,101,1968,06220,1,0,0,0,0,1,1
840,06,002,101,1968,06292,0,0,0,0,4,3,4
840,06,002,101,1968,06340,0,0,1,0,0,1,1
840,06,002,101,1968,06650,0,0,0,2,7,7,9
840,06,002,101,1968,07030,2,2,3,0,0,4,7
840,06,002,101,1968,07150,0,0,0,6,0,4,6
840,06,002,101,1968,07270,0,0,0,1,0,1,1
840,06,002,101,1968,07331,0,0,4,10,16,8,30
840,06,002,101,1968,07380,0,0,0,1,0,1,1
840,06,002,101,1968,07430,0,0,0,4,0,2,4
840,06,002,101,1968,07510,0,0,0,2,4,4,6
840,06,002,101,1968,07670,0,0,1,0,0,1,1
840,06,002,101,1968,07680,0,3,0,2,1,4,6
840,06,002,101,1969,03160,8,12,8,1,0,20,29
840,06,002,101,1969,03600,0,0,2,0,1,3,3
840,06,002,101,1969,04470,1,0,0,0,0,1,1
840,06,002,101,1969,04540,0,6,0,2,1,5,9
840,06,002,101,1969,04570,1,0,0,0,0,1,1
840,06,002,101,1969,04691,0,0,2,0,4,5,6
840,06,002,101,1969,04740,25,6,1,0,0,12,32
840,06,002,101,1969,04860,2,0,0,0,0,2,2
840,06,002,101,1969,04920,10,57,19,52,6,20,144
840,06,002,101,1969,04950,0,1,0,0,0,1,1
