countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,07,001,101,1967,02010,2,0,0,1,0,2,3
840,07,001,101,1967,02730,1,0,0,0,0,1,1
840,07,001,101,1967,02890,11,7,11,7,3,30,39
840,07,001,101,1967,03160,10,0,6,4,2,18,22
840,07,001,101,1967,03250,0,0,0,0,3,2,3
840,07,001,101,1967,03390,0,0,0,1,0,1,1
840,07,001,101,1967,03870,1,1,2,0,0,3,4
840,07,001,101,1967,03900,0,0,0,1,0,1,1
840,07,001,101,1967,03930,0,1,0,0,0,1,1
840,07,001,101,1967,03940,0,0,0,0,1,1,1
840,07,001,101,1967,04050,0,0,3,0,1,3,4
840,07,001,101,1967,04060,1,0,0,1,1,3,3
840,07,001,101,1967,04090,2,1,2,2,1,8,8
840,07,001,101,1967,04120,1,1,2,3,1,6,8
840,07,001,101,1967,04160,6,0,0,0,0,4,6
840,07,001,101,1967,04200,1,0,0,0,0,1,1
840,07,001,101,1967,04230,2,0,0,0,0,2,2
840,07,001,101,1967,04280,0,0,0,0,1,1,1
840,07,001,101,1967,04440,5,3,5,3,0,14,16
840,07,001,101,1967,04520,0,0,0,0,1,1,1
840,07,001,101,1967,04560,0,0,1,0,0,1,1
840,07,001,101,1967,04610,4,6,7,3,2,17,22
840,07,001,101,1967,04650,1,1,3,2,0,7,7
840,07,001,101,1967,04770,0,6,5,6,7,16,24
840,07,001,101,1967,04880,3,3,1,0,0,6,7
840,07,001,101,1967,04900,0,1,0,1,0,2,2
840,07,001,101,1967,04930,0,0,0,3,0,2,3
840,07,001,101,1967,04950,1,1,0,1,0,3,3
840,07,001,101,1967,04980,8,0,0,2,0,4,10
840,07,001,101,1967,05010,7,0,1,0,0,5,8
840,07,001,101,1967,05060,11,7,4,7,2,19,31
840,07,001,101,1967,05110,0,0,0,12,0,5,12
840,07,001,101,1967,05600,2,11,0,1,0,7,14
840,07,001,101,1967,05870,0,0,1,0,0,1,1
840,07,001,101,1967,05930,16,14,21,13,12,40,76
840,07,001,101,1967,05970,3,2,0,1,0,4,6
840,07,001,101,1967,05980,9,6,7,12,7,26,41
840,07,001,101,1967,06100,3,4,5,3,1,12,16
840,07,001,101,1967,06110,28,35,1,15,0,13,79
840,07,001,101,1967,06220,5,1,0,3,1,7,10
840,07,001,101,1967,06240,0,2,1,0,9,7,12
840,07,001,101,1967,06280,0,1,2,1,1,5,5
840,07,001,101,1967,06310,5,4,9,3,10,21,31
840,07,001,101,1967,06360,0,0,0,1,0,1,1
840,07,001,101,1967,06370,0,0,0,1,0,1,1
840,07,001,101,1967,06390,0,2,0,2,1,5,5
840,07,001,101,1967,06710,0,4,4,0,7,10,15
840,07,001,101,1967,06730,1,0,1,0,0,2,2
840,07,001,101,1967,06770,1,2,3,0,2,8,8
840,07,001,101,1967,06810,7,3,0,4,2,13,16
840,07,001,101,1967,06830,4,8,8,3,3,22,26
840,07,001,101,1967,06840,0,1,4,1,1,6,7
840,07,001,101,1967,06870,1,0,1,0,0,2,2
840,07,001,101,1967,06882,0,0,0,0,1,1,1
840,07,001,101,1967,07030,13,2,3,6,3,16,27
840,07,001,101,1967,07040,0,2,0,0,0,2,2
840,07,001,101,1967,07050,1,1,0,1,1,4,4
840,07,001,101,1967,07180,1,12,6,8,9,23,36
840,07,001,101,1967,07290,0,0,0,0,2,2,2
840,07,001,101,1967,07310,0,4,6,1,10,15,21
840,07,001,101,1967,07360,0,2,1,2,3,7,8
840,07,001,101,1967,07510,0,1,2,1,2,6,6
840,07,001,101,1967,07550,6,8,3,6,1,16,24
840,07,001,101,1967,07610,1,2,1,7,0,8,11
840,07,001,101,1968,02010,2,0,0,1,0,2,3
840,07,001,101,1968,02890,16,15,9,4,4,27,48
840,07,001,101,1968,03160,15,3,2,4,1,17,25
840,07,001,101,1968,03870,1,0,1,1,1,4,4
840,07,001,101,1968,03930,0,0,1,0,0,1,1
840,07,001,101,1968,04050,0,0,1,1,0,2,2
840,07,001,101,1968,04060,1,2,4,2,0,7,9
840,07,001,101,1968,04090,0,2,2,0,2,4,6
840,07,001,101,1968,04120,0,1,1,1,0,3,3
840,07,001,101,1968,04160,6,0,0,0,0,4,6
840,07,001,101,1968,04200,1,0,0,0,0,1,1
840,07,001,101,1968,04230,0,1,4,1,0,3,6
840,07,001,101,1968,04280,1,1,0,1,0,3,3
840,07,001,101,1968,04440,3,2,2,1,0,6,8
840,07,001,101,1968,04520,0,0,0,2,0,1,2
840,07,001,101,1968,04610,0,0,3,4,0,5,7
840,07,001,101,1968,04770,3,5,0,3,6,13,17
840,07,001,101,1968,04880,1,2,11,1,0,9,15
840,07,001,101,1968,04900,0,0,1,0,0,1,1
840,07,001,101,1968,04930,1,0,0,4,0,3,5
840,07,001,101,1968,04950,0,1,2,2,1,4,6
840,07,001,101,1968,04980,11,2,0,3,0,9,16
840,07,001,101,1968,05010,0,2,1,1,0,4,4
840,07,001,101,1968,05060,14,12,1,6,1,18,34
