countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,18,001,101,1973,00470,2,0,0,0,0,1,2
840,18,001,101,1973,00510,35,0,0,0,0,7,35
840,18,001,101,1973,00540,1,0,4,0,0,2,5
840,18,001,101,1973,00700,2,0,0,0,0,1,2
840,18,001,101,1973,01320,0,0,0,1,0,1,1
840,18,001,101,1973,01440,0,0,1,0,0,1,1
840,18,001,101,1973,01940,1,0,0,0,0,1,1
840,18,001,101,1973,02010,0,0,0,1,0,1,1
840,18,001,101,1973,02890,2,15,13,5,10,27,45
840,18,001,101,1973,03131,2,0,6,1,1,4,10
840,18,001,101,1973,03160,9,3,7,2,8,13,29
840,18,001,101,1973,03250,0,0,0,0,6,1,6
840,18,001,101,1973,03600,0,0,3,1,0,2,4
840,18,001,101,1973,03870,1,4,1,0,3,7,9
840,18,001,101,1973,03880,0,0,1,0,0,1,1
840,18,001,101,1973,03930,0,0,0,2,0,1,2
840,18,001,101,1973,04120,0,4,0,5,3,10,12
840,18,001,101,1973,04230,1,0,0,15,1,6,17
840,18,001,101,1973,04440,0,1,1,1,3,5,6
840,18,001,101,1973,04520,0,0,1,0,1,2,2
840,18,001,101,1973,04560,1,0,1,0,2,4,4
840,18,001,101,1973,04610,1,4,2,0,0,6,7
840,18,001,101,1973,04670,0,0,1,0,0,1,1
840,18,001,101,1973,04770,2,12,4,3,8,19,29
840,18,001,101,1973,04880,16,12,10,3,6,25,47
840,18,001,101,1973,04930,5,4,5,14,30,15,58
840,18,001,101,1973,04950,0,4,6,7,2,13,19
840,18,001,101,1973,04980,3,2,11,11,6,17,33
840,18,001,101,1973,05010,0,0,3,4,2,3,9
840,18,001,101,1973,05070,2,7,4,7,8,21,28
840,18,001,101,1973,05110,10,9,14,9,5,23,47
840,18,001,101,1973,05290,0,1,0,0,0,1,1
840,18,001,101,1973,05600,1,2,2,5,2,9,12
840,18,001,101,1973,05630,3,5,1,2,4,11,15
840,18,001,101,1973,05810,6,1,1,3,5,15,16
840,18,001,101,1973,05870,1,3,3,2,8,11,17
840,18,001,101,1973,05930,4,4,1,1,1,8,11
840,18,001,101,1973,05950,0,1,0,0,0,1,1
840,18,001,101,1973,05980,2,1,0,1,2,5,6
840,18,001,101,1973,06080,0,0,0,1,0,1,1
840,18,001,101,1973,06130,1,0,1,3,5,7,10
840,18,001,101,1973,06140,0,2,0,0,1,3,3
840,18,001,101,1973,06160,0,0,0,0,1,1,1
840,18,001,101,1973,06190,0,0,0,2,0,1,2
840,18,001,101,1973,06240,1,3,2,2,2,10,10
840,18,001,101,1973,06310,1,0,0,0,0,1,1
840,18,001,101,1973,06360,0,4,1,2,0,7,7
840,18,001,101,1973,06410,1,4,4,1,2,10,12
840,18,001,101,1973,06520,1,1,5,0,0,6,7
840,18,001,101,1973,06590,0,1,0,0,1,2,2
840,18,001,101,1973,06730,0,2,1,1,2,5,6
840,18,001,101,1973,06740,0,4,1,1,1,5,7
840,18,001,101,1973,06810,1,3,1,1,1,6,7
840,18,001,101,1973,06830,0,1,0,0,0,1,1
840,18,001,101,1973,06870,0,0,3,1,0,3,4
840,18,001,101,1973,06882,17,0,2,10,5,10,34
840,18,001,101,1973,07030,1,0,0,0,4,2,5
840,18,001,101,1973,07040,4,6,4,3,1,12,18
840,18,001,101,1973,07050,0,0,1,0,0,1,1
840,18,001,101,1973,07210,3,3,3,3,3,14,15
840,18,001,101,1973,07270,0,2,0,0,0,1,2
840,18,001,101,1973,07310,0,0,0,0,2,1,2
840,18,001,101,1973,07350,1,1,4,0,1,5,7
840,18,001,101,1973,07550,2,3,0,3,2,9,10
840,18,001,101,1973,07560,0,1,5,1,0,5,7
840,18,001,101,1973,07610,14,4,6,7,8,22,39
840,18,001,101,1973,07660,0,1,1,0,1,3,3
840,18,001,101,1974,00510,23,8,1,1,0,15,33
840,18,001,101,1974,02010,1,0,0,0,0,1,1
840,18,001,101,1974,02890,0,13,12,5,3,21,33
840,18,001,101,1974,03131,4,8,0,2,0,4,14
840,18,001,101,1974,03160,11,5,4,2,15,21,37
840,18,001,101,1974,03600,0,1,1,0,0,2,2
840,18,001,101,1974,03870,0,3,0,0,0,1,3
840,18,001,101,1974,03900,0,0,1,0,0,1,1
840,18,001,101,1974,03930,0,1,0,0,1,2,2
840,18,001,101,1974,03940,1,0,0,0,1,2,2
840,18,001,101,1974,04120,0,2,3,2,2,8,9
840,18,001,101,1974,04230,0,0,0,17,3,5,20
840,18,001,101,1974,04440,0,0,1,1,2,4,4
840,18,001,101,1974,04520,0,1,3,0,0,4,4
840,18,001,101,1974,04560,1,1,2,1,0,5,5
840,18,001,101,1974,04610,0,0,0,1,0,1,1
840,18,001,101,1974,04770,4,8,1,3,7,20,23
840,18,001,101,1974,04880,15,22,19,8,6,36,70
840,18,001,101,1974,04930,19,6,16,16,10,26,67
840,18,001,101,1974,04950,0,0,3,1,3,5,7
840,18,001,101,1974,04980,3,9,9,22,9,20,52
840,18,001,101,1974,05010,0,0,0,0,2,1,2
840,18,001,101,1974,05070,7,7,3,4,6,20,27
840,18,001,101,1974,05110,16,7,9,3,6,17,41
840,18,001,101,1974,05170,0,0,0,0,1,1,1
840,18,001,101,1974,05190,1,0,0,0,0,1,1
840,18,001,101,1974,05290,0,0,3,3,0,3,6
840,18,001,101,1974,05600,3,1,8,10,3,16,25
840,18,001,101,1974,05630,2,3,0,2,4,7,11
840,18,001,101,1974,05810,8,7,6,11,5,28,37
840,18,001,101,1974,05870,2,5,4,2,2,11,15
840,18,001,101,1974,05930,8,7,1,3,3,16,22
840,18,001,101,1974,05980,1,1,0,0,1,3,3
840,18,001,101,1974,06080,0,0,1,2,1,3,4
840,18,001,101,1974,06130,0,4,2,4,2,9,12
840,18,001,101,1974,06140,0,1,1,1,0,3,3
840,18,001,101,1974,06240,0,5,3,9,3,17,20
840,18,001,101,1974,06280,0,0,0,0,1,1,1
840,18,001,101,1974,06310,0,0,1,0,0,1,1
840,18,001,101,1974,06360,0,1,0,1,0,2,2
840,18,001,101,1974,06410,0,5,6,1,1,9,13
840,18,001,101,1974,06520,0,0,1,0,0,1,1
840,18,001,101,1974,06590,1,1,4,0,0,5,6
840,18,001,101,1974,06730,0,3,1,0,1,4,5
840,18,001,101,1974,06740,0,2,2,1,0,3,5
840,18,001,101,1974,06810,4,4,6,7,5,20,26
840,18,001,101,1974,06882,18,6,6,12,5,15,47
840,18,001,101,1974,07030,0,2,2,1,3,8,8
840,18,001,101,1974,07040,3,10,3,2,9,19,27
840,18,001,101,1974,07050,1,0,1,1,4,5,7
840,18,001,101,1974,07180,0,0,1,0,0,1,1
840,18,001,101,1974,07210,3,5,6,0,2,9,16
840,18,001,101,1974,07270,0,0,0,0,1,1,1
840,18,001,101,1974,07310,1,3,3,3,0,9,10
840,18,001,101,1974,07350,4,3,3,0,1,8,11
840,18,001,101,1974,07550,4,3,1,2,2,11,12
840,18,001,101,1974,07560,0,0,5,0,0,1,5
840,18,001,101,1974,07610,17,7,5,9,5,26,43
840,18,001,101,1974,07660,0,0,4,0,0,1,4
840,18,001,101,1975,00470,2,0,0,0,0,2,2
840,18,001,101,1975,00510,49,2,2,1,0,11,54
840,18,001,101,1975,00540,1,0,0,0,0,1,1
840,18,001,101,1975,01440,0,2,0,1,0,2,3
840,18,001,101,1975,02010,1,0,0,1,0,2,2
840,18,001,101,1975,02730,0,1,2,2,1,5,6
840,18,001,101,1975,02890,0,7,3,9,1,13,20
840,18,001,101,1975,03131,3,0,0,0,0,1,3
840,18,001,101,1975,03160,7,9,5,5,8,21,34
840,18,001,101,1975,03430,0,0,0,1,2,2,3
840,18,001,101,1975,03600,0,0,0,1,0,1,1
840,18,001,101,1975,03870,0,0,1,0,1,2,2
840,18,001,101,1975,03930,0,1,0,0,0,1,1
840,18,001,101,1975,03940,0,1,0,0,0,1,1
840,18,001,101,1975,04120,1,0,3,4,4,11,12
840,18,001,101,1975,04230,0,0,0,17,1,5,18
840,18,001,101,1975,04440,1,1,2,0,3,7,7
840,18,001,101,1975,04520,0,0,1,1,3,4,5
840,18,001,101,1975,04560,0,3,6,2,2,11,13
840,18,001,101,1975,04610,0,0,0,2,0,2,2
840,18,001,101,1975,04770,5,5,4,5,8,18,27
840,18,001,101,1975,04880,15,15,6,10,4,25,50
840,18,001,101,1975,04930,24,20,15,16,10,32,85
840,18,001,101,1975,04950,0,5,2,5,5,9,17
840,18,001,101,1975,04980,8,7,17,16,9,28,57
840,18,001,101,1975,05010,0,0,2,6,5,9,13
840,18,001,101,1975,05070,0,5,6,4,5,18,20
840,18,001,101,1975,05110,8,6,7,9,2,17,32
840,18,001,101,1975,05170,0,0,1,0,0,1,1
840,18,001,101,1975,05190,2,0,0,0,0,1,2
840,18,001,101,1975,05290,0,3,2,0,0,3,5
840,18,001,101,1975,05600,0,2,8,1,1,8,12
840,18,001,101,1975,05630,2,6,0,0,7,12,15
840,18,001,101,1975,05810,10,4,6,4,4,19,28
840,18,001,101,1975,05870,2,2,2,3,4,10,13
840,18,001,101,1975,05930,10,3,2,3,2,15,20
840,18,001,101,1975,05950,0,0,0,0,2,1,2
840,18,001,101,1975,05980,1,0,0,0,1,2,2
840,18,001,101,1975,06080,0,0,1,0,1,2,2
840,18,001,101,1975,06130,0,0,5,9,2,11,16
840,18,001,101,1975,06140,0,0,1,0,1,2,2
840,18,001,101,1975,06190,0,0,0,2,0,1,2
840,18,001,101,1975,06240,1,2,4,4,3,13,14
840,18,001,101,1975,06310,0,0,1,2,1,4,4
840,18,001,101,1975,06360,0,1,1,0,0,2,2
840,18,001,101,1975,06410,2,5,1,2,3,10,13
840,18,001,101,1975,06520,0,0,6,0,1,4,7
840,18,001,101,1975,06590,0,2,1,1,2,6,6
840,18,001,101,1975,06730,2,1,3,1,5,9,12
840,18,001,101,1975,06740,0,2,3,3,3,8,11
840,18,001,101,1975,06810,6,4,7,5,2,21,24
840,18,001,101,1975,06882,22,2,3,6,4,12,37
840,18,001,101,1975,07030,1,1,1,1,4,8,8
840,18,001,101,1975,07040,5,9,4,3,4,19,25
840,18,001,101,1975,07050,1,0,1,1,3,6,6
840,18,001,101,1975,07180,0,0,0,2,0,2,2
840,18,001,101,1975,07210,0,1,0,1,3,4,5
840,18,001,101,1975,07270,0,1,2,0,0,3,3
840,18,001,101,1975,07310,2,6,2,2,1,11,13
840,18,001,101,1975,07350,0,7,0,1,2,7,10
840,18,001,101,1975,07550,1,5,3,5,1,14,15
840,18,001,101,1975,07560,0,1,1,0,0,2,2
840,18,001,101,1975,07610,13,1,4,6,3,18,27
840,18,001,101,1975,07660,0,0,1,0,2,2,3
840,18,001,101,1976,00470,1,0,0,0,0,1,1
840,18,001,101,1976,00510,29,3,3,4,1,16,40
840,18,001,101,1976,01320,4,0,0,1,0,2,5
840,18,001,101,1976,02730,0,0,0,1,0,1,1
840,18,001,101,1976,02890,0,7,5,3,4,13,19
840,18,001,101,1976,03131,1,0,0,1,0,2,2
840,18,001,101,1976,03160,9,7,4,6,7,18,33
840,18,001,101,1976,03370,0,0,0,2,0,2,2
840,18,001,101,1976,03390,0,0,1,0,0,1,1
840,18,001,101,1976,03430,0,0,1,0,0,1,1
840,18,001,101,1976,03600,2,0,0,0,0,1,2
840,18,001,101,1976,03940,0,1,0,3,0,2,4
840,18,001,101,1976,04120,0,3,0,1,1,5,5
840,18,001,101,1976,04230,2,0,0,2,6,7,10
840,18,001,101,1976,04440,0,0,2,1,1,4,4
840,18,001,101,1976,04520,1,4,0,0,3,8,8
840,18,001,101,1976,04560,0,1,3,1,2,6,7
840,18,001,101,1976,04610,1,0,1,2,1,4,5
840,18,001,101,1976,04670,0,0,2,0,0,1,2
840,18,001,101,1976,04770,6,7,4,2,4,15,23
840,18,001,101,1976,04880,20,14,11,8,1,26,54
840,18,001,101,1976,04930,26,10,6,33,14,23,89
840,18,001,101,1976,04950,0,1,2,6,1,8,10
840,18,001,101,1976,04980,8,2,6,13,4,17,33
840,18,001,101,1976,05010,0,0,0,6,1,4,7
840,18,001,101,1976,05070,2,6,1,1,5,11,15
840,18,001,101,1976,05110,3,9,6,1,3,17,22
840,18,001,101,1976,05170,0,1,0,0,0,1,1
840,18,001,101,1976,05290,0,0,2,1,4,3,7
840,18,001,101,1976,05600,1,0,1,1,1,4,4
840,18,001,101,1976,05630,0,0,2,1,6,5,9
840,18,001,101,1976,05810,6,3,4,3,7,17,23
840,18,001,101,1976,05870,1,4,2,3,0,8,10
840,18,001,101,1976,05930,8,7,2,3,2,16,22
840,18,001,101,1976,05980,0,0,0,3,1,2,4
840,18,001,101,1976,06080,0,0,1,2,0,2,3
840,18,001,101,1976,06130,2,1,2,2,1,6,8
840,18,001,101,1976,06140,0,1,0,0,0,1,1
840,18,001,101,1976,06240,1,1,5,5,1,11,13
840,18,001,101,1976,06280,0,1,0,3,0,3,4
840,18,001,101,1976,06310,0,0,0,1,0,1,1
840,18,001,101,1976,06360,0,2,1,0,0,3,3
840,18,001,101,1976,06410,1,1,3,0,1,6,6
840,18,001,101,1976,06520,0,1,5,1,2,7,9
840,18,001,101,1976,06590,0,2,0,0,0,2,2
840,18,001,101,1976,06730,0,1,3,1,3,5,8
840,18,001,101,1976,06740,0,3,3,1,0,6,7
840,18,001,101,1976,06810,4,1,3,7,2,13,17
840,18,001,101,1976,06830,0,0,0,1,0,1,1
840,18,001,101,1976,06870,0,0,3,0,0,3,3
840,18,001,101,1976,06882,13,3,0,3,0,6,19
840,18,001,101,1976,07030,6,1,2,7,5,18,21
840,18,001,101,1976,07040,6,2,10,3,6,18,27
840,18,001,101,1976,07050,0,0,1,0,2,3,3
840,18,001,101,1976,07180,0,0,0,1,1,2,2
840,18,001,101,1976,07210,5,2,6,5,1,15,19
840,18,001,101,1976,07260,0,1,0,0,0,1,1
840,18,001,101,1976,07270,0,0,1,0,0,1,1
840,18,001,101,1976,07310,1,4,1,0,0,4,6
840,18,001,101,1976,07350,1,3,1,1,3,7,9
840,18,001,101,1976,07550,0,3,1,2,3,9,9
840,18,001,101,1976,07560,0,1,6,0,0,4,7
840,18,001,101,1976,07610,3,6,8,2,5,20,24
840,18,001,101,1976,07660,0,0,1,0,1,2,2
840,18,001,101,1977,00510,36,5,6,1,0,15,48
840,18,001,101,1977,01320,3,0,0,4,0,3,7
840,18,001,101,1977,01782,2,0,0,0,0,1,2
840,18,001,101,1977,02730,0,0,0,3,0,1,3
840,18,001,101,1977,02890,3,6,6,4,0,12,19
840,18,001,101,1977,03160,7,18,21,8,11,30,65
840,18,001,101,1977,03600,1,0,0,0,0,1,1
840,18,001,101,1977,03930,0,1,0,0,0,1,1
840,18,001,101,1977,03940,0,0,1,2,0,3,3
840,18,001,101,1977,04120,2,2,3,0,1,6,8
840,18,001,101,1977,04230,1,1,0,10,4,7,16
840,18,001,101,1977,04440,2,1,2,1,5,10,11
840,18,001,101,1977,04520,0,0,0,1,0,1,1
840,18,001,101,1977,04560,1,0,1,2,0,4,4
840,18,001,101,1977,04610,0,0,1,3,0,4,4
840,18,001,101,1977,04670,0,0,4,0,0,2,4
840,18,001,101,1977,04770,6,2,1,3,0,9,12
840,18,001,101,1977,04880,13,11,7,8,7,24,46
840,18,001,101,1977,04930,9,19,44,51,13,20,136
840,18,001,101,1977,04950,0,0,2,1,3,4,6
840,18,001,101,1977,04980,2,3,12,12,6,20,35
840,18,001,101,1977,05010,0,0,2,1,0,2,3
840,18,001,101,1977,05060,0,0,0,0,2,1,2
840,18,001,101,1977,05070,2,3,2,3,3,12,13
840,18,001,101,1977,05110,6,9,6,0,3,11,24
840,18,001,101,1977,05170,0,0,0,0,2,2,2
840,18,001,101,1977,05190,2,0,0,1,1,4,4
840,18,001,101,1977,05290,1,1,6,0,7,8,15
840,18,001,101,1977,05600,0,1,2,8,4,9,15
840,18,001,101,1977,05630,0,0,0,3,1,3,4
840,18,001,101,1977,05810,9,3,2,2,6,20,22
840,18,001,101,1977,05870,1,3,4,3,4,10,15
840,18,001,101,1977,05930,5,5,4,4,4,19,22
840,18,001,101,1977,05950,0,1,0,0,0,1,1
840,18,001,101,1977,05980,1,0,0,2,3,5,6
840,18,001,101,1977,06080,0,3,1,1,2,7,7
840,18,001,101,1977,06130,1,3,6,2,5,9,17
840,18,001,101,1977,06170,0,0,0,1,0,1,1
840,18,001,101,1977,06190,0,0,0,0,1,1,1
840,18,001,101,1977,06240,0,3,4,5,2,12,14
840,18,001,101,1977,06280,0,0,2,1,0,3,3
840,18,001,101,1977,06310,0,0,0,1,0,1,1
840,18,001,101,1977,06360,0,0,1,0,0,1,1
840,18,001,101,1977,06410,0,2,3,0,1,5,6
840,18,001,101,1977,06520,0,0,4,2,0,5,6
840,18,001,101,1977,06590,0,1,1,0,0,2,2
840,18,001,101,1977,06670,0,0,0,0,1,1,1
840,18,001,101,1977,06730,2,1,0,1,5,7,9
840,18,001,101,1977,06740,0,4,4,1,0,6,9
840,18,001,101,1977,06810,4,5,4,3,3,17,19
840,18,001,101,1977,06870,0,0,2,1,0,3,3
840,18,001,101,1977,06882,16,5,0,5,1,9,27
840,18,001,101,1977,07030,5,2,1,1,3,9,12
840,18,001,101,1977,07040,5,6,5,2,4,16,22
840,18,001,101,1977,07050,0,1,1,0,0,2,2
840,18,001,101,1977,07210,2,3,4,1,2,12,12
840,18,001,101,1977,07270,0,0,2,0,0,2,2
840,18,001,101,1977,07310,1,11,3,0,0,7,15
840,18,001,101,1977,07350,0,4,1,0,2,6,7
840,18,001,101,1977,07510,0,0,2,2,0,2,4
840,18,001,101,1977,07550,4,9,2,2,4,15,21
840,18,001,101,1977,07560,0,3,4,0,0,4,7
840,18,001,101,1977,07610,11,1,2,8,4,15,26
840,18,001,101,1978,00510,30,2,6,0,0,11,38
840,18,001,101,1978,01320,4,0,0,0,1,3,5
840,18,001,101,1978,01440,0,0,5,0,0,1,5
840,18,001,101,1978,01782,2,0,0,0,0,1,2
840,18,001,101,1978,02010,0,0,1,0,0,1,1
840,18,001,101,1978,02730,0,1,2,0,0,2,3
840,18,001,101,1978,02890,0,7,3,2,0,8,12
840,18,001,101,1978,03131,0,0,1,0,0,1,1
840,18,001,101,1978,03160,10,9,12,7,5,25,43
840,18,001,101,1978,03370,0,0,0,1,2,3,3
840,18,001,101,1978,03430,0,0,0,1,0,1,1
840,18,001,101,1978,03600,0,0,0,0,1,1,1
840,18,001,101,1978,03880,0,0,0,1,0,1,1
840,18,001,101,1978,03900,1,0,0,0,0,1,1
840,18,001,101,1978,03940,0,0,1,0,0,1,1
840,18,001,101,1978,04120,2,0,4,1,3,8,10
840,18,001,101,1978,04230,4,3,3,0,1,4,11
840,18,001,101,1978,04280,0,1,0,0,0,1,1
840,18,001,101,1978,04440,1,4,5,1,4,12,15
840,18,001,101,1978,04520,1,0,1,0,2,4,4
840,18,001,101,1978,04560,2,0,1,2,0,4,5
840,18,001,101,1978,04610,0,0,1,1,1,3,3
840,18,001,101,1978,04670,0,0,1,0,0,1,1
840,18,001,101,1978,04770,9,7,2,5,3,19,26
840,18,001,101,1978,04880,25,16,10,12,12,32,75
840,18,001,101,1978,04930,4,13,42,25,9,21,93
840,18,001,101,1978,04950,1,1,4,0,0,4,6
840,18,001,101,1978,04980,5,5,14,7,11,16,42
840,18,001,101,1978,05010,0,0,0,3,0,2,3
840,18,001,101,1978,05070,1,1,3,2,0,6,7
840,18,001,101,1978,05110,2,14,9,1,0,13,26
840,18,001,101,1978,05170,1,0,1,0,1,3,3
840,18,001,101,1978,05190,6,5,0,0,0,6,11
840,18,001,101,1978,05290,0,1,1,1,4,5,7
840,18,001,101,1978,05600,0,2,2,2,8,10,14
840,18,001,101,1978,05630,0,0,0,3,2,3,5
840,18,001,101,1978,05810,7,6,4,8,5,26,30
840,18,001,101,1978,05870,1,2,0,1,4,6,8
840,18,001,101,1978,05930,19,5,5,3,2,20,34
840,18,001,101,1978,05980,0,0,0,4,3,4,7
840,18,001,101,1978,06080,1,1,1,1,1,5,5
840,18,001,101,1978,06130,2,1,4,1,2,9,10
840,18,001,101,1978,06140,0,0,1,0,2,3,3
840,18,001,101,1978,06160,0,0,0,0,1,1,1
840,18,001,101,1978,06190,0,0,0,0,2,1,2
840,18,001,101,1978,06240,0,2,3,5,4,12,14
840,18,001,101,1978,06310,1,0,2,0,1,4,4
840,18,001,101,1978,06360,0,1,0,0,0,1,1
840,18,001,101,1978,06410,0,2,5,0,4,10,11
840,18,001,101,1978,06520,1,4,6,0,0,7,11
840,18,001,101,1978,06590,0,3,0,0,0,3,3
840,18,001,101,1978,06670,0,1,0,0,0,1,1
840,18,001,101,1978,06730,0,0,1,1,4,5,6
840,18,001,101,1978,06740,2,1,2,4,1,7,10
840,18,001,101,1978,06750,0,0,1,0,0,1,1
840,18,001,101,1978,06810,4,2,6,3,0,12,15
840,18,001,101,1978,06830,1,0,0,0,0,1,1
840,18,001,101,1978,06870,0,0,4,0,0,3,4
840,18,001,101,1978,06882,18,2,0,10,1,10,31
840,18,001,101,1978,07030,3,2,0,0,9,11,14
840,18,001,101,1978,07040,6,8,5,5,4,20,28
840,18,001,101,1978,07050,1,0,0,0,1,2,2
840,18,001,101,1978,07180,3,1,0,0,0,3,4
840,18,001,101,1978,07210,0,2,2,1,1,5,6
840,18,001,101,1978,07270,0,1,0,0,1,2,2
840,18,001,101,1978,07310,3,4,2,0,2,9,11
840,18,001,101,1978,07350,4,4,7,2,2,12,19
840,18,001,101,1978,07550,4,6,1,4,3,14,18
840,18,001,101,1978,07560,0,2,6,1,0,5,9
840,18,001,101,1978,07610,13,2,6,9,4,19,34
840,18,001,101,1979,00510,28,4,0,0,0,10,32
840,18,001,101,1979,01200,1,0,0,0,0,1,1
840,18,001,101,1979,01320,6,0,0,0,0,2,6
840,18,001,101,1979,01440,0,0,1,0,0,1,1
840,18,001,101,1979,01782,5,0,0,0,0,1,5
840,18,001,101,1979,02010,1,0,0,0,0,1,1
840,18,001,101,1979,02730,0,0,0,2,0,1,2
840,18,001,101,1979,02890,1,7,4,3,0,13,15
840,18,001,101,1979,03131,4,0,0,0,0,2,4
840,18,001,101,1979,03160,3,8,5,3,5,21,24
840,18,001,101,1979,03370,0,0,0,0,1,1,1
840,18,001,101,1979,03390,0,0,1,0,0,1,1
840,18,001,101,1979,03600,0,0,0,0,2,1,2
840,18,001,101,1979,03940,0,0,3,0,1,3,4
840,18,001,101,1979,04120,2,1,1,1,2,7,7
840,18,001,101,1979,04230,4,6,1,10,0,7,21
840,18,001,101,1979,04280,0,1,0,0,0,1,1
840,18,001,101,1979,04440,0,2,0,0,0,2,2
840,18,001,101,1979,04520,0,0,1,0,0,1,1
840,18,001,101,1979,04560,0,2,2,1,3,8,8
840,18,001,101,1979,04610,0,0,1,1,2,4,4
840,18,001,101,1979,04670,0,0,1,0,0,1,1
840,18,001,101,1979,04770,7,5,2,1,3,14,18
840,18,001,101,1979,04880,13,13,5,3,2,19,36
840,18,001,101,1979,04930,11,28,14,50,37,26,140
840,18,001,101,1979,04950,0,2,2,1,2,7,7
840,18,001,101,1979,04980,2,3,6,11,7,15,29
840,18,001,101,1979,05010,0,0,1,1,0,2,2
840,18,001,101,1979,05070,2,2,0,2,6,8,12
840,18,001,101,1979,05110,4,9,1,3,2,9,19
840,18,001,101,1979,05190,5,2,1,0,1,6,9
840,18,001,101,1979,05290,0,1,1,0,2,3,4
840,18,001,101,1979,05600,0,1,1,1,6,6,9
840,18,001,101,1979,05630,0,0,0,0,2,1,2
840,18,001,101,1979,05810,4,2,1,3,3,13,13
840,18,001,101,1979,05870,0,0,2,4,2,8,8
840,18,001,101,1979,05930,4,4,1,4,3,14,16
840,18,001,101,1979,05980,0,0,0,2,0,2,2
840,18,001,101,1979,06080,0,1,2,3,4,10,10
840,18,001,101,1979,06130,7,3,7,1,8,10,26
840,18,001,101,1979,06140,0,0,1,2,2,4,5
840,18,001,101,1979,06190,0,0,2,0,0,1,2
840,18,001,101,1979,06240,1,3,5,5,1,14,15
840,18,001,101,1979,06280,0,0,2,1,0,3,3
840,18,001,101,1979,06310,1,2,3,0,0,6,6
840,18,001,101,1979,06360,0,0,4,0,0,4,4
840,18,001,101,1979,06390,0,0,0,1,0,1,1
840,18,001,101,1979,06410,0,1,1,5,1,6,8
840,18,001,101,1979,06520,2,1,4,2,1,8,10
840,18,001,101,1979,06730,0,2,0,1,0,2,3
840,18,001,101,1979,06740,0,0,5,3,1,9,9
840,18,001,101,1979,06810,7,4,6,4,3,22,24
840,18,001,101,1979,06840,0,0,1,0,0,1,1
840,18,001,101,1979,06870,0,0,2,0,0,2,2
840,18,001,101,1979,06882,4,6,10,2,1,8,23
840,18,001,101,1979,07030,5,5,2,1,3,14,16
840,18,001,101,1979,07040,9,11,3,0,6,21,29
840,18,001,101,1979,07050,0,0,0,1,0,1,1
840,18,001,101,1979,07180,0,0,0,0,1,1,1
840,18,001,101,1979,07210,2,4,5,1,3,13,15
840,18,001,101,1979,07270,0,1,4,0,1,5,6
840,18,001,101,1979,07310,1,1,7,1,0,8,10
840,18,001,101,1979,07350,3,3,1,0,0,4,7
840,18,001,101,1979,07510,0,0,1,0,0,1,1
840,18,001,101,1979,07550,0,1,2,6,3,10,12
840,18,001,101,1979,07560,0,0,3,1,0,4,4
840,18,001,101,1979,07610,8,8,2,3,3,17,24
840,18,001,101,1980,00470,1,0,0,0,0,1,1
840,18,001,101,1980,00510,47,0,0,0,0,8,47
840,18,001,101,1980,01320,2,0,0,13,2,4,17
840,18,001,101,1980,02010,2,1,0,0,0,3,3
840,18,001,101,1980,02020,1,0,0,0,0,1,1
840,18,001,101,1980,02730,0,0,0,1,0,1,1
840,18,001,101,1980,02890,2,4,0,2,1,8,9
840,18,001,101,1980,03131,3,0,0,1,0,3,4
840,18,001,101,1980,03160,6,8,3,3,5,17,25
840,18,001,101,1980,03370,0,0,0,0,1,1,1
840,18,001,101,1980,03600,0,0,0,0,1,1,1
840,18,001,101,1980,03870,0,0,0,1,0,1,1
840,18,001,101,1980,03880,0,0,1,0,0,1,1
840,18,001,101,1980,03940,0,1,0,1,0,2,2
840,18,001,101,1980,04120,0,0,0,0,2,1,2
840,18,001,101,1980,04230,1,0,0,4,2,5,7
840,18,001,101,1980,04280,0,0,0,0,1,1,1
840,18,001,101,1980,04440,0,1,0,1,1,3,3
840,18,001,101,1980,04520,0,1,2,1,3,6,7
840,18,001,101,1980,04560,0,1,0,3,0,3,4
840,18,001,101,1980,04610,0,0,1,2,2,4,5
840,18,001,101,1980,04670,0,0,3,0,0,2,3
840,18,001,101,1980,04770,2,4,3,4,6,14,19
840,18,001,101,1980,04880,19,12,4,3,0,20,38
840,18,001,101,1980,04930,7,11,14,28,8,22,68
840,18,001,101,1980,04950,4,1,0,3,0,5,8
840,18,001,101,1980,04980,6,1,10,13,8,18,38
