countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,33,001,101,1972,01320,0,3,9,0,0,6,12
840,33,001,101,1972,01400,0,0,2,0,0,1,2
840,33,001,101,1972,02300,0,0,0,2,0,2,2
840,33,001,101,1972,02730,1,0,1,0,1,3,3
840,33,001,101,1972,03000,0,1,0,0,2,3,3
840,33,001,101,1972,03160,1,5,0,0,5,6,11
840,33,001,101,1972,03600,0,1,0,0,0,1,1
840,33,001,101,1972,03900,2,0,4,0,0,5,6
840,33,001,101,1972,04021,2,1,0,0,3,4,6
840,33,001,101,1972,04050,0,0,1,0,0,1,1
840,33,001,101,1972,04200,0,1,0,0,0,1,1
840,33,001,101,1972,04440,0,2,0,0,0,1,2
840,33,001,101,1972,04590,0,0,0,0,1,1,1
840,33,001,101,1972,04620,1,1,0,0,0,2,2
840,33,001,101,1972,04640,2,1,1,0,0,3,4
840,33,001,101,1972,04680,0,1,0,0,0,1,1
840,33,001,101,1972,04690,0,1,1,0,2,4,4
840,33,001,101,1972,04840,0,0,0,0,1,1,1
840,33,001,101,1972,04880,12,14,21,11,3,19,61
840,33,001,101,1972,04930,0,0,0,14,0,3,14
840,33,001,101,1972,04970,0,2,9,0,0,3,11
840,33,001,101,1972,04980,2,11,23,8,5,12,49
840,33,001,101,1972,05011,6,0,2,7,3,10,18
840,33,001,101,1972,05100,0,2,0,0,0,2,2
840,33,001,101,1972,05140,0,7,0,0,0,1,7
840,33,001,101,1972,05190,1,0,2,0,0,2,3
840,33,001,101,1972,05210,0,0,0,4,0,1,4
840,33,001,101,1972,05290,0,1,0,0,0,1,1
840,33,001,101,1972,05330,11,18,18,50,6,18,103
840,33,001,101,1972,05600,0,5,8,0,4,16,17
840,33,001,101,1972,05671,6,0,3,2,4,10,15
840,33,001,101,1972,05810,0,3,6,3,0,7,12
840,33,001,101,1972,05990,0,0,1,1,0,2,2
840,33,001,101,1972,06120,0,0,3,5,1,3,9
840,33,001,101,1972,06130,4,3,0,2,0,3,9
840,33,001,101,1972,06140,0,0,0,4,0,1,4
840,33,001,101,1972,06150,2,0,8,2,0,3,12
840,33,001,101,1972,06160,0,0,0,0,5,1,5
840,33,001,101,1972,06170,0,0,0,2,0,1,2
840,33,001,101,1972,06190,2,0,0,0,0,1,2
840,33,001,101,1972,06240,4,5,8,14,5,23,36
840,33,001,101,1972,06270,0,0,1,0,0,1,1
840,33,001,101,1972,06291,4,1,3,1,2,8,11
840,33,001,101,1972,06450,0,0,0,1,0,1,1
840,33,001,101,1972,06460,3,1,0,0,0,4,4
840,33,001,101,1972,06520,11,6,5,6,4,20,32
840,33,001,101,1972,06560,2,0,1,4,4,7,11
840,33,001,101,1972,06680,0,0,0,3,4,5,7
840,33,001,101,1972,06800,2,1,2,0,0,5,5
840,33,001,101,1972,06810,0,0,3,1,1,4,5
840,33,001,101,1972,06870,0,0,0,2,0,2,2
840,33,001,101,1972,06882,10,0,0,0,0,1,10
840,33,001,101,1972,07221,1,0,0,0,0,1,1
840,33,001,101,1972,07280,0,2,0,1,6,8,9
840,33,001,101,1972,07350,1,5,8,0,5,9,19
840,33,001,101,1972,07490,0,1,0,0,0,1,1
840,33,001,101,1972,07560,2,1,0,0,1,3,4
840,33,001,101,1972,07580,8,2,2,0,2,11,14
840,33,001,101,1972,07590,0,2,0,0,2,3,4
840,33,001,101,1972,07610,9,6,3,5,5,15,28
840,33,001,101,1972,07630,0,0,0,0,3,2,3
840,33,001,101,1973,00060,0,9,0,0,0,1,9
840,33,001,101,1973,01290,0,0,1,0,0,1,1
840,33,001,101,1973,01320,0,2,8,0,0,2,10
840,33,001,101,1973,01410,0,0,2,0,0,1,2
840,33,001,101,1973,01500,0,0,2,0,0,1,2
840,33,001,101,1973,01940,0,0,2,1,0,3,3
840,33,001,101,1973,02210,0,0,6,0,0,2,6
840,33,001,101,1973,02300,0,4,1,1,4,9,10
840,33,001,101,1973,02730,0,0,1,2,0,3,3
840,33,001,101,1973,03000,0,0,0,0,1,1,1
840,33,001,101,1973,03091,0,0,0,1,0,1,1
840,33,001,101,1973,03160,0,0,0,2,1,2,3
840,33,001,101,1973,03600,0,0,0,1,0,1,1
840,33,001,101,1973,03930,0,0,1,0,0,1,1
840,33,001,101,1973,04021,0,0,0,1,1,2,2
840,33,001,101,1973,04050,0,1,0,0,0,1,1
840,33,001,101,1973,04220,0,0,0,3,0,1,3
840,33,001,101,1973,04240,0,0,0,6,0,1,6
840,33,001,101,1973,04440,2,1,0,0,0,3,3
840,33,001,101,1973,04590,0,2,0,0,1,3,3
840,33,001,101,1973,04620,1,0,0,1,1,3,3
840,33,001,101,1973,04660,0,0,0,1,0,1,1
840,33,001,101,1973,04690,1,1,2,1,3,8,8
840,33,001,101,1973,04860,0,4,2,0,1,5,7
840,33,001,101,1973,04880,17,15,5,15,4,19,56
840,33,001,101,1973,04930,6,45,0,0,0,3,51
840,33,001,101,1973,04950,2,4,0,2,0,7,8
840,33,001,101,1973,04970,0,2,5,0,0,3,7
840,33,001,101,1973,04980,0,4,4,4,0,6,12
840,33,001,101,1973,05011,2,0,0,3,1,5,6
840,33,001,101,1973,05100,1,1,0,0,0,2,2
840,33,001,101,1973,05190,0,5,0,0,0,1,5
840,33,001,101,1973,05290,2,1,0,8,0,3,11
840,33,001,101,1973,05330,7,9,4,13,0,8,33
840,33,001,101,1973,05600,7,4,0,7,1,10,19
840,33,001,101,1973,05671,1,0,0,1,2,4,4
840,33,001,101,1973,05810,1,5,3,0,0,7,9
840,33,001,101,1973,05830,0,1,0,0,0,1,1
840,33,001,101,1973,05990,0,3,0,1,0,3,4
840,33,001,101,1973,06120,0,0,0,2,0,1,2
840,33,001,101,1973,06130,0,1,0,8,0,3,9
840,33,001,101,1973,06140,0,0,0,0,2,1,2
840,33,001,101,1973,06150,10,1,0,2,0,5,13
840,33,001,101,1973,06160,0,0,0,3,0,1,3
840,33,001,101,1973,06170,0,0,0,8,0,4,8
840,33,001,101,1973,06190,0,1,0,0,0,1,1
840,33,001,101,1973,06240,15,12,21,13,12,38,73
