countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,35,001,101,1980,00060,0,0,6,0,0,1,6
840,35,001,101,1980,01320,0,15,1,0,0,2,16
840,35,001,101,1980,01400,0,10,2,0,0,2,12
840,35,001,101,1980,02010,3,0,1,0,0,3,4
840,35,001,101,1980,02190,0,0,1,0,0,1,1
840,35,001,101,1980,02210,0,0,9,0,0,3,9
840,35,001,101,1980,02630,0,1,0,0,0,1,1
840,35,001,101,1980,02730,2,3,10,0,1,9,16
840,35,001,101,1980,02890,0,0,1,0,1,2,2
840,35,001,101,1980,03131,0,25,0,0,0,1,25
840,35,001,101,1980,03160,1,1,3,3,3,9,11
840,35,001,101,1980,03870,1,1,0,0,0,2,2
840,35,001,101,1980,03940,0,2,0,0,0,2,2
840,35,001,101,1980,04120,0,0,3,2,0,5,5
840,35,001,101,1980,04200,2,0,0,0,0,2,2
840,35,001,101,1980,04230,0,4,0,2,2,4,8
840,35,001,101,1980,04440,0,0,2,0,1,3,3
840,35,001,101,1980,04660,0,0,2,0,0,2,2
840,35,001,101,1980,04740,0,0,0,2,0,1,2
840,35,001,101,1980,04770,0,3,4,1,0,6,8
840,35,001,101,1980,04880,2,4,2,0,0,4,8
840,35,001,101,1980,04930,9,26,10,16,31,19,92
840,35,001,101,1980,04950,1,0,3,2,4,7,10
840,35,001,101,1980,04970,0,0,3,0,0,2,3
840,35,001,101,1980,04980,25,0,13,1,1,13,40
840,35,001,101,1980,05010,0,0,2,2,3,6,7
840,35,001,101,1980,05110,57,19,20,6,8,14,110
840,35,001,101,1980,05290,0,1,4,3,3,8,11
840,35,001,101,1980,05400,0,0,1,1,2,4,4
840,35,001,101,1980,05420,0,0,0,2,1,3,3
840,35,001,101,1980,05600,1,0,4,0,0,3,5
840,35,001,101,1980,05630,0,0,0,3,0,2,3
840,35,001,101,1980,05810,5,8,13,5,8,23,39
840,35,001,101,1980,05840,0,0,1,0,0,1,1
840,35,001,101,1980,05870,0,1,0,0,0,1,1
840,35,001,101,1980,05930,2,4,1,2,3,12,12
840,35,001,101,1980,05980,11,8,3,6,4,20,32
840,35,001,101,1980,06110,3,2,0,2,2,4,9
840,35,001,101,1980,06130,0,0,2,5,0,2,7
840,35,001,101,1980,06140,0,0,38,0,0,2,38
840,35,001,101,1980,06160,0,151,6,0,0,3,157
840,35,001,101,1980,06190,0,0,1,0,0,1,1
840,35,001,101,1980,06240,0,1,0,0,0,1,1
840,35,001,101,1980,06270,0,0,1,0,0,1,1
840,35,001,101,1980,06520,0,0,3,1,0,4,4
840,35,001,101,1980,06810,3,1,6,0,0,6,10
840,35,001,101,1980,06882,36,100,36,59,10,28,241
840,35,001,101,1980,07040,2,1,4,0,0,5,7
840,35,001,101,1980,07050,0,2,1,0,0,2,3
840,35,001,101,1980,07210,0,1,2,3,0,6,6
840,35,001,101,1980,07250,0,0,13,0,0,3,13
840,35,001,101,1980,07550,0,0,0,1,0,1,1
840,35,001,101,1980,07610,23,20,23,12,8,33,86
840,35,001,101,1981,00060,0,0,3,0,0,2,3
840,35,001,101,1981,00540,0,0,1,0,0,1,1
840,35,001,101,1981,01320,0,2,5,6,0,4,13
840,35,001,101,1981,01400,0,0,6,0,0,2,6
840,35,001,101,1981,01440,0,0,2,0,0,1,2
840,35,001,101,1981,02010,1,0,2,0,0,3,3
840,35,001,101,1981,02190,0,0,9,0,0,2,9
840,35,001,101,1981,02210,0,0,20,0,0,3,20
840,35,001,101,1981,02630,0,1,1,0,1,3,3
840,35,001,101,1981,02730,0,2,2,1,1,4,6
840,35,001,101,1981,03131,36,50,2,0,0,4,88
840,35,001,101,1981,03160,1,1,0,5,2,6,9
840,35,001,101,1981,03600,0,1,0,0,0,1,1
840,35,001,101,1981,03900,0,0,1,0,0,1,1
840,35,001,101,1981,03940,1,0,0,0,0,1,1
840,35,001,101,1981,04060,0,0,0,2,0,1,2
840,35,001,101,1981,04120,0,0,1,1,0,2,2
840,35,001,101,1981,04200,1,0,0,0,0,1,1
840,35,001,101,1981,04230,0,8,0,6,0,4,14
840,35,001,101,1981,04440,0,0,5,0,1,5,6
840,35,001,101,1981,04520,0,3,0,0,0,3,3
840,35,001,101,1981,04610,0,0,1,2,0,3,3
840,35,001,101,1981,04660,0,0,4,0,1,3,5
840,35,001,101,1981,04670,0,1,0,0,0,1,1
840,35,001,101,1981,04740,0,0,0,1,2,2,3
840,35,001,101,1981,04770,0,9,2,9,1,12,21
840,35,001,101,1981,04880,0,2,2,0,3,4,7
840,35,001,101,1981,04930,17,116,28,22,18,24,201
840,35,001,101,1981,04940,0,0,0,1,2,2,3
840,35,001,101,1981,04950,1,3,0,0,0,3,4
840,35,001,101,1981,04970,0,0,5,0,0,2,5
840,35,001,101,1981,04980,22,0,32,6,24,20,84
840,35,001,101,1981,05010,0,0,2,7,1,4,10
840,35,001,101,1981,05011,0,0,0,0,1,1,1
840,35,001,101,1981,05070,0,0,1,3,0,4,4
840,35,001,101,1981,05110,11,4,7,2,7,11,31
840,35,001,101,1981,05290,0,0,5,5,10,8,20
840,35,001,101,1981,05400,0,0,1,1,4,6,6
840,35,001,101,1981,05420,0,1,0,0,1,2,2
840,35,001,101,1981,05600,0,0,0,1,1,2,2
840,35,001,101,1981,05630,0,1,1,1,0,3,3
840,35,001,101,1981,05810,12,5,10,8,16,31,51
840,35,001,101,1981,05840,0,0,1,0,0,1,1
840,35,001,101,1981,05870,1,0,0,0,0,1,1
840,35,001,101,1981,05930,0,6,1,7,4,15,18
840,35,001,101,1981,05950,0,1,0,0,1,2,2
840,35,001,101,1981,05980,4,3,4,1,13,19,25
840,35,001,101,1981,06110,0,2,0,0,0,1,2
840,35,001,101,1981,06130,6,0,0,10,5,4,21
840,35,001,101,1981,06140,0,0,1,0,0,1,1
840,35,001,101,1981,06160,0,12,0,0,0,1,12
840,35,001,101,1981,06170,0,0,0,2,0,1,2
840,35,001,101,1981,06190,0,1,2,2,1,4,6
840,35,001,101,1981,06240,0,4,1,2,0,6,7
840,35,001,101,1981,06270,0,0,2,2,0,4,4
840,35,001,101,1981,06520,2,0,6,0,0,5,8
840,35,001,101,1981,06810,5,1,5,1,4,13,16
840,35,001,101,1981,06870,0,1,1,0,0,2,2
840,35,001,101,1981,06882,21,82,16,11,6,18,136
840,35,001,101,1981,07040,1,5,2,2,3,9,13
840,35,001,101,1981,07050,0,0,0,0,1,1,1
840,35,001,101,1981,07210,0,1,1,0,0,2,2
840,35,001,101,1981,07250,0,0,8,0,0,2,8
840,35,001,101,1981,07310,0,0,0,2,0,2,2
840,35,001,101,1981,07610,10,13,19,16,10,34,68
840,35,001,101,1982,00540,11,0,0,0,0,2,11
840,35,001,101,1982,01320,0,6,8,6,0,4,20
840,35,001,101,1982,01400,0,2,13,0,0,3,15
840,35,001,101,1982,02010,2,0,1,0,1,4,4
840,35,001,101,1982,02020,2,0,0,0,0,1,2
840,35,001,101,1982,02190,0,0,6,0,0,2,6
840,35,001,101,1982,02210,0,0,5,0,0,2,5
840,35,001,101,1982,02630,0,2,4,0,0,6,6
840,35,001,101,1982,02730,0,3,9,2,5,10,19
840,35,001,101,1982,02890,0,0,1,1,0,2,2
840,35,001,101,1982,03091,1,1,0,0,0,2,2
840,35,001,101,1982,03131,2,2,0,0,3,3,7
840,35,001,101,1982,03160,1,1,2,5,4,10,13
840,35,001,101,1982,03370,0,0,0,2,0,2,2
840,35,001,101,1982,03600,0,0,0,1,0,1,1
840,35,001,101,1982,03900,0,1,0,0,0,1,1
840,35,001,101,1982,03940,0,0,1,0,0,1,1
840,35,001,101,1982,04060,0,1,2,0,0,3,3
840,35,001,101,1982,04120,0,2,0,0,1,3,3
840,35,001,101,1982,04200,1,0,0,0,0,1,1
840,35,001,101,1982,04230,0,5,5,5,2,6,17
840,35,001,101,1982,04440,1,0,1,1,0,3,3
840,35,001,101,1982,04560,0,0,1,0,0,1,1
840,35,001,101,1982,04610,1,0,2,1,0,4,4
840,35,001,101,1982,04660,0,0,1,0,0,1,1
840,35,001,101,1982,04740,0,0,0,0,1,1,1
840,35,001,101,1982,04770,4,2,3,5,1,10,15
840,35,001,101,1982,04880,7,2,11,0,0,5,20
840,35,001,101,1982,04930,8,42,72,24,0,17,146
840,35,001,101,1982,04940,0,0,1,0,0,1,1
840,35,001,101,1982,04950,3,0,2,3,1,8,9
840,35,001,101,1982,04970,0,0,2,0,0,2,2
840,35,001,101,1982,04980,23,0,38,1,23,18,85
840,35,001,101,1982,05010,4,0,1,1,3,6,9
840,35,001,101,1982,05011,0,0,0,0,1,1,1
840,35,001,101,1982,05070,0,1,2,1,0,4,4
840,35,001,101,1982,05110,5,2,19,31,16,16,73
840,35,001,101,1982,05290,1,0,7,7,14,15,29
840,35,001,101,1982,05400,0,0,0,1,1,2,2
840,35,001,101,1982,05420,0,0,0,0,1,1,1
840,35,001,101,1982,05600,0,0,2,5,2,7,9
840,35,001,101,1982,05630,0,0,0,0,1,1,1
840,35,001,101,1982,05810,11,3,6,7,12,21,39
840,35,001,101,1982,05870,2,2,2,0,0,5,6
840,35,001,101,1982,05930,2,3,0,4,1,7,10
840,35,001,101,1982,05980,3,5,2,1,3,11,14
840,35,001,101,1982,06040,0,0,0,0,1,1,1
840,35,001,101,1982,06110,1,0,0,0,3,2,4
840,35,001,101,1982,06130,21,3,9,15,0,11,48
840,35,001,101,1982,06140,0,0,8,0,0,2,8
840,35,001,101,1982,06160,0,40,0,0,0,1,40
840,35,001,101,1982,06170,0,2,0,3,0,2,5
840,35,001,101,1982,06190,0,0,2,0,2,2,4
840,35,001,101,1982,06240,0,0,2,1,1,3,4
840,35,001,101,1982,06270,0,0,4,2,3,6,9
840,35,001,101,1982,06520,0,0,5,0,1,4,6
840,35,001,101,1982,06810,7,1,9,1,2,13,20
840,35,001,101,1982,06882,14,54,57,26,19,27,170
840,35,001,101,1982,07040,2,0,0,1,1,4,4
840,35,001,101,1982,07050,1,1,2,0,2,5,6
840,35,001,101,1982,07210,0,2,4,2,3,10,11
840,35,001,101,1982,07250,1,0,6,0,0,2,7
840,35,001,101,1982,07270,0,0,0,0,2,2,2
840,35,001,101,1982,07610,8,17,18,34,12,29,89
840,35,001,101,1982,07660,0,1,0,0,0,1,1
840,35,001,101,1983,00540,16,0,4,1,0,7,21
840,35,001,101,1983,01320,0,4,9,12,1,5,26
840,35,001,101,1983,01720,3,0,0,0,0,1,3
840,35,001,101,1983,02010,2,2,5,0,0,5,9
840,35,001,101,1983,02020,9,0,3,0,0,3,12
840,35,001,101,1983,02190,0,0,1,0,0,1,1
840,35,001,101,1983,02210,0,0,1,0,0,1,1
840,35,001,101,1983,02630,0,0,0,1,1,2,2
840,35,001,101,1983,02730,0,1,1,8,6,8,16
840,35,001,101,1983,02890,0,0,1,1,1,3,3
840,35,001,101,1983,03091,1,0,1,1,4,5,7
840,35,001,101,1983,03131,0,33,5,12,8,8,58
840,35,001,101,1983,03160,4,2,16,21,28,20,71
840,35,001,101,1983,03370,0,0,0,1,1,2,2
840,35,001,101,1983,03600,0,0,2,0,0,2,2
840,35,001,101,1983,03870,0,1,0,1,0,2,2
840,35,001,101,1983,03940,0,0,2,0,0,2,2
840,35,001,101,1983,04060,0,0,1,0,0,1,1
840,35,001,101,1983,04120,1,0,1,2,4,8,8
840,35,001,101,1983,04230,0,4,5,8,2,10,19
840,35,001,101,1983,04440,2,0,6,0,3,7,11
840,35,001,101,1983,04610,0,0,2,1,2,4,5
840,35,001,101,1983,04660,1,0,2,0,3,6,6
840,35,001,101,1983,04740,0,0,0,1,2,3,3
840,35,001,101,1983,04770,0,10,3,8,0,10,21
840,35,001,101,1983,04880,3,0,4,1,3,7,11
840,35,001,101,1983,04930,49,227,41,56,25,44,398
840,35,001,101,1983,04940,0,0,1,2,0,2,3
840,35,001,101,1983,04950,1,0,5,4,11,12,21
840,35,001,101,1983,04970,0,0,1,0,0,1,1
840,35,001,101,1983,04980,31,7,50,41,35,23,164
840,35,001,101,1983,05010,1,0,3,1,3,7,8
840,35,001,101,1983,05011,0,0,0,0,2,1,2
840,35,001,101,1983,05070,0,0,2,1,1,4,4
840,35,001,101,1983,05110,14,9,23,61,49,34,156
840,35,001,101,1983,05290,3,0,3,3,15,15,24
840,35,001,101,1983,05400,0,0,0,2,2,3,4
840,35,001,101,1983,05420,0,0,0,0,2,1,2
840,35,001,101,1983,05600,0,2,2,1,2,7,7
840,35,001,101,1983,05630,1,0,2,1,0,3,4
840,35,001,101,1983,05810,11,5,13,12,26,28,67
840,35,001,101,1983,05840,0,0,1,0,0,1,1
840,35,001,101,1983,05870,1,3,0,0,0,3,4
840,35,001,101,1983,05930,1,4,5,1,2,11,13
840,35,001,101,1983,05950,0,0,1,0,2,3,3
840,35,001,101,1983,05980,8,4,7,1,9,18,29
840,35,001,101,1983,06040,1,0,0,0,0,1,1
840,35,001,101,1983,06110,0,0,0,0,2,1,2
840,35,001,101,1983,06130,15,0,13,19,6,12,53
840,35,001,101,1983,06140,0,0,2,0,0,1,2
840,35,001,101,1983,06160,0,8,0,0,0,1,8
840,35,001,101,1983,06170,0,1,0,3,1,4,5
840,35,001,101,1983,06190,5,17,25,4,4,8,55
840,35,001,101,1983,06240,0,2,1,0,0,3,3
840,35,001,101,1983,06270,0,0,1,2,5,6,8
840,35,001,101,1983,06280,0,0,0,0,2,1,2
840,35,001,101,1983,06520,1,0,18,2,4,12,25
840,35,001,101,1983,06810,5,2,7,3,7,17,24
840,35,001,101,1983,06882,33,56,25,48,29,32,191
840,35,001,101,1983,07040,2,2,1,0,8,10,13
840,35,001,101,1983,07050,1,0,0,0,1,2,2
840,35,001,101,1983,07210,1,1,2,2,1,7,7
840,35,001,101,1983,07250,0,0,7,0,0,2,7
840,35,001,101,1983,07270,0,0,0,0,1,1,1
840,35,001,101,1983,07560,0,0,0,1,0,1,1
840,35,001,101,1983,07610,7,26,46,65,29,40,173
840,35,001,101,1984,00540,8,26,5,0,0,10,39
840,35,001,101,1984,01320,1,1,4,4,0,5,10
840,35,001,101,1984,01400,0,1,0,0,0,1,1
840,35,001,101,1984,01940,2,0,0,1,0,2,3
840,35,001,101,1984,02010,1,2,3,0,0,4,6
840,35,001,101,1984,02020,1,0,0,0,0,1,1
840,35,001,101,1984,02190,0,0,1,0,0,1,1
840,35,001,101,1984,02210,0,0,2,0,0,1,2
840,35,001,101,1984,02630,0,0,1,1,0,2,2
840,35,001,101,1984,02730,0,2,3,7,7,10,19
840,35,001,101,1984,03091,0,1,0,0,2,3,3
840,35,001,101,1984,03131,2,86,80,25,0,16,193
840,35,001,101,1984,03160,0,7,13,27,20,21,67
840,35,001,101,1984,03390,0,0,0,0,1,1,1
840,35,001,101,1984,03600,0,0,1,0,0,1,1
840,35,001,101,1984,03900,2,0,0,0,0,1,2
840,35,001,101,1984,03940,0,0,1,0,0,1,1
840,35,001,101,1984,04060,0,1,0,1,0,2,2
840,35,001,101,1984,04120,0,0,1,1,2,4,4
840,35,001,101,1984,04200,1,0,0,0,0,1,1
840,35,001,101,1984,04230,0,4,13,13,0,16,30
840,35,001,101,1984,04440,0,0,0,1,1,2,2
840,35,001,101,1984,04660,0,0,3,0,2,4,5
840,35,001,101,1984,04740,0,0,0,0,3,1,3
840,35,001,101,1984,04770,2,8,3,9,1,13,23
840,35,001,101,1984,04880,2,1,3,7,4,8,17
840,35,001,101,1984,04930,25,119,109,112,124,46,489
840,35,001,101,1984,04940,0,2,0,1,2,4,5
840,35,001,101,1984,04950,1,1,6,13,5,11,26
840,35,001,101,1984,04970,0,0,4,0,0,1,4
840,35,001,101,1984,04980,29,19,38,39,49,28,174
840,35,001,101,1984,05010,0,0,1,5,0,4,6
840,35,001,101,1984,05011,0,0,0,0,1,1,1
840,35,001,101,1984,05070,1,1,1,2,2,6,7
840,35,001,101,1984,05110,33,24,28,61,92,38,238
840,35,001,101,1984,05290,1,1,13,14,12,17,41
840,35,001,101,1984,05400,0,0,0,2,0,2,2
840,35,001,101,1984,05420,0,0,0,0,5,1,5
840,35,001,101,1984,05460,0,0,0,2,6,3,8
840,35,001,101,1984,05600,1,1,2,4,2,7,10
840,35,001,101,1984,05630,0,0,0,1,2,3,3
840,35,001,101,1984,05810,5,6,7,10,20,28,48
840,35,001,101,1984,05840,0,0,3,0,0,2,3
840,35,001,101,1984,05870,0,0,0,0,1,1,1
840,35,001,101,1984,05930,3,5,1,5,2,12,16
840,35,001,101,1984,05980,1,6,3,6,3,15,19
840,35,001,101,1984,06080,0,0,0,0,1,1,1
840,35,001,101,1984,06110,1,1,0,2,0,3,4
840,35,001,101,1984,06130,14,3,3,22,13,12,55
840,35,001,101,1984,06140,0,0,1,0,0,1,1
840,35,001,101,1984,06170,0,0,1,3,0,3,4
840,35,001,101,1984,06190,0,0,0,5,0,2,5
840,35,001,101,1984,06240,0,0,1,0,1,2,2
840,35,001,101,1984,06270,0,0,1,3,1,4,5
840,35,001,101,1984,06330,0,0,0,0,1,1,1
840,35,001,101,1984,06520,0,0,1,0,0,1,1
840,35,001,101,1984,06810,2,2,7,1,5,13,17
840,35,001,101,1984,06882,40,110,87,82,42,35,361
840,35,001,101,1984,07040,1,1,2,4,1,6,9
840,35,001,101,1984,07050,0,0,1,1,0,2,2
840,35,001,101,1984,07210,0,1,3,7,0,9,11
840,35,001,101,1984,07250,0,0,10,0,0,1,10
840,35,001,101,1984,07270,0,0,0,1,0,1,1
840,35,001,101,1984,07550,0,0,2,0,0,1,2
840,35,001,101,1984,07610,15,43,56,68,73,44,255
840,35,001,101,1987,00510,1,0,0,0,0,1,1
840,35,001,101,1987,00540,75,6,29,8,2,20,120
840,35,001,101,1987,01320,0,0,1,3,0,2,4
840,35,001,101,1987,01440,0,0,2,0,0,2,2
840,35,001,101,1987,01940,1,0,0,0,0,1,1
840,35,001,101,1987,02010,2,0,0,0,0,2,2
840,35,001,101,1987,02020,6,2,2,0,0,5,10
840,35,001,101,1987,02730,2,1,10,3,6,18,22
840,35,001,101,1987,02890,0,0,0,1,2,3,3
840,35,001,101,1987,03131,67,23,20,56,120,13,286
840,35,001,101,1987,03160,2,8,8,8,13,22,39
840,35,001,101,1987,03600,0,0,0,0,1,1,1
840,35,001,101,1987,03930,0,0,0,1,0,1,1
840,35,001,101,1987,03940,1,0,1,1,0,3,3
840,35,001,101,1987,04090,0,0,1,2,0,2,3
840,35,001,101,1987,04120,0,1,1,5,1,6,8
840,35,001,101,1987,04200,1,0,0,0,0,1,1
840,35,001,101,1987,04230,7,1,5,5,0,13,18
840,35,001,101,1987,04440,1,1,0,0,0,2,2
840,35,001,101,1987,04520,0,0,0,0,1,1,1
