countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,36,001,101,1967,02730,0,0,1,1,0,2,2
840,36,001,101,1967,02890,9,6,4,8,4,25,31
840,36,001,101,1967,03131,0,0,2,0,0,1,2
840,36,001,101,1967,03160,8,8,9,4,4,22,33
840,36,001,101,1967,03250,0,0,0,0,4,2,4
840,36,001,101,1967,03870,0,3,0,2,3,7,8
840,36,001,101,1967,03930,0,0,0,0,2,1,2
840,36,001,101,1967,03940,0,0,0,0,2,2,2
840,36,001,101,1967,04060,3,3,2,3,0,9,11
840,36,001,101,1967,04090,0,0,1,1,2,4,4
840,36,001,101,1967,04120,0,1,1,3,0,5,5
840,36,001,101,1967,04230,5,5,0,2,0,5,12
840,36,001,101,1967,04440,0,5,1,0,4,8,10
840,36,001,101,1967,04520,1,2,0,2,1,6,6
840,36,001,101,1967,04560,0,0,0,0,1,1,1
840,36,001,101,1967,04610,0,0,0,0,1,1,1
840,36,001,101,1967,04740,1,1,2,4,0,8,8
840,36,001,101,1967,04770,1,0,2,5,9,11,17
840,36,001,101,1967,04880,0,1,1,2,2,6,6
840,36,001,101,1967,04930,10,0,13,3,0,9,26
840,36,001,101,1967,04940,1,0,0,0,0,1,1
840,36,001,101,1967,04950,1,1,1,9,9,13,21
840,36,001,101,1967,04980,21,28,20,8,2,28,79
840,36,001,101,1967,05010,11,13,12,5,2,27,43
840,36,001,101,1967,05060,0,1,0,0,0,1,1
840,36,001,101,1967,05070,0,0,2,0,1,3,3
840,36,001,101,1967,05110,31,38,20,16,6,26,111
840,36,001,101,1967,05290,0,0,0,1,3,3,4
840,36,001,101,1967,05400,0,3,0,0,0,1,3
840,36,001,101,1967,05460,1,2,1,1,0,5,5
840,36,001,101,1967,05520,0,0,0,0,1,1,1
840,36,001,101,1967,05600,0,1,0,0,0,1,1
840,36,001,101,1967,05630,0,2,2,3,3,10,10
840,36,001,101,1967,05810,0,1,0,0,0,1,1
840,36,001,101,1967,05870,0,0,0,1,0,1,1
840,36,001,101,1967,05930,0,1,2,1,7,8,11
840,36,001,101,1967,05950,0,0,0,1,0,1,1
840,36,001,101,1967,05980,0,1,0,2,3,4,6
840,36,001,101,1967,06040,14,10,15,6,2,29,47
840,36,001,101,1967,06110,0,0,4,0,0,2,4
840,36,001,101,1967,06130,1,3,8,3,2,12,17
840,36,001,101,1967,06170,0,0,0,0,3,1,3
840,36,001,101,1967,06270,0,1,0,1,0,2,2
840,36,001,101,1967,06280,0,0,0,0,1,1,1
840,36,001,101,1967,06810,3,4,2,2,0,11,11
840,36,001,101,1967,06830,0,0,0,1,0,1,1
840,36,001,101,1967,06882,17,6,11,7,9,16,50
840,36,001,101,1967,07040,0,0,0,1,0,1,1
840,36,001,101,1967,07050,1,4,1,3,2,11,11
840,36,001,101,1967,07180,0,0,0,0,1,1,1
840,36,001,101,1967,07210,2,2,3,3,1,11,11
840,36,001,101,1967,07310,0,1,0,1,5,5,7
840,36,001,101,1967,07350,0,0,0,0,2,2,2
840,36,001,101,1967,07610,7,3,8,4,1,16,23
