countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,38,001,101,1967,01940,0,1,0,0,0,1,1
840,38,001,101,1967,02010,1,0,0,0,2,3,3
840,38,001,101,1967,02730,1,0,0,2,0,2,3
840,38,001,101,1967,02890,17,17,12,5,9,30,60
840,38,001,101,1967,03160,13,13,10,6,9,31,51
840,38,001,101,1967,03370,1,0,0,0,1,2,2
840,38,001,101,1967,03680,0,1,0,0,0,1,1
840,38,001,101,1967,03870,8,3,4,3,3,17,21
840,38,001,101,1967,04060,2,0,1,0,0,3,3
840,38,001,101,1967,04090,1,0,0,0,0,1,1
840,38,001,101,1967,04230,0,2,0,2,1,3,5
840,38,001,101,1967,04430,2,2,3,1,2,8,10
840,38,001,101,1967,04440,4,1,0,4,3,9,12
840,38,001,101,1967,04520,0,0,2,2,0,4,4
840,38,001,101,1967,04560,0,1,1,0,0,2,2
840,38,001,101,1967,04610,0,1,0,1,0,2,2
840,38,001,101,1967,04740,0,1,1,0,1,3,3
840,38,001,101,1967,04770,0,2,0,1,1,4,4
840,38,001,101,1967,04880,23,16,5,1,8,27,53
840,38,001,101,1967,04930,0,0,2,1,2,5,5
840,38,001,101,1967,04950,1,5,8,1,4,11,19
840,38,001,101,1967,04980,20,30,10,18,8,30,86
840,38,001,101,1967,05010,11,8,7,10,15,30,51
840,38,001,101,1967,05060,2,2,2,3,1,10,10
840,38,001,101,1967,05070,0,0,1,1,2,4,4
840,38,001,101,1967,05110,9,6,25,1,5,12,46
840,38,001,101,1967,05290,0,0,3,0,1,2,4
840,38,001,101,1967,05520,1,0,2,0,0,2,3
840,38,001,101,1967,05630,1,0,2,2,1,5,6
840,38,001,101,1967,05930,14,7,8,11,13,32,53
840,38,001,101,1967,05980,6,5,9,4,5,22,29
840,38,001,101,1967,06040,16,20,13,21,24,37,94
840,38,001,101,1967,06110,0,0,0,0,1,1,1
840,38,001,101,1967,06130,5,5,2,2,9,12,23
840,38,001,101,1967,06220,1,6,2,1,0,7,10
840,38,001,101,1967,06270,0,0,0,1,0,1,1
840,38,001,101,1967,06330,1,0,0,0,1,2,2
840,38,001,101,1967,06480,0,1,0,0,0,1,1
840,38,001,101,1967,06810,0,0,1,0,2,3,3
840,38,001,101,1967,06830,1,0,0,0,0,1,1
840,38,001,101,1967,06882,3,3,24,41,52,10,123
840,38,001,101,1967,07030,15,10,11,7,8,36,51
840,38,001,101,1967,07050,0,1,1,0,1,3,3
840,38,001,101,1967,07180,0,0,0,0,2,2,2
840,38,001,101,1967,07310,3,6,3,1,3,14,16
840,38,001,101,1967,07360,0,2,0,0,3,2,5
840,38,001,101,1967,07610,3,3,1,0,0,4,7
840,38,001,101,1967,07660,0,0,0,0,1,1,1
840,38,001,101,1968,02010,1,0,0,0,0,1,1
840,38,001,101,1968,02730,1,0,0,0,0,1,1
840,38,001,101,1968,02890,12,6,7,7,10,26,42
840,38,001,101,1968,03131,0,0,0,0,1,1,1
840,38,001,101,1968,03160,7,3,10,6,2,19,28
840,38,001,101,1968,03370,0,0,0,1,1,2,2
840,38,001,101,1968,03680,1,0,0,0,0,1,1
840,38,001,101,1968,03870,3,3,3,1,4,13,14
840,38,001,101,1968,03880,1,1,0,0,2,3,4
840,38,001,101,1968,04060,0,1,0,0,1,2,2
840,38,001,101,1968,04090,0,2,0,0,1,3,3
840,38,001,101,1968,04120,1,1,1,0,0,3,3
840,38,001,101,1968,04230,0,1,4,0,0,3,5
840,38,001,101,1968,04280,0,0,0,0,1,1,1
840,38,001,101,1968,04430,2,3,1,1,1,7,8
840,38,001,101,1968,04440,4,2,2,1,0,6,9
840,38,001,101,1968,04520,1,7,0,1,0,6,9
840,38,001,101,1968,04560,1,0,1,0,1,3,3
840,38,001,101,1968,04610,0,1,0,0,0,1,1
840,38,001,101,1968,04650,0,0,1,0,0,1,1
840,38,001,101,1968,04740,0,3,3,1,3,8,10
840,38,001,101,1968,04770,0,0,1,0,1,2,2
840,38,001,101,1968,04880,17,3,8,3,3,18,34
840,38,001,101,1968,04930,0,2,0,0,2,2,4
