countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,39,001,101,1966,01310,0,1,0,0,0,1,1
840,39,001,101,1966,02890,0,2,3,8,6,16,19
840,39,001,101,1966,03131,0,0,6,0,0,6,6
840,39,001,101,1966,03160,0,0,2,1,0,3,3
840,39,001,101,1966,03390,0,0,0,0,1,1,1
840,39,001,101,1966,03870,1,1,0,0,2,4,4
840,39,001,101,1966,03940,1,2,1,1,2,7,7
840,39,001,101,1966,04120,1,0,0,2,0,2,3
840,39,001,101,1966,04230,0,1,15,0,0,4,16
840,39,001,101,1966,04440,0,0,0,2,1,2,3
840,39,001,101,1966,04560,2,1,0,1,0,3,4
840,39,001,101,1966,04610,0,1,0,0,0,1,1
840,39,001,101,1966,04650,0,3,0,11,3,10,17
840,39,001,101,1966,04770,4,3,10,4,2,13,23
840,39,001,101,1966,04880,8,3,2,0,0,11,13
840,39,001,101,1966,04930,7,3,17,2,0,12,29
840,39,001,101,1966,04950,0,10,1,0,6,10,17
840,39,001,101,1966,04980,7,0,0,0,0,3,7
840,39,001,101,1966,05010,0,0,1,0,0,1,1
840,39,001,101,1966,05060,0,0,0,1,2,3,3
840,39,001,101,1966,05110,20,0,17,1,0,15,38
840,39,001,101,1966,05290,2,4,4,6,0,8,16
840,39,001,101,1966,05600,0,0,0,1,0,1,1
840,39,001,101,1966,05630,0,0,0,9,8,10,17
840,39,001,101,1966,05810,16,8,20,13,12,26,69
840,39,001,101,1966,05870,2,1,1,1,1,5,6
840,39,001,101,1966,05930,14,12,8,11,11,38,56
840,39,001,101,1966,05980,4,4,6,9,11,23,34
840,39,001,101,1966,06080,1,1,1,2,4,7,9
840,39,001,101,1966,06100,3,0,2,3,2,9,10
840,39,001,101,1966,06130,0,0,0,5,0,2,5
840,39,001,101,1966,06170,0,3,0,0,1,2,4
840,39,001,101,1966,06240,13,9,7,10,16,30,55
840,39,001,101,1966,06280,3,2,1,6,9,14,21
840,39,001,101,1966,06310,0,0,1,1,1,3,3
840,39,001,101,1966,06480,1,1,0,0,0,2,2
840,39,001,101,1966,06520,3,5,3,2,2,11,15
840,39,001,101,1966,06630,0,0,0,1,2,2,3
840,39,001,101,1966,06710,0,0,0,0,1,1,1
840,39,001,101,1966,06730,0,0,0,0,1,1,1
840,39,001,101,1966,06740,0,2,0,0,5,7,7
840,39,001,101,1966,06760,0,0,0,0,1,1,1
840,39,001,101,1966,06770,0,1,0,0,0,1,1
840,39,001,101,1966,06810,13,5,4,20,15,26,57
840,39,001,101,1966,06830,5,5,3,11,14,27,38
840,39,001,101,1966,06840,0,0,0,0,1,1,1
840,39,001,101,1966,06870,0,0,0,0,2,2,2
840,39,001,101,1966,06882,13,14,39,11,0,22,77
840,39,001,101,1966,07030,0,0,0,1,0,1,1
840,39,001,101,1966,07040,0,3,5,2,1,10,11
840,39,001,101,1966,07050,1,0,0,0,0,1,1
840,39,001,101,1966,07180,0,3,6,5,0,14,14
840,39,001,101,1966,07310,0,2,5,4,4,10,15
840,39,001,101,1966,07360,0,3,3,6,3,11,15
840,39,001,101,1966,07510,0,0,0,1,0,1,1
840,39,001,101,1966,07550,19,18,11,19,13,36,80
840,39,001,101,1966,07610,9,4,5,4,2,14,24
840,39,001,101,1966,07660,0,0,0,2,4,2,6
840,39,001,101,1967,02010,1,0,0,0,0,1,1
840,39,001,101,1967,02890,2,0,0,7,0,6,9
840,39,001,101,1967,03160,0,0,2,0,0,1,2
840,39,001,101,1967,03330,0,0,0,0,1,1,1
840,39,001,101,1967,03390,0,0,0,0,1,1,1
840,39,001,101,1967,03870,0,0,0,2,0,1,2
840,39,001,101,1967,03880,0,0,0,0,1,1,1
840,39,001,101,1967,03900,0,0,1,0,0,1,1
840,39,001,101,1967,03940,0,1,0,0,0,1,1
840,39,001,101,1967,04120,0,0,1,2,0,2,3
840,39,001,101,1967,04230,0,0,4,0,0,2,4
840,39,001,101,1967,04280,0,0,0,0,1,1,1
840,39,001,101,1967,04560,0,3,0,1,1,4,5
840,39,001,101,1967,04610,0,1,0,2,3,5,6
840,39,001,101,1967,04650,0,5,5,4,10,13,24
