countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,42,001,101,1968,01340,2,0,0,0,0,1,2
840,42,001,101,1968,01440,0,2,0,0,0,1,2
840,42,001,101,1968,02000,0,0,1,1,0,2,2
840,42,001,101,1968,02010,1,2,0,1,2,5,6
840,42,001,101,1968,02110,1,0,0,0,0,1,1
840,42,001,101,1968,02730,1,1,0,0,0,2,2
840,42,001,101,1968,02890,0,0,0,1,0,1,1
840,42,001,101,1968,03160,1,6,0,0,0,3,7
840,42,001,101,1968,03250,0,0,0,0,1,1,1
840,42,001,101,1968,03260,0,0,0,0,1,1,1
840,42,001,101,1968,03870,1,2,0,0,1,4,4
840,42,001,101,1968,03940,0,2,3,0,1,6,6
840,42,001,101,1968,04230,1,13,6,5,9,20,34
840,42,001,101,1968,04440,5,2,0,0,1,8,8
840,42,001,101,1968,04520,1,3,3,1,1,8,9
840,42,001,101,1968,04770,0,2,4,5,0,6,11
840,42,001,101,1968,04880,0,0,0,0,1,1,1
840,42,001,101,1968,04930,0,6,8,2,8,10,24
840,42,001,101,1968,04980,32,18,22,25,8,38,105
840,42,001,101,1968,05010,3,4,0,0,0,5,7
840,42,001,101,1968,05060,18,17,17,15,11,39,78
840,42,001,101,1968,05110,0,3,1,5,9,10,18
840,42,001,101,1968,05130,4,5,21,0,2,11,32
840,42,001,101,1968,05870,1,0,0,2,1,4,4
840,42,001,101,1968,05930,17,15,10,7,6,27,55
840,42,001,101,1968,06110,0,0,7,1,0,2,8
840,42,001,101,1968,06220,0,1,0,0,0,1,1
840,42,001,101,1968,06310,2,0,0,1,2,3,5
840,42,001,101,1968,06370,4,3,3,6,5,17,21
840,42,001,101,1968,06480,4,4,1,2,2,10,13
840,42,001,101,1968,06810,2,0,3,3,0,6,8
840,42,001,101,1968,06882,0,2,2,1,19,9,24
840,42,001,101,1968,07030,1,7,5,12,7,20,32
840,42,001,101,1968,07180,2,0,2,1,3,8,8
840,42,001,101,1968,07360,0,3,1,1,0,5,5
840,42,001,101,1987,00690,0,0,3,0,0,1,3
840,42,001,101,1987,01840,0,2,0,0,0,1,2
840,42,001,101,1987,01861,0,11,0,0,0,1,11
840,42,001,101,1987,01960,2,5,0,1,0,5,8
840,42,001,101,1987,01970,1,3,0,0,0,2,4
840,42,001,101,1987,01990,3,0,2,0,1,5,6
840,42,001,101,1987,02000,3,0,2,1,2,5,8
840,42,001,101,1987,02001,0,3,13,1,16,7,33
840,42,001,101,1987,02010,1,0,0,1,0,2,2
840,42,001,101,1987,02030,3,0,0,1,0,2,4
840,42,001,101,1987,02730,1,4,0,6,5,8,16
840,42,001,101,1987,03131,0,0,0,4,4,2,8
840,42,001,101,1987,03160,1,10,39,2,6,14,58
840,42,001,101,1987,03290,0,0,0,0,1,1,1
840,42,001,101,1987,03390,3,4,1,0,0,6,8
840,42,001,101,1987,03870,1,3,2,2,0,8,8
840,42,001,101,1987,03940,4,9,7,4,1,20,25
840,42,001,101,1987,04090,1,4,4,1,1,9,11
840,42,001,101,1987,04200,0,0,1,0,1,2,2
840,42,001,101,1987,04230,1,3,13,4,2,12,23
840,42,001,101,1987,04280,0,1,0,0,0,1,1
840,42,001,101,1987,04440,1,1,2,4,3,9,11
840,42,001,101,1987,04520,0,4,1,2,0,5,7
840,42,001,101,1987,04770,1,17,12,22,3,23,55
840,42,001,101,1987,04880,21,26,18,18,2,28,85
840,42,001,101,1987,04930,23,32,120,46,56,33,277
840,42,001,101,1987,04950,11,17,10,21,14,24,73
840,42,001,101,1987,04980,31,37,42,11,13,22,134
840,42,001,101,1987,05010,8,3,5,0,3,8,19
840,42,001,101,1987,05060,13,32,16,27,9,36,97
840,42,001,101,1987,05110,14,38,19,3,10,23,84
