countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,44,001,101,1972,00510,0,7,0,1,3,5,11
840,44,001,101,1972,03160,0,1,0,2,0,3,3
840,44,001,101,1972,03600,0,0,1,0,0,1,1
840,44,001,101,1972,03900,0,0,1,0,0,1,1
840,44,001,101,1972,04120,0,0,1,0,2,2,3
840,44,001,101,1972,04171,1,0,0,0,0,1,1
840,44,001,101,1972,04230,0,0,0,0,1,1,1
840,44,001,101,1972,04520,1,1,0,1,1,4,4
840,44,001,101,1972,04560,2,0,0,0,0,2,2
840,44,001,101,1972,04610,1,2,1,0,2,6,6
840,44,001,101,1972,04670,1,1,0,0,0,2,2
840,44,001,101,1972,04770,2,5,1,0,1,7,9
840,44,001,101,1972,04880,1,2,2,2,1,8,8
840,44,001,101,1972,04930,0,0,4,45,31,12,80
840,44,001,101,1972,04940,0,0,0,2,0,2,2
840,44,001,101,1972,04950,0,1,0,2,2,5,5
840,44,001,101,1972,04980,2,0,4,11,5,10,22
840,44,001,101,1972,05010,0,0,2,3,1,6,6
840,44,001,101,1972,05070,0,1,0,0,1,2,2
840,44,001,101,1972,05110,1,2,17,15,2,13,37
840,44,001,101,1972,05170,1,1,3,0,3,8,8
840,44,001,101,1972,05290,1,0,3,0,2,5,6
840,44,001,101,1972,05580,2,1,2,1,2,7,8
840,44,001,101,1972,05600,4,2,0,3,1,8,10
840,44,001,101,1972,05630,1,0,1,0,0,2,2
840,44,001,101,1972,05810,2,2,2,5,3,14,14
840,44,001,101,1972,05840,1,0,0,0,0,1,1
840,44,001,101,1972,05870,11,7,4,5,5,27,32
840,44,001,101,1972,06080,2,2,0,0,1,5,5
840,44,001,101,1972,06120,0,0,3,0,0,2,3
840,44,001,101,1972,06130,0,0,3,9,1,5,13
840,44,001,101,1972,06140,0,2,1,0,0,3,3
840,44,001,101,1972,06160,0,4,0,0,0,1,4
840,44,001,101,1972,06240,0,5,2,3,2,12,12
840,44,001,101,1972,06360,1,1,1,1,0,4,4
840,44,001,101,1972,06450,1,0,0,0,0,1,1
840,44,001,101,1972,06520,0,1,2,1,1,5,5
840,44,001,101,1972,06570,0,0,1,0,0,1,1
840,44,001,101,1972,06590,1,4,2,2,6,13,15
840,44,001,101,1972,06670,1,1,1,1,0,4,4
840,44,001,101,1972,06740,2,4,2,1,0,8,9
840,44,001,101,1972,06810,5,4,5,3,4,20,21
840,44,001,101,1972,06870,0,0,1,1,1,3,3
840,44,001,101,1972,06882,0,0,2,0,0,2,2
