countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,45,001,101,1967,00510,0,0,1,0,0,1,1
124,45,001,101,1967,01320,1,0,0,0,0,1,1
124,45,001,101,1967,02140,1,0,0,1,0,2,2
124,45,001,101,1967,02630,0,0,0,1,1,2,2
124,45,001,101,1967,02730,2,1,2,2,0,5,7
124,45,001,101,1967,03160,2,4,2,1,0,6,9
124,45,001,101,1967,03310,0,0,0,1,0,1,1
124,45,001,101,1967,03430,0,1,0,0,0,1,1
124,45,001,101,1967,03750,1,1,0,0,0,2,2
124,45,001,101,1967,03880,0,1,1,0,0,2,2
124,45,001,101,1967,04120,0,0,0,3,1,4,4
124,45,001,101,1967,04440,3,1,0,5,2,10,11
124,45,001,101,1967,04520,2,0,0,0,1,3,3
124,45,001,101,1967,04560,2,1,0,0,2,5,5
124,45,001,101,1967,04610,0,1,0,0,0,1,1
124,45,001,101,1967,04670,3,1,0,1,0,5,5
124,45,001,101,1967,04740,0,1,0,0,0,1,1
124,45,001,101,1967,04770,0,1,0,0,0,1,1
124,45,001,101,1967,04860,0,1,0,0,0,1,1
124,45,001,101,1967,04880,7,6,6,8,2,25,29
124,45,001,101,1967,04940,0,1,11,2,0,9,14
124,45,001,101,1967,04980,2,3,6,1,1,11,13
124,45,001,101,1967,05011,3,6,3,6,0,17,18
124,45,001,101,1967,05090,0,0,9,0,0,2,9
124,45,001,101,1967,05100,8,3,15,4,0,15,30
124,45,001,101,1967,05110,0,0,0,1,0,1,1
124,45,001,101,1967,05290,0,0,1,2,1,3,4
124,45,001,101,1967,05400,1,0,2,0,0,2,3
124,45,001,101,1967,05420,2,2,0,0,1,5,5
124,45,001,101,1967,05580,2,0,0,0,0,2,2
124,45,001,101,1967,05600,2,1,0,1,0,4,4
124,45,001,101,1967,05610,4,8,2,1,5,19,20
124,45,001,101,1967,05810,3,7,12,8,5,30,35
124,45,001,101,1967,05950,0,0,0,1,0,1,1
124,45,001,101,1967,06120,0,2,21,4,0,6,27
124,45,001,101,1967,06130,1,0,0,0,0,1,1
124,45,001,101,1967,06160,0,2,4,0,13,8,19
124,45,001,101,1967,06190,0,0,1,0,0,1,1
124,45,001,101,1967,06240,0,0,3,4,7,14,14
124,45,001,101,1967,06270,0,0,2,2,0,4,4
124,45,001,101,1967,06520,6,4,2,5,1,17,18
124,45,001,101,1967,06740,0,1,0,0,1,2,2
124,45,001,101,1967,06810,1,1,0,0,1,3,3
124,45,001,101,1967,06882,10,0,0,0,0,1,10
124,45,001,101,1967,07040,1,0,0,2,0,3,3
124,45,001,101,1967,07210,1,2,2,1,1,7,7
124,45,001,101,1967,07560,1,0,0,2,0,3,3
124,45,001,101,1967,07610,2,0,0,1,2,5,5
124,45,001,101,1967,07660,0,0,0,1,0,1,1
124,45,001,101,1968,00590,0,0,0,0,1,1,1
124,45,001,101,1968,02140,1,0,0,0,0,1,1
124,45,001,101,1968,02730,2,5,4,3,2,11,16
124,45,001,101,1968,03160,3,5,0,0,0,4,8
124,45,001,101,1968,03310,0,2,1,3,2,7,8
124,45,001,101,1968,03670,0,0,1,0,0,1,1
124,45,001,101,1968,03930,0,1,0,1,0,2,2
124,45,001,101,1968,04120,0,1,0,0,1,2,2
124,45,001,101,1968,04200,1,0,0,0,0,1,1
124,45,001,101,1968,04440,1,1,3,1,0,6,6
124,45,001,101,1968,04520,0,1,0,2,1,4,4
124,45,001,101,1968,04560,0,1,0,0,0,1,1
124,45,001,101,1968,04670,2,2,2,2,2,10,10
124,45,001,101,1968,04740,0,0,2,0,0,1,2
124,45,001,101,1968,04880,9,25,6,6,4,19,50
124,45,001,101,1968,04930,0,21,0,7,0,3,28
124,45,001,101,1968,04940,1,5,12,2,1,12,21
124,45,001,101,1968,04980,10,8,10,33,63,28,124
124,45,001,101,1968,05011,1,5,7,4,0,14,17
124,45,001,101,1968,05100,1,0,3,3,0,5,7
124,45,001,101,1968,05110,0,0,3,1,0,3,4
124,45,001,101,1968,05290,0,0,5,1,0,3,6
124,45,001,101,1968,05400,1,0,0,0,0,1,1
124,45,001,101,1968,05420,0,1,0,1,0,2,2
124,45,001,101,1968,05580,2,0,0,1,0,3,3
124,45,001,101,1968,05600,1,2,1,2,2,6,8
124,45,001,101,1968,05610,5,8,5,6,2,23,26
124,45,001,101,1968,05810,11,6,11,2,6,32,36
124,45,001,101,1968,05870,0,0,1,0,0,1,1
124,45,001,101,1968,06110,3,0,0,1,0,2,4
124,45,001,101,1968,06130,0,3,3,6,1,10,13
124,45,001,101,1968,06160,0,8,10,8,12,23,38
124,45,001,101,1968,06190,0,6,0,0,0,1,6
124,45,001,101,1968,06240,2,2,1,4,6,13,15
124,45,001,101,1968,06270,1,2,2,0,0,5,5
124,45,001,101,1968,06520,2,3,2,2,1,10,10
124,45,001,101,1968,06740,1,0,0,1,1,3,3
124,45,001,101,1968,06810,7,1,1,3,0,10,12
124,45,001,101,1968,06882,1,4,0,0,0,2,5
124,45,001,101,1968,07040,2,1,1,0,1,5,5
124,45,001,101,1968,07050,0,0,1,0,0,1,1
124,45,001,101,1968,07210,3,2,0,0,2,7,7
124,45,001,101,1968,07270,0,0,1,0,0,1,1
124,45,001,101,1968,07560,2,1,1,1,0,5,5
124,45,001,101,1968,07610,5,4,3,4,1,15,17
124,45,001,101,1969,01320,0,0,0,1,0,1,1
124,45,001,101,1969,02140,1,0,0,0,0,1,1
124,45,001,101,1969,02630,0,0,0,1,0,1,1
124,45,001,101,1969,02730,2,5,8,0,2,14,17
124,45,001,101,1969,03080,0,0,0,0,2,1,2
124,45,001,101,1969,03160,1,1,1,1,4,6,8
124,45,001,101,1969,03310,0,0,1,1,0,2,2
124,45,001,101,1969,03600,2,0,2,2,2,7,8
124,45,001,101,1969,04120,0,1,2,0,9,11,12
124,45,001,101,1969,04440,0,0,2,0,1,3,3
124,45,001,101,1969,04520,1,0,0,1,0,2,2
124,45,001,101,1969,04670,0,2,0,0,1,3,3
124,45,001,101,1969,04740,0,1,5,0,0,5,6
124,45,001,101,1969,04750,0,1,0,0,0,1,1
124,45,001,101,1969,04770,0,1,0,0,0,1,1
124,45,001,101,1969,04860,0,0,5,0,0,1,5
