countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,47,001,101,1967,00510,1,4,0,2,1,7,8
840,47,001,101,1967,02890,11,16,12,2,1,25,42
840,47,001,101,1967,03091,0,2,3,0,0,5,5
840,47,001,101,1967,03160,9,6,3,3,0,17,21
840,47,001,101,1967,03600,0,1,0,0,1,2,2
840,47,001,101,1967,03730,1,0,0,0,0,1,1
840,47,001,101,1967,03870,0,0,0,0,1,1,1
840,47,001,101,1967,04120,4,3,5,4,2,12,18
840,47,001,101,1967,04230,0,4,2,0,1,4,7
840,47,001,101,1967,04520,0,1,1,0,1,3,3
840,47,001,101,1967,04770,6,10,9,21,8,27,54
840,47,001,101,1967,04880,12,6,2,1,0,15,21
840,47,001,101,1967,04930,0,3,5,1,0,7,9
840,47,001,101,1967,04980,12,9,2,7,1,10,31
840,47,001,101,1967,05070,1,2,12,6,3,21,24
840,47,001,101,1967,05110,0,15,16,10,2,13,43
840,47,001,101,1967,05290,0,5,8,1,0,7,14
840,47,001,101,1967,05600,2,3,3,2,3,12,13
840,47,001,101,1967,05630,0,0,0,0,1,1,1
840,47,001,101,1967,05810,2,4,13,3,5,17,27
840,47,001,101,1967,05870,12,3,0,12,18,21,45
840,47,001,101,1967,06130,0,0,1,0,1,2,2
840,47,001,101,1967,06190,0,0,0,0,3,1,3
840,47,001,101,1967,06360,1,0,0,1,0,2,2
840,47,001,101,1967,06520,0,4,3,1,0,5,8
840,47,001,101,1967,06710,2,0,0,0,0,1,2
840,47,001,101,1967,06740,3,0,0,0,2,3,5
840,47,001,101,1967,06810,7,5,3,3,1,13,19
840,47,001,101,1967,06870,0,0,0,2,1,3,3
840,47,001,101,1967,06882,12,2,5,5,0,10,24
840,47,001,101,1967,07040,4,5,6,4,2,16,21
840,47,001,101,1967,07050,1,0,0,0,0,1,1
840,47,001,101,1967,07210,0,1,0,3,0,4,4
840,47,001,101,1967,07350,5,2,3,3,11,21,24
840,47,001,101,1967,07550,0,0,0,2,1,3,3
840,47,001,101,1967,07590,1,0,0,0,1,2,2
840,47,001,101,1967,07610,3,10,6,8,5,25,32
840,47,001,101,1968,00470,0,5,0,0,0,1,5
840,47,001,101,1968,00510,6,208,8,1,3,17,226
840,47,001,101,1968,01330,0,0,2,0,0,1,2
840,47,001,101,1968,01720,0,2,0,0,0,1,2
840,47,001,101,1968,02890,6,9,4,4,0,16,23
840,47,001,101,1968,03091,0,1,0,0,0,1,1
840,47,001,101,1968,03160,2,6,1,0,2,8,11
840,47,001,101,1968,04120,0,2,5,0,1,7,8
840,47,001,101,1968,04230,0,4,5,4,0,6,13
840,47,001,101,1968,04520,0,1,0,0,0,1,1
840,47,001,101,1968,04610,0,1,1,1,0,3,3
840,47,001,101,1968,04770,2,3,2,2,3,10,12
840,47,001,101,1968,04880,4,2,2,1,0,8,9
840,47,001,101,1968,04930,1,6,9,6,0,9,22
