countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,52,001,101,1967,01440,1,0,0,0,0,1,1
840,52,001,101,1967,02000,8,1,3,9,4,13,25
840,52,001,101,1967,02730,1,2,0,0,1,3,4
840,52,001,101,1967,02890,3,1,0,2,1,6,7
840,52,001,101,1967,03131,0,1,10,4,5,7,20
840,52,001,101,1967,03160,22,8,22,18,18,34,88
840,52,001,101,1967,03290,0,0,0,1,0,1,1
840,52,001,101,1967,03600,0,0,1,0,0,1,1
840,52,001,101,1967,03870,1,0,1,2,3,7,7
840,52,001,101,1967,03940,0,0,0,1,0,1,1
840,52,001,101,1967,04060,0,0,0,0,1,1,1
840,52,001,101,1967,04090,0,3,0,4,0,7,7
840,52,001,101,1967,04230,0,18,4,0,1,5,23
840,52,001,101,1967,04440,0,1,0,0,0,1,1
840,52,001,101,1967,04520,0,0,0,1,0,1,1
840,52,001,101,1967,04740,2,6,8,0,0,11,16
840,52,001,101,1967,04770,1,3,1,0,1,6,6
840,52,001,101,1967,04880,2,15,0,14,1,11,32
840,52,001,101,1967,04930,9,27,32,7,5,24,80
840,52,001,101,1967,04950,4,2,1,0,0,5,7
840,52,001,101,1967,04980,33,22,45,37,35,41,172
840,52,001,101,1967,05010,8,12,7,11,15,32,53
840,52,001,101,1967,05060,0,0,1,0,1,2,2
840,52,001,101,1967,05070,0,0,0,1,1,2,2
840,52,001,101,1967,05110,14,34,57,28,18,41,151
840,52,001,101,1967,05630,2,1,1,7,2,11,13
840,52,001,101,1967,05810,0,0,0,3,1,4,4
840,52,001,101,1967,05930,7,1,1,2,3,13,14
840,52,001,101,1967,05980,2,3,3,6,4,17,18
840,52,001,101,1967,06040,20,6,3,22,6,25,57
840,52,001,101,1967,06100,0,0,0,0,1,1,1
840,52,001,101,1967,06110,0,3,0,0,0,2,3
840,52,001,101,1967,06130,0,9,4,0,12,9,25
840,52,001,101,1967,06220,5,1,2,4,1,7,13
840,52,001,101,1967,06270,0,0,0,3,1,4,4
840,52,001,101,1967,06370,0,0,0,1,0,1,1
840,52,001,101,1967,06810,6,3,3,10,7,25,29
840,52,001,101,1967,06830,0,0,1,2,0,3,3
840,52,001,101,1967,06882,8,73,43,9,22,28,155
840,52,001,101,1967,07030,5,6,5,0,4,16,20
840,52,001,101,1967,07050,0,1,0,0,0,1,1
840,52,001,101,1967,07180,0,0,0,4,0,3,4
840,52,001,101,1967,07310,0,1,0,5,1,6,7
840,52,001,101,1967,07360,0,0,0,2,0,2,2
840,52,001,101,1967,07510,0,0,0,1,0,1,1
840,52,001,101,1967,07550,0,0,0,1,0,1,1
840,52,001,101,1967,07610,0,6,0,0,0,3,6
840,52,001,101,1968,01960,0,0,0,1,0,1,1
840,52,001,101,1968,02000,39,4,0,24,5,19,72
840,52,001,101,1968,02010,1,0,3,0,0,2,4
840,52,001,101,1968,02730,1,1,2,1,0,4,5
840,52,001,101,1968,02890,2,3,3,6,3,15,17
840,52,001,101,1968,03131,0,16,3,0,0,5,19
840,52,001,101,1968,03160,26,10,31,5,7,27,79
