countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,53,001,101,1979,01290,0,0,1,0,0,1,1
840,53,001,101,1979,02630,0,0,2,1,1,3,4
840,53,001,101,1979,03000,0,0,0,1,0,1,1
840,53,001,101,1979,03160,1,1,0,3,0,3,5
840,53,001,101,1979,03340,0,0,1,0,0,1,1
840,53,001,101,1979,03370,0,0,0,1,0,1,1
840,53,001,101,1979,03600,0,0,2,2,1,5,5
840,53,001,101,1979,03900,1,0,0,0,0,1,1
840,53,001,101,1979,04021,2,0,0,3,1,4,6
840,53,001,101,1979,04130,2,2,7,3,5,16,19
840,53,001,101,1979,04440,0,0,1,0,0,1,1
840,53,001,101,1979,04590,0,0,0,0,1,1,1
840,53,001,101,1979,04620,3,0,0,0,0,2,3
840,53,001,101,1979,04660,3,11,3,1,0,13,18
840,53,001,101,1979,04680,1,4,3,3,1,10,12
840,53,001,101,1979,04690,0,3,0,2,1,6,6
840,53,001,101,1979,04780,1,0,0,0,0,1,1
840,53,001,101,1979,04840,1,0,0,0,0,1,1
840,53,001,101,1979,04860,3,3,8,1,5,10,20
840,53,001,101,1979,04880,4,2,0,0,0,5,6
840,53,001,101,1979,04950,0,2,0,8,0,5,10
840,53,001,101,1979,05140,0,0,0,0,4,2,4
840,53,001,101,1979,05180,1,0,0,2,0,2,3
840,53,001,101,1979,05210,0,0,5,0,0,2,5
840,53,001,101,1979,05330,0,0,6,2,1,4,9
840,53,001,101,1979,05600,10,5,6,2,6,20,29
840,53,001,101,1979,05671,2,1,0,1,4,5,8
840,53,001,101,1979,05810,11,13,11,5,5,26,45
840,53,001,101,1979,06070,0,2,1,1,2,5,6
840,53,001,101,1979,06130,0,2,6,0,1,4,9
840,53,001,101,1979,06140,0,0,0,0,3,2,3
840,53,001,101,1979,06150,0,0,0,0,3,1,3
840,53,001,101,1979,06170,0,0,8,0,2,3,10
840,53,001,101,1979,06190,2,1,0,2,0,4,5
840,53,001,101,1979,06240,3,1,1,5,8,14,18
840,53,001,101,1979,06270,2,1,2,0,1,6,6
840,53,001,101,1979,06291,3,1,3,1,0,7,8
840,53,001,101,1979,06460,0,2,2,0,0,4,4
840,53,001,101,1979,06520,1,4,7,7,4,18,23
840,53,001,101,1979,06560,1,7,4,10,5,19,27
840,53,001,101,1979,06680,0,0,1,0,0,1,1
840,53,001,101,1979,06750,1,0,0,0,0,1,1
840,53,001,101,1979,06800,3,3,5,5,3,17,19
840,53,001,101,1979,06810,2,0,0,1,0,3,3
840,53,001,101,1979,06870,2,4,1,3,2,11,12
840,53,001,101,1979,07040,0,1,1,0,0,2,2
840,53,001,101,1979,07280,2,1,0,2,1,6,6
840,53,001,101,1979,07350,0,0,0,4,2,2,6
840,53,001,101,1979,07380,2,1,0,5,0,5,8
840,53,001,101,1979,07490,1,2,1,6,1,7,11
840,53,001,101,1979,07560,5,0,0,0,0,3,5
840,53,001,101,1979,07580,8,9,7,8,5,25,37
840,53,001,101,1979,07610,18,19,7,13,11,34,68
840,53,001,101,1979,07630,1,0,0,0,0,1,1
840,53,001,101,1979,07680,1,0,0,0,0,1,1
840,53,001,101,1981,01440,1,0,0,0,0,1,1
840,53,001,101,1981,02140,2,0,0,0,0,1,2
840,53,001,101,1981,02630,0,0,0,2,2,3,4
840,53,001,101,1981,02730,0,0,0,2,0,1,2
840,53,001,101,1981,03160,0,0,0,1,0,1,1
840,53,001,101,1981,03370,0,0,2,3,1,4,6
840,53,001,101,1981,03570,0,0,0,0,1,1,1
840,53,001,101,1981,03600,1,0,0,1,0,2,2
840,53,001,101,1981,03900,0,0,1,0,0,1,1
840,53,001,101,1981,04040,0,0,0,1,0,1,1
840,53,001,101,1981,04080,0,0,3,0,0,1,3
840,53,001,101,1981,04130,1,4,1,3,0,9,9
840,53,001,101,1981,04200,8,0,0,0,0,3,8
840,53,001,101,1981,04440,0,0,2,0,0,1,2
840,53,001,101,1981,04620,1,1,0,0,0,2,2
840,53,001,101,1981,04640,0,1,1,0,0,2,2
840,53,001,101,1981,04660,11,11,4,1,1,12,28
840,53,001,101,1981,04680,0,2,0,2,3,5,7
840,53,001,101,1981,04690,0,0,3,0,1,3,4
840,53,001,101,1981,04860,3,3,4,2,8,11,20
840,53,001,101,1981,04880,1,2,0,1,0,3,4
840,53,001,101,1981,04950,0,0,2,5,0,4,7
840,53,001,101,1981,04980,0,0,0,0,2,1,2
840,53,001,101,1981,05011,3,0,0,0,0,2,3
840,53,001,101,1981,05080,0,0,0,0,1,1,1
840,53,001,101,1981,05100,0,0,4,1,0,2,5
840,53,001,101,1981,05140,0,0,1,3,0,2,4
840,53,001,101,1981,05180,0,0,0,1,1,2,2
840,53,001,101,1981,05210,0,0,30,0,0,1,30
840,53,001,101,1981,05330,0,0,0,0,2,1,2
840,53,001,101,1981,05400,1,0,0,0,0,1,1
840,53,001,101,1981,05420,1,0,0,0,0,1,1
840,53,001,101,1981,05540,1,0,0,0,0,1,1
840,53,001,101,1981,05600,12,3,4,1,0,12,20
840,53,001,101,1981,05671,17,14,6,7,4,27,48
840,53,001,101,1981,05810,8,18,16,9,5,29,56
840,53,001,101,1981,06070,0,1,0,0,1,2,2
840,53,001,101,1981,06130,16,0,6,1,3,7,26
840,53,001,101,1981,06140,2,0,2,0,2,3,6
840,53,001,101,1981,06150,1,0,0,0,4,2,5
840,53,001,101,1981,06170,3,0,0,20,0,5,23
