countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,56,001,101,1966,00070,0,0,1,0,0,1,1
124,56,001,101,1966,03430,0,0,1,0,0,1,1
124,56,001,101,1966,03900,0,0,1,0,0,1,1
124,56,001,101,1966,03940,0,0,1,0,0,1,1
124,56,001,101,1966,04020,0,2,0,0,0,2,2
124,56,001,101,1966,04590,0,1,0,1,0,2,2
124,56,001,101,1966,04610,0,1,0,1,1,3,3
124,56,001,101,1966,04630,0,1,0,2,0,3,3
124,56,001,101,1966,04670,1,3,3,4,4,12,15
124,56,001,101,1966,04840,0,0,0,4,1,4,5
124,56,001,101,1966,04860,0,0,2,0,0,1,2
124,56,001,101,1966,04880,0,0,1,0,0,1,1
124,56,001,101,1966,04930,0,0,0,0,2,1,2
124,56,001,101,1966,05110,0,0,0,2,0,2,2
124,56,001,101,1966,05150,0,0,0,0,1,1,1
124,56,001,101,1966,05170,0,1,2,3,1,7,7
124,56,001,101,1966,05580,17,21,14,8,7,37,67
124,56,001,101,1966,05600,0,0,0,1,0,1,1
124,56,001,101,1966,05670,9,10,7,6,3,25,35
124,56,001,101,1966,05850,0,0,2,2,0,4,4
124,56,001,101,1966,06130,0,0,0,3,0,1,3
124,56,001,101,1966,06140,0,5,1,3,2,9,11
124,56,001,101,1966,06240,0,7,3,1,0,10,11
124,56,001,101,1966,06260,0,0,0,1,2,3,3
124,56,001,101,1966,06450,0,0,1,1,3,4,5
124,56,001,101,1966,06480,0,0,2,3,0,5,5
124,56,001,101,1966,06540,1,0,1,0,1,3,3
124,56,001,101,1966,06550,0,0,1,1,2,4,4
124,56,001,101,1966,06570,2,15,11,9,7,32,44
124,56,001,101,1966,06600,0,2,6,6,4,15,18
124,56,001,101,1966,06610,0,0,0,1,3,3,4
124,56,001,101,1966,06620,0,0,0,1,1,2,2
124,56,001,101,1966,06670,0,3,0,2,7,9,12
124,56,001,101,1966,06740,1,4,0,0,1,6,6
124,56,001,101,1966,06860,0,1,0,1,0,2,2
124,56,001,101,1966,06870,0,5,1,1,3,10,10
