countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,64,001,101,1968,00040,0,1,0,0,0,1,1
840,64,001,101,1968,00590,0,12,14,14,0,5,40
840,64,001,101,1968,00770,2,8,2,1,0,9,13
840,64,001,101,1968,01320,0,8,0,0,0,1,8
840,64,001,101,1968,01350,2,2,0,2,0,3,6
840,64,001,101,1968,01400,4,12,4,11,0,9,31
840,64,001,101,1968,01420,0,1,0,0,0,1,1
840,64,001,101,1968,01430,1,3,3,4,2,6,13
840,64,001,101,1968,01460,5,1,0,0,0,2,6
840,64,001,101,1968,01670,11,0,0,2,0,3,13
840,64,001,101,1968,01900,5,3,1,8,0,11,17
840,64,001,101,1968,02020,0,2,0,14,0,3,16
840,64,001,101,1968,02140,2,0,0,2,0,2,4
840,64,001,101,1968,02210,6,9,0,0,0,7,15
840,64,001,101,1968,02240,0,0,0,2,0,1,2
840,64,001,101,1968,02490,0,1,0,6,0,2,7
840,64,001,101,1968,02580,2,1,0,1,0,4,4
840,64,001,101,1968,02610,0,1,0,0,0,1,1
840,64,001,101,1968,02730,1,6,0,4,1,7,12
840,64,001,101,1968,02881,0,0,1,0,0,1,1
840,64,001,101,1968,03091,11,2,2,1,1,12,17
840,64,001,101,1968,03131,0,3,0,0,0,1,3
840,64,001,101,1968,03160,1,3,6,3,9,13,22
840,64,001,101,1968,03370,0,2,0,0,0,2,2
840,64,001,101,1968,04060,0,0,0,2,0,2,2
840,64,001,101,1968,04200,1,0,0,0,0,1,1
840,64,001,101,1968,04440,0,0,0,2,3,4,5
840,64,001,101,1968,04470,0,6,4,0,0,4,10
840,64,001,101,1968,04520,0,0,0,1,0,1,1
840,64,001,101,1968,04740,2,0,0,0,0,1,2
840,64,001,101,1968,04770,0,0,0,3,0,1,3
840,64,001,101,1968,04880,1,0,0,0,0,1,1
840,64,001,101,1968,04940,0,3,11,5,5,9,24
840,64,001,101,1968,04950,0,0,1,2,2,3,5
840,64,001,101,1968,04970,11,65,9,6,0,14,91
840,64,001,101,1968,04980,31,29,22,41,14,34,137
840,64,001,101,1968,05011,5,13,13,7,4,25,42
840,64,001,101,1968,05110,0,4,2,1,0,5,7
840,64,001,101,1968,05400,0,0,2,1,2,4,5
840,64,001,101,1968,05420,0,0,3,1,0,3,4
840,64,001,101,1968,05810,1,0,1,1,0,3,3
840,64,001,101,1968,06040,0,0,0,3,2,2,5
840,64,001,101,1968,06130,0,0,1,2,1,3,4
840,64,001,101,1968,06140,0,0,0,3,0,1,3
840,64,001,101,1968,06270,0,0,1,1,0,2,2
840,64,001,101,1968,06520,0,0,1,2,0,2,3
840,64,001,101,1968,06810,13,13,8,3,3,26,40
840,64,001,101,1968,06882,0,0,3,2,0,2,5
840,64,001,101,1968,07050,0,0,0,0,1,1,1
840,64,001,101,1968,07210,0,0,0,2,0,1,2
840,64,001,101,1968,07240,0,1,0,0,0,1,1
840,64,001,101,1968,07250,2,2,0,0,0,2,4
840,64,001,101,1968,07610,0,1,0,0,0,1,1
840,64,001,101,1969,00060,5,7,2,0,0,11,14
840,64,001,101,1969,00590,0,7,27,0,0,9,34
840,64,001,101,1969,00690,0,0,0,2,0,1,2
840,64,001,101,1969,00770,10,20,11,1,0,20,42
840,64,001,101,1969,01320,1,18,7,8,4,15,38
840,64,001,101,1969,01350,1,1,4,2,0,5,8
840,64,001,101,1969,01370,0,0,0,1,0,1,1
840,64,001,101,1969,01390,0,1,0,0,0,1,1
840,64,001,101,1969,01400,14,14,4,5,2,14,39
840,64,001,101,1969,01420,1,2,0,0,0,2,3
840,64,001,101,1969,01430,0,0,1,0,0,1,1
840,64,001,101,1969,01460,2,2,2,0,2,4,8
840,64,001,101,1969,01670,5,0,0,0,0,2,5
840,64,001,101,1969,01900,7,2,2,2,0,12,13
840,64,001,101,1969,02020,0,5,0,1,0,2,6
840,64,001,101,1969,02120,1,0,0,0,0,1,1
840,64,001,101,1969,02140,6,1,0,1,1,9,9
840,64,001,101,1969,02210,15,8,2,4,0,16,29
840,64,001,101,1969,02240,0,0,1,0,0,1,1
840,64,001,101,1969,02250,0,0,0,0,2,2,2
840,64,001,101,1969,02300,1,0,1,0,0,2,2
840,64,001,101,1969,02490,0,1,0,0,1,2,2
840,64,001,101,1969,02610,2,4,0,2,0,6,8
840,64,001,101,1969,02730,4,5,10,6,7,21,32
840,64,001,101,1969,03091,2,2,0,0,0,4,4
840,64,001,101,1969,03131,0,5,0,0,0,1,5
840,64,001,101,1969,03160,6,8,10,7,14,30,45
840,64,001,101,1969,03370,0,1,0,0,1,2,2
840,64,001,101,1969,04060,0,0,0,1,1,2,2
840,64,001,101,1969,04120,0,1,1,3,3,7,8
840,64,001,101,1969,04440,1,0,3,4,5,12,13
840,64,001,101,1969,04470,2,2,1,0,2,5,7
840,64,001,101,1969,04660,0,0,0,1,0,1,1
840,64,001,101,1969,04740,1,2,1,4,2,8,10
840,64,001,101,1969,04880,0,1,0,0,3,2,4
840,64,001,101,1969,04930,3,0,0,0,22,5,25
840,64,001,101,1969,04940,2,10,9,5,9,22,35
840,64,001,101,1969,04950,4,11,13,18,6,27,52
840,64,001,101,1969,04970,20,24,47,16,0,27,107
840,64,001,101,1969,04980,24,142,116,114,59,48,455
840,64,001,101,1969,05011,7,5,20,21,8,32,61
840,64,001,101,1969,05060,0,0,0,4,2,4,6
840,64,001,101,1969,05070,0,0,0,1,0,1,1
840,64,001,101,1969,05110,7,39,93,19,40,29,198
840,64,001,101,1969,05290,0,0,2,0,4,5,6
840,64,001,101,1969,05400,0,0,0,2,9,9,11
840,64,001,101,1969,05420,3,6,5,4,0,12,18
840,64,001,101,1969,05460,1,0,1,0,1,3,3
840,64,001,101,1969,05610,1,0,0,0,0,1,1
840,64,001,101,1969,05810,0,1,0,0,1,2,2
840,64,001,101,1969,05840,0,1,0,0,0,1,1
840,64,001,101,1969,06040,0,0,0,6,0,3,6
