countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,60,001,101,1975,01290,2,0,0,0,0,1,2
840,60,001,101,1975,02210,0,0,0,0,1,1,1
840,60,001,101,1975,02730,2,0,0,0,4,4,6
840,60,001,101,1975,02950,2,4,4,1,5,7,16
840,60,001,101,1975,03091,4,2,0,0,0,5,6
840,60,001,101,1975,03131,0,1,0,0,0,1,1
840,60,001,101,1975,03160,5,0,5,4,8,15,22
840,60,001,101,1975,03370,0,0,0,0,1,1,1
840,60,001,101,1975,03600,1,0,1,0,0,2,2
840,60,001,101,1975,03900,0,0,0,0,1,1,1
840,60,001,101,1975,04470,1,1,4,0,2,7,8
840,60,001,101,1975,04540,0,0,0,4,0,3,4
840,60,001,101,1975,04620,0,0,0,0,1,1,1
840,60,001,101,1975,04750,12,7,2,0,2,12,23
840,60,001,101,1975,04810,0,0,3,0,0,1,3
840,60,001,101,1975,04920,0,12,1,1,0,4,14
840,60,001,101,1975,04930,13,4,0,0,1,9,18
840,60,001,101,1975,04950,1,1,0,0,0,2,2
840,60,001,101,1975,04980,16,2,0,0,30,11,48
840,60,001,101,1975,05011,19,9,11,10,19,41,68
840,60,001,101,1975,05080,0,1,0,0,4,4,5
840,60,001,101,1975,05100,0,3,0,0,1,2,4
840,60,001,101,1975,05190,0,0,0,2,0,2,2
840,60,001,101,1975,05520,0,3,9,10,1,12,23
840,60,001,101,1975,05620,0,0,0,1,1,2,2
840,60,001,101,1975,05730,0,1,2,0,0,3,3
840,60,001,101,1975,05740,0,0,2,0,0,1,2
840,60,001,101,1975,05960,3,0,0,0,0,2,3
840,60,001,101,1975,06120,150,0,0,1,2,3,153
840,60,001,101,1975,06130,0,1,0,0,13,4,14
840,60,001,101,1975,06170,2,3,0,0,0,2,5
840,60,001,101,1975,06520,2,1,0,0,2,5,5
840,60,001,101,1975,06882,14,12,0,0,1,11,27
840,60,001,101,1975,07020,0,0,0,1,0,1,1
840,60,001,101,1975,07030,0,1,6,7,1,14,15
840,60,001,101,1975,07150,0,0,1,0,0,1,1
840,60,001,101,1975,07190,1,0,0,0,0,1,1
840,60,001,101,1975,07331,0,0,0,1,0,1,1
840,60,001,101,1975,07610,3,3,0,0,2,8,8
840,60,001,101,1975,07680,0,0,3,0,0,2,3
840,60,001,101,1976,01720,2,0,0,0,0,1,2
840,60,001,101,1976,02730,0,1,0,0,2,3,3
840,60,001,101,1976,02950,3,4,10,4,6,14,27
840,60,001,101,1976,03091,11,8,0,0,0,16,19
840,60,001,101,1976,03160,0,1,2,10,7,13,20
840,60,001,101,1976,03250,0,0,0,0,5,2,5
840,60,001,101,1976,03490,0,0,0,2,0,1,2
840,60,001,101,1976,03600,1,1,0,0,1,3,3
840,60,001,101,1976,04130,0,2,0,0,0,2,2
840,60,001,101,1976,04200,0,0,0,1,0,1,1
840,60,001,101,1976,04470,1,4,0,0,1,6,6
840,60,001,101,1976,04480,0,0,2,0,0,2,2
840,60,001,101,1976,04570,0,0,2,0,0,2,2
840,60,001,101,1976,04620,2,1,0,0,0,3,3
840,60,001,101,1976,04740,0,0,0,3,0,1,3
840,60,001,101,1976,04750,5,15,0,0,4,13,24
840,60,001,101,1976,04810,0,0,1,0,0,1,1
840,60,001,101,1976,04860,0,0,2,0,0,2,2
840,60,001,101,1976,04920,0,0,0,1,0,1,1
840,60,001,101,1976,04930,15,4,0,0,16,10,35
840,60,001,101,1976,04950,4,2,1,0,1,6,8
840,60,001,101,1976,04980,7,4,0,0,27,13,38
840,60,001,101,1976,05011,30,19,2,10,16,33,77
840,60,001,101,1976,05080,4,3,0,0,2,8,9
840,60,001,101,1976,05100,1,3,0,0,2,4,6
840,60,001,101,1976,05190,3,1,1,2,6,10,13
840,60,001,101,1976,05520,0,4,1,9,4,10,18
840,60,001,101,1976,05600,1,0,0,1,0,2,2
840,60,001,101,1976,05730,0,2,9,4,1,11,16
840,60,001,101,1976,05960,2,1,0,0,1,4,4
840,60,001,101,1976,05970,2,0,0,0,0,2,2
840,60,001,101,1976,06120,0,0,0,0,4,2,4
840,60,001,101,1976,06130,0,1,0,0,8,4,9
840,60,001,101,1976,06150,0,0,0,0,2,1,2
840,60,001,101,1976,06170,0,2,0,0,2,2,4
840,60,001,101,1976,06220,0,0,0,5,3,7,8
840,60,001,101,1976,06520,0,0,0,0,2,2,2
840,60,001,101,1976,06882,19,13,0,0,1,13,33
840,60,001,101,1976,07020,0,0,0,2,0,1,2
840,60,001,101,1976,07030,2,3,4,3,0,11,12
840,60,001,101,1976,07150,0,1,0,0,0,1,1
840,60,001,101,1976,07331,0,0,0,1,0,1,1
840,60,001,101,1976,07610,7,2,0,0,4,10,13
840,60,001,101,1976,07680,0,0,1,1,0,2,2
840,60,001,101,1977,01200,0,1,0,0,0,1,1
840,60,001,101,1977,02730,4,2,0,0,1,4,7
840,60,001,101,1977,02950,2,2,0,2,2,7,8
840,60,001,101,1977,03091,9,3,0,0,0,9,12
840,60,001,101,1977,03160,3,6,2,3,7,12,21
840,60,001,101,1977,03370,0,0,1,0,0,1,1
840,60,001,101,1977,03600,1,1,1,0,0,3,3
840,60,001,101,1977,04080,0,1,0,0,0,1,1
840,60,001,101,1977,04200,0,0,0,1,0,1,1
840,60,001,101,1977,04290,1,0,0,0,0,1,1
840,60,001,101,1977,04470,0,1,0,0,2,2,3
