countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,43,002,101,2007,00070,0,1,0,0,0,1,1
124,43,002,101,2007,00100,1,0,0,0,3,3,4
124,43,002,101,2007,00420,4,0,0,0,0,1,4
124,43,002,101,2007,00550,4,0,0,0,0,2,4
124,43,002,101,2007,01320,1,0,0,0,0,1,1
124,43,002,101,2007,01370,5,0,2,0,0,2,7
124,43,002,101,2007,01390,0,0,4,0,1,2,5
124,43,002,101,2007,01490,6,2,0,0,0,2,8
124,43,002,101,2007,01720,0,1,0,0,2,2,3
124,43,002,101,2007,02300,0,0,1,0,0,1,1
124,43,002,101,2007,02550,0,0,0,2,0,2,2
124,43,002,101,2007,02560,0,0,1,0,0,1,1
124,43,002,101,2007,03340,0,0,0,1,0,1,1
124,43,002,101,2007,04120,0,1,0,0,0,1,1
124,43,002,101,2007,04661,0,2,3,2,0,5,7
124,43,002,101,2007,04840,0,0,0,2,0,1,2
124,43,002,101,2007,04860,0,4,3,1,0,7,8
124,43,002,101,2007,05090,0,0,5,0,2,5,7
124,43,002,101,2007,05280,0,0,8,6,3,7,17
124,43,002,101,2007,05420,0,0,8,0,0,2,8
124,43,002,101,2007,05540,10,19,16,11,7,28,63
124,43,002,101,2007,05590,4,2,1,5,0,8,12
124,43,002,101,2007,05600,2,3,0,0,0,4,5
124,43,002,101,2007,05670,1,0,1,0,0,2,2
124,43,002,101,2007,05850,0,0,0,2,2,4,4
124,43,002,101,2007,06140,0,2,0,0,1,2,3
124,43,002,101,2007,06180,1,0,0,0,0,1,1
124,43,002,101,2007,06520,3,7,4,3,1,12,18
124,43,002,101,2007,06550,2,3,4,2,0,8,11
124,43,002,101,2007,06610,0,0,2,0,1,3,3
124,43,002,101,2007,06750,1,4,1,0,0,4,6
124,43,002,101,2007,06850,0,0,1,0,1,2,2
124,43,002,101,2007,07580,1,2,0,0,1,3,4
124,43,002,101,2007,07610,2,3,1,0,4,7,10
124,43,003,101,2007,00550,2,0,0,0,2,2,4
124,43,003,101,2007,01390,0,0,0,0,1,1,1
124,43,003,101,2007,02560,0,1,0,0,0,1,1
124,43,003,101,2007,02740,0,1,0,0,0,1,1
124,43,003,101,2007,03340,0,0,1,0,0,1,1
124,43,003,101,2007,03370,0,0,0,0,1,1,1
124,43,003,101,2007,04570,2,0,0,0,0,1,2
124,43,003,101,2007,04840,0,1,0,3,0,2,4
124,43,003,101,2007,04860,0,0,0,1,0,1,1
124,43,003,101,2007,05280,2,9,17,25,10,21,63
124,43,003,101,2007,05540,6,18,29,25,11,36,89
124,43,003,101,2007,05590,0,15,14,6,2,20,37
124,43,003,101,2007,05600,0,0,0,9,0,4,9
124,43,003,101,2007,05670,0,1,0,0,0,1,1
124,43,003,101,2007,05850,0,1,5,7,0,10,13
124,43,003,101,2007,06120,0,0,0,0,4,1,4
124,43,003,101,2007,06520,3,0,0,0,1,3,4
124,43,003,101,2007,06550,2,0,2,4,0,6,8
124,43,003,101,2007,06610,0,0,0,2,1,3,3
124,43,003,101,2007,06850,0,0,1,1,0,2,2
124,43,003,101,2007,06870,0,0,1,0,0,1,1
124,43,003,101,2007,07580,0,0,1,2,0,2,3
124,43,003,101,2007,07590,0,0,1,0,1,2,2
124,43,003,101,2007,07610,2,0,2,1,0,5,5
124,43,003,101,2008,00070,1,0,0,0,0,1,1
124,43,003,101,2008,01390,1,0,0,0,0,1,1
124,43,003,101,2008,02060,0,0,0,0,1,1,1
124,43,003,101,2008,02300,0,10,7,5,0,17,22
124,43,003,101,2008,02550,1,4,0,2,2,6,9
124,43,003,101,2008,03310,0,0,0,0,1,1,1
124,43,003,101,2008,03340,1,0,3,1,0,5,5
124,43,003,101,2008,04661,4,0,7,0,9,9,20
124,43,003,101,2008,04840,2,6,5,1,0,8,14
124,43,003,101,2008,04860,0,1,1,0,3,4,5
124,43,003,101,2008,05090,0,0,0,0,1,1,1
124,43,003,101,2008,05150,1,2,0,4,0,5,7
124,43,003,101,2008,05220,0,0,2,3,0,3,5
124,43,003,101,2008,05280,3,12,9,10,24,24,58
124,43,003,101,2008,05420,1,2,0,0,0,2,3
124,43,003,101,2008,05540,26,28,25,19,10,41,108
124,43,003,101,2008,05580,2,0,0,0,0,1,2
124,43,003,101,2008,05590,10,5,3,4,8,21,30
124,43,003,101,2008,05600,13,1,0,0,0,7,14
124,43,003,101,2008,05670,15,8,3,1,3,14,30
124,43,003,101,2008,05830,0,1,3,0,0,4,4
