countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,54,001,101,1969,02730,6,4,1,0,0,4,11
840,54,001,101,1969,02890,4,4,2,3,3,14,16
840,54,001,101,1969,03091,1,2,1,0,0,4,4
840,54,001,101,1969,03131,0,30,0,1,0,2,31
840,54,001,101,1969,03160,16,10,14,11,7,27,58
840,54,001,101,1969,03370,0,1,0,0,0,1,1
840,54,001,101,1969,03870,0,0,0,1,0,1,1
840,54,001,101,1969,04060,2,1,3,5,2,13,13
840,54,001,101,1969,04090,0,0,1,0,0,1,1
840,54,001,101,1969,04120,0,0,1,1,2,4,4
840,54,001,101,1969,04200,1,0,0,0,0,1,1
840,54,001,101,1969,04230,3,7,8,0,0,9,18
840,54,001,101,1969,04440,2,1,2,0,1,5,6
840,54,001,101,1969,04470,1,0,1,2,4,5,8
840,54,001,101,1969,04560,1,0,0,0,0,1,1
840,54,001,101,1969,04610,1,1,0,0,0,2,2
840,54,001,101,1969,04770,2,1,3,2,1,8,9
840,54,001,101,1969,04930,4,0,0,0,0,1,4
840,54,001,101,1969,04950,6,6,2,0,4,9,18
840,54,001,101,1969,04980,1,6,1,11,13,13,32
840,54,001,101,1969,05010,6,0,0,0,0,1,6
840,54,001,101,1969,05011,0,9,0,11,2,12,22
840,54,001,101,1969,05060,0,3,2,2,4,9,11
840,54,001,101,1969,05070,1,1,3,1,1,6,7
840,54,001,101,1969,05110,1,73,5,14,4,19,97
840,54,001,101,1969,05290,1,1,0,3,0,3,5
840,54,001,101,1969,05460,2,0,0,0,0,2,2
840,54,001,101,1969,05600,0,0,7,0,1,6,8
840,54,001,101,1969,05630,1,0,1,3,3,7,8
840,54,001,101,1969,05810,0,0,0,0,1,1,1
840,54,001,101,1969,05930,6,4,8,5,2,19,25
840,54,001,101,1969,05950,1,2,0,0,3,5,6
840,54,001,101,1969,05980,1,0,2,1,0,4,4
840,54,001,101,1969,06040,10,7,8,11,6,27,42
840,54,001,101,1969,06110,0,0,0,0,2,1,2
840,54,001,101,1969,06130,2,0,3,6,4,10,15
840,54,001,101,1969,06170,0,0,0,3,0,1,3
840,54,001,101,1969,06240,0,0,1,0,2,2,3
840,54,001,101,1969,06270,0,0,0,0,1,1,1
840,54,001,101,1969,06330,0,0,1,0,0,1,1
840,54,001,101,1969,06810,1,1,0,0,1,3,3
840,54,001,101,1969,06882,19,119,30,34,30,24,232
840,54,001,101,1969,07040,2,4,2,0,0,7,8
840,54,001,101,1969,07050,4,7,9,3,1,15,24
840,54,001,101,1969,07210,6,6,6,4,8,18,30
840,54,001,101,1969,07310,0,0,0,1,0,1,1
840,54,001,101,1969,07350,3,0,0,0,0,3,3
840,54,001,101,1969,07550,0,0,1,0,0,1,1
840,54,001,101,1969,07610,7,8,9,2,4,18,30
840,54,001,101,1970,01940,0,0,2,0,0,1,2
840,54,001,101,1970,02730,3,5,2,0,0,4,10
840,54,001,101,1970,02890,3,2,2,5,2,11,14
840,54,001,101,1970,03091,0,2,0,4,0,2,6
840,54,001,101,1970,03131,0,10,0,2,0,2,12
840,54,001,101,1970,03160,12,9,17,13,8,26,59
840,54,001,101,1970,03870,0,2,1,0,0,2,3
840,54,001,101,1970,03940,0,0,1,0,0,1,1
840,54,001,101,1970,04060,3,1,0,0,2,6,6
840,54,001,101,1970,04090,0,0,0,0,1,1,1
840,54,001,101,1970,04120,0,0,0,2,5,5,7
840,54,001,101,1970,04230,4,9,6,2,0,11,21
840,54,001,101,1970,04440,3,2,4,0,3,8,12
840,54,001,101,1970,04470,0,0,1,0,5,3,6
840,54,001,101,1970,04560,0,0,1,0,0,1,1
840,54,001,101,1970,04610,1,1,0,0,0,2,2
840,54,001,101,1970,04740,0,0,0,0,1,1,1
840,54,001,101,1970,04770,3,1,8,5,2,12,19
840,54,001,101,1970,04930,4,0,0,0,0,1,4
840,54,001,101,1970,04950,7,7,2,0,3,10,19
840,54,001,101,1970,04980,2,8,5,10,14,14,39
840,54,001,101,1970,05010,7,0,0,0,0,5,7
840,54,001,101,1970,05011,0,12,3,12,1,14,28
840,54,001,101,1970,05060,0,2,0,2,6,7,10
840,54,001,101,1970,05070,2,1,1,1,4,7,9
840,54,001,101,1970,05110,0,60,10,19,5,19,94
840,54,001,101,1970,05290,0,2,0,4,2,5,8
840,54,001,101,1970,05460,2,0,0,0,0,1,2
840,54,001,101,1970,05600,0,5,6,0,0,8,11
840,54,001,101,1970,05630,1,0,1,2,1,5,5
840,54,001,101,1970,05810,0,0,0,0,2,2,2
840,54,001,101,1970,05930,5,5,8,6,0,20,24
840,54,001,101,1970,05950,0,0,2,0,4,5,6
840,54,001,101,1970,05980,1,0,0,2,2,5,5
840,54,001,101,1970,06040,8,2,5,12,8,20,35
840,54,001,101,1970,06110,0,2,0,0,0,1,2
840,54,001,101,1970,06130,4,0,5,16,6,12,31
840,54,001,101,1970,06240,0,0,1,0,3,3,4
840,54,001,101,1970,06270,0,0,0,0,1,1,1
840,54,001,101,1970,06810,0,1,0,0,1,2,2
840,54,001,101,1970,06882,18,66,32,37,28,30,181
840,54,001,101,1970,07030,0,0,0,0,1,1,1
840,54,001,101,1970,07040,2,4,2,1,0,8,9
840,54,001,101,1970,07050,4,8,8,4,2,17,26
840,54,001,101,1970,07210,6,6,6,3,7,19,28
840,54,001,101,1970,07310,1,0,1,1,0,3,3
840,54,001,101,1970,07350,4,0,4,0,0,6,8
840,54,001,101,1970,07610,5,7,8,4,4,22,28
840,54,001,101,1971,02730,3,4,2,0,0,3,9
840,54,001,101,1971,02890,8,7,3,3,7,20,28
840,54,001,101,1971,03091,7,4,1,2,0,13,14
840,54,001,101,1971,03131,0,12,0,0,0,1,12
840,54,001,101,1971,03160,12,22,12,10,15,20,71
840,54,001,101,1971,03310,0,0,0,0,1,1,1
840,54,001,101,1971,03370,0,0,0,0,1,1,1
840,54,001,101,1971,03750,1,0,0,0,0,1,1
840,54,001,101,1971,03870,1,1,0,0,0,2,2
840,54,001,101,1971,03940,0,0,0,0,1,1,1
840,54,001,101,1971,04060,2,1,2,3,11,14,19
840,54,001,101,1971,04090,1,0,0,0,0,1,1
840,54,001,101,1971,04120,0,0,0,0,3,2,3
840,54,001,101,1971,04230,3,23,13,3,0,8,42
840,54,001,101,1971,04440,2,1,1,1,1,6,6
840,54,001,101,1971,04560,0,0,1,0,1,2,2
840,54,001,101,1971,04610,1,1,0,0,1,3,3
840,54,001,101,1971,04770,1,2,1,6,3,8,13
840,54,001,101,1971,04880,0,0,0,1,0,1,1
840,54,001,101,1971,04930,0,0,10,10,0,4,20
840,54,001,101,1971,04950,0,1,0,13,8,8,22
840,54,001,101,1971,04980,3,3,4,10,10,11,30
840,54,001,101,1971,05010,0,0,0,4,2,3,6
840,54,001,101,1971,05011,10,4,11,6,4,19,35
840,54,001,101,1971,05060,1,0,1,0,1,3,3
840,54,001,101,1971,05070,1,3,1,1,3,8,9
840,54,001,101,1971,05110,0,10,8,8,19,14,45
840,54,001,101,1971,05290,3,4,0,2,0,4,9
840,54,001,101,1971,05460,4,1,0,0,0,4,5
840,54,001,101,1971,05630,0,0,2,2,2,4,6
840,54,001,101,1971,05870,0,0,0,1,0,1,1
840,54,001,101,1971,05930,4,4,6,7,3,18,24
840,54,001,101,1971,05950,0,0,0,0,2,1,2
840,54,001,101,1971,05980,3,1,0,1,2,5,7
840,54,001,101,1971,06040,7,3,13,20,7,23,50
840,54,001,101,1971,06130,0,1,7,3,5,7,16
840,54,001,101,1971,06240,0,1,0,0,0,1,1
840,54,001,101,1971,06270,0,1,0,0,0,1,1
840,54,001,101,1971,06520,0,0,0,1,0,1,1
840,54,001,101,1971,06810,0,0,0,1,3,4,4
840,54,001,101,1971,06882,19,25,24,5,15,18,88
840,54,001,101,1971,07040,0,3,2,0,3,8,8
840,54,001,101,1971,07050,5,0,0,2,5,10,12
840,54,001,101,1971,07210,4,8,8,7,14,18,41
840,54,001,101,1971,07270,0,0,0,1,1,2,2
840,54,001,101,1971,07310,0,0,0,4,2,4,6
840,54,001,101,1971,07350,0,0,2,0,4,3,6
840,54,001,101,1971,07610,10,10,7,0,0,16,27
840,54,001,101,1971,07660,0,0,0,0,3,1,3
840,54,001,101,1972,02010,0,0,3,0,0,1,3
840,54,001,101,1972,02890,7,2,5,6,6,19,26
840,54,001,101,1972,03091,1,0,2,0,2,5,5
840,54,001,101,1972,03160,27,10,8,10,48,33,103
840,54,001,101,1972,03370,0,0,0,1,1,2,2
840,54,001,101,1972,03870,0,0,0,1,0,1,1
840,54,001,101,1972,03930,0,0,1,0,1,2,2
840,54,001,101,1972,03940,0,0,1,0,0,1,1
840,54,001,101,1972,04060,0,1,3,7,1,8,12
840,54,001,101,1972,04090,0,2,0,0,1,2,3
840,54,001,101,1972,04120,0,0,0,0,2,1,2
840,54,001,101,1972,04230,0,3,0,0,0,1,3
840,54,001,101,1972,04440,0,2,2,3,0,5,7
840,54,001,101,1972,04470,0,0,0,0,1,1,1
840,54,001,101,1972,04560,1,0,0,0,0,1,1
840,54,001,101,1972,04740,0,0,2,0,0,1,2
840,54,001,101,1972,04770,1,2,2,2,2,9,9
840,54,001,101,1972,04880,2,5,6,2,0,6,15
840,54,001,101,1972,04950,6,3,8,4,15,15,36
840,54,001,101,1972,04980,2,2,2,23,14,12,43
840,54,001,101,1972,05010,0,3,1,0,2,4,6
840,54,001,101,1972,05011,10,1,5,10,21,22,47
840,54,001,101,1972,05060,0,0,1,1,5,5,7
840,54,001,101,1972,05070,0,0,2,4,7,8,13
840,54,001,101,1972,05110,6,8,7,0,4,12,25
840,54,001,101,1972,05290,0,0,1,5,6,5,12
840,54,001,101,1972,05460,0,0,0,0,3,1,3
840,54,001,101,1972,05520,0,0,0,0,2,1,2
840,54,001,101,1972,05600,0,2,1,1,0,3,4
840,54,001,101,1972,05630,0,1,1,1,1,4,4
840,54,001,101,1972,05870,0,0,2,0,0,1,2
840,54,001,101,1972,05930,3,4,6,4,0,15,17
840,54,001,101,1972,05950,0,1,0,0,0,1,1
840,54,001,101,1972,05980,0,0,3,0,1,3,4
840,54,001,101,1972,06040,8,4,13,5,8,20,38
840,54,001,101,1972,06110,0,0,0,3,0,1,3
840,54,001,101,1972,06130,0,3,0,4,6,3,13
840,54,001,101,1972,06220,0,0,0,0,1,1,1
840,54,001,101,1972,06270,0,1,0,0,0,1,1
840,54,001,101,1972,06520,0,0,0,1,0,1,1
840,54,001,101,1972,06810,0,0,3,0,2,4,5
840,54,001,101,1972,06882,32,49,11,7,2,21,101
840,54,001,101,1972,07040,3,2,2,2,1,9,10
840,54,001,101,1972,07050,2,2,6,3,1,12,14
840,54,001,101,1972,07210,10,20,9,8,5,25,52
840,54,001,101,1972,07310,0,0,3,1,0,3,4
840,54,001,101,1972,07350,1,0,3,2,0,3,6
840,54,001,101,1972,07610,16,13,8,4,7,31,48
840,54,001,101,1972,07660,0,0,2,0,1,2,3
840,54,001,101,1973,02010,0,0,2,0,0,1,2
840,54,001,101,1973,02890,12,4,5,8,2,23,31
840,54,001,101,1973,03091,6,4,1,0,0,10,11
840,54,001,101,1973,03131,0,0,0,2,0,1,2
840,54,001,101,1973,03160,29,14,24,12,15,29,94
840,54,001,101,1973,03370,0,0,1,0,0,1,1
840,54,001,101,1973,03750,1,0,0,0,0,1,1
840,54,001,101,1973,03870,0,1,3,2,0,6,6
840,54,001,101,1973,03940,0,0,1,1,0,2,2
840,54,001,101,1973,04060,3,2,4,3,3,14,15
840,54,001,101,1973,04090,0,0,0,2,0,2,2
840,54,001,101,1973,04120,1,0,0,0,0,1,1
840,54,001,101,1973,04230,0,13,0,0,0,3,13
840,54,001,101,1973,04440,0,2,3,2,2,7,9
840,54,001,101,1973,04770,3,2,1,9,3,12,18
840,54,001,101,1973,04880,2,2,0,0,0,3,4
840,54,001,101,1973,04930,0,7,14,0,0,2,21
840,54,001,101,1973,04950,3,3,7,0,2,8,15
840,54,001,101,1973,04980,4,10,2,0,21,10,37
840,54,001,101,1973,05010,1,1,0,0,0,2,2
840,54,001,101,1973,05011,3,7,12,7,0,14,29
840,54,001,101,1973,05060,2,0,2,1,0,5,5
840,54,001,101,1973,05070,1,1,3,4,3,11,12
840,54,001,101,1973,05110,0,0,5,9,8,10,22
840,54,001,101,1973,05290,2,2,2,5,0,7,11
840,54,001,101,1973,05600,0,2,0,1,0,2,3
840,54,001,101,1973,05630,0,0,0,3,0,3,3
840,54,001,101,1973,05930,5,1,6,5,5,19,22
840,54,001,101,1973,05950,0,1,0,0,1,2,2
840,54,001,101,1973,05980,0,0,0,4,1,4,5
840,54,001,101,1973,06040,9,3,13,13,13,22,51
840,54,001,101,1973,06110,0,18,0,0,0,2,18
840,54,001,101,1973,06130,2,8,2,4,5,8,21
840,54,001,101,1973,06270,0,1,0,0,0,1,1
840,54,001,101,1973,06520,0,0,0,1,0,1,1
840,54,001,101,1973,06810,0,0,4,0,2,6,6
840,54,001,101,1973,06882,20,14,25,4,20,16,83
840,54,001,101,1973,07040,3,1,2,1,1,7,8
840,54,001,101,1973,07050,4,0,3,3,2,12,12
840,54,001,101,1973,07210,7,18,7,9,7,25,48
840,54,001,101,1973,07310,1,0,0,0,0,1,1
840,54,001,101,1973,07350,1,1,1,6,0,5,9
840,54,001,101,1973,07610,9,8,8,1,7,27,33
840,54,001,101,1973,07660,2,0,1,1,0,3,4
840,54,001,101,1974,02730,0,2,0,0,0,1,2
840,54,001,101,1974,02890,5,5,2,4,4,18,20
840,54,001,101,1974,03091,4,1,0,0,0,3,5
840,54,001,101,1974,03131,0,2,7,2,0,3,11
840,54,001,101,1974,03160,20,23,8,6,5,27,62
840,54,001,101,1974,03370,0,0,0,1,0,1,1
840,54,001,101,1974,03870,3,1,0,1,0,4,5
840,54,001,101,1974,03930,0,0,2,0,0,1,2
840,54,001,101,1974,03940,0,0,0,0,1,1,1
840,54,001,101,1974,04060,6,2,8,3,3,13,22
840,54,001,101,1974,04090,0,0,2,0,0,1,2
840,54,001,101,1974,04120,2,1,2,1,0,5,6
840,54,001,101,1974,04230,0,8,5,2,3,5,18
840,54,001,101,1974,04440,4,2,3,5,3,15,17
840,54,001,101,1974,04470,0,1,0,2,1,4,4
840,54,001,101,1974,04520,0,0,0,1,0,1,1
840,54,001,101,1974,04560,0,1,0,0,0,1,1
840,54,001,101,1974,04770,2,4,3,9,3,13,21
840,54,001,101,1974,04880,1,0,0,0,0,1,1
840,54,001,101,1974,04930,2,7,12,7,0,7,28
840,54,001,101,1974,04950,1,5,2,5,4,9,17
840,54,001,101,1974,04980,13,8,6,6,20,20,53
840,54,001,101,1974,05010,12,3,5,3,4,14,27
840,54,001,101,1974,05011,0,0,0,0,3,2,3
840,54,001,101,1974,05060,2,2,0,1,0,4,5
840,54,001,101,1974,05070,2,1,2,0,0,5,5
840,54,001,101,1974,05110,1,18,9,4,28,15,60
840,54,001,101,1974,05290,2,6,2,0,4,8,14
840,54,001,101,1974,05460,2,0,0,0,1,3,3
840,54,001,101,1974,05630,0,0,0,0,2,1,2
840,54,001,101,1974,05870,0,0,0,1,0,1,1
840,54,001,101,1974,05930,6,2,3,5,2,16,18
840,54,001,101,1974,05950,0,0,0,3,1,4,4
840,54,001,101,1974,05980,2,1,2,4,3,10,12
840,54,001,101,1974,06040,12,6,6,10,10,22,44
840,54,001,101,1974,06110,4,0,0,0,0,1,4
840,54,001,101,1974,06130,3,2,4,0,3,4,12
840,54,001,101,1974,06220,1,0,0,0,0,1,1
840,54,001,101,1974,06240,0,0,0,0,1,1,1
840,54,001,101,1974,06270,0,1,0,0,1,2,2
840,54,001,101,1974,06520,0,0,0,0,1,1,1
840,54,001,101,1974,06810,2,1,0,0,4,7,7
840,54,001,101,1974,06882,14,29,30,21,53,29,147
840,54,001,101,1974,07040,0,0,0,4,1,4,5
840,54,001,101,1974,07050,0,1,2,5,2,8,10
840,54,001,101,1974,07210,10,12,7,10,5,23,44
840,54,001,101,1974,07270,0,0,0,0,1,1,1
840,54,001,101,1974,07310,0,0,1,1,1,3,3
840,54,001,101,1974,07350,0,0,0,4,0,1,4
840,54,001,101,1974,07610,15,8,16,6,8,25,53
840,54,001,101,1974,07660,1,0,0,0,0,1,1
840,54,001,101,1975,02730,0,2,0,0,0,1,2
840,54,001,101,1975,02890,4,3,0,0,4,10,11
840,54,001,101,1975,03091,0,2,0,0,1,3,3
840,54,001,101,1975,03131,0,0,7,0,0,1,7
840,54,001,101,1975,03160,18,17,6,10,9,24,60
840,54,001,101,1975,03370,0,0,0,1,0,1,1
840,54,001,101,1975,03870,2,0,0,0,0,2,2
840,54,001,101,1975,03880,0,1,1,0,1,3,3
840,54,001,101,1975,03940,0,1,0,1,0,2,2
840,54,001,101,1975,04060,3,2,2,5,0,10,12
840,54,001,101,1975,04120,1,0,1,2,1,5,5
840,54,001,101,1975,04230,0,21,11,0,0,9,32
840,54,001,101,1975,04440,2,0,2,5,1,9,10
840,54,001,101,1975,04470,0,2,1,0,0,2,3
840,54,001,101,1975,04560,0,1,0,2,0,2,3
840,54,001,101,1975,04770,3,0,0,5,2,9,10
840,54,001,101,1975,04880,1,0,0,4,0,4,5
840,54,001,101,1975,04930,6,16,19,2,0,8,43
840,54,001,101,1975,04950,0,4,0,2,4,3,10
840,54,001,101,1975,04980,3,1,4,6,13,10,27
840,54,001,101,1975,05010,1,0,0,0,2,2,3
840,54,001,101,1975,05011,2,6,5,6,2,13,21
840,54,001,101,1975,05060,4,1,1,1,3,9,10
840,54,001,101,1975,05070,4,1,2,5,3,12,15
840,54,001,101,1975,05110,4,9,19,10,10,17,52
840,54,001,101,1975,05290,0,0,0,2,3,3,5
840,54,001,101,1975,05520,4,0,0,0,0,2,4
840,54,001,101,1975,05630,0,1,0,3,0,4,4
840,54,001,101,1975,05930,8,3,7,7,2,21,27
840,54,001,101,1975,05950,0,1,0,0,0,1,1
840,54,001,101,1975,05980,2,1,0,4,2,7,9
840,54,001,101,1975,06040,14,8,4,19,8,21,53
840,54,001,101,1975,06110,4,8,0,0,0,2,12
840,54,001,101,1975,06130,6,2,4,6,3,6,21
840,54,001,101,1975,06170,0,0,0,2,0,1,2
840,54,001,101,1975,06220,0,1,0,0,0,1,1
840,54,001,101,1975,06240,0,0,0,0,2,2,2
840,54,001,101,1975,06270,0,0,0,0,1,1,1
840,54,001,101,1975,06310,0,1,0,0,0,1,1
840,54,001,101,1975,06520,0,0,0,2,0,2,2
840,54,001,101,1975,06810,1,0,0,3,2,6,6
840,54,001,101,1975,06882,13,34,47,17,9,19,120
840,54,001,101,1975,07040,0,2,1,0,1,4,4
840,54,001,101,1975,07050,1,1,6,2,2,10,12
840,54,001,101,1975,07210,4,9,0,4,1,14,18
840,54,001,101,1975,07270,0,0,0,0,1,1,1
840,54,001,101,1975,07310,1,0,1,3,1,6,6
840,54,001,101,1975,07350,0,1,1,2,0,3,4
840,54,001,101,1975,07610,12,14,0,2,4,19,32
840,54,001,101,1977,01940,1,0,0,0,0,1,1
840,54,001,101,1977,02010,0,0,0,1,0,1,1
840,54,001,101,1977,02730,1,1,1,0,0,3,3
840,54,001,101,1977,02890,14,11,3,1,6,24,35
840,54,001,101,1977,03091,12,10,1,1,0,18,24
840,54,001,101,1977,03131,0,0,0,4,0,2,4
840,54,001,101,1977,03160,19,25,7,8,12,33,71
840,54,001,101,1977,03370,0,2,0,0,1,2,3
840,54,001,101,1977,03750,1,0,0,0,0,1,1
840,54,001,101,1977,03870,4,0,0,3,2,9,9
840,54,001,101,1977,03880,0,1,0,0,0,1,1
840,54,001,101,1977,03940,0,0,1,0,3,4,4
840,54,001,101,1977,04060,3,4,1,3,3,10,14
840,54,001,101,1977,04090,0,0,0,0,3,3,3
840,54,001,101,1977,04120,0,1,1,1,1,4,4
840,54,001,101,1977,04230,0,1,21,14,4,11,40
840,54,001,101,1977,04440,2,4,3,0,2,9,11
840,54,001,101,1977,04470,0,0,2,0,0,2,2
840,54,001,101,1977,04520,0,0,0,1,2,3,3
840,54,001,101,1977,04610,0,0,0,0,1,1,1
840,54,001,101,1977,04740,1,1,0,0,0,2,2
840,54,001,101,1977,04770,2,2,3,2,4,12,13
840,54,001,101,1977,04880,3,0,1,0,0,3,4
840,54,001,101,1977,04930,1,1,7,18,1,10,28
840,54,001,101,1977,04950,0,7,4,6,5,13,22
840,54,001,101,1977,04980,13,16,2,8,0,17,39
840,54,001,101,1977,05010,3,1,4,0,3,10,11
840,54,001,101,1977,05011,1,7,0,1,2,7,11
840,54,001,101,1977,05060,0,0,1,0,0,1,1
840,54,001,101,1977,05070,2,1,3,5,2,10,13
840,54,001,101,1977,05110,2,2,11,22,1,17,38
840,54,001,101,1977,05290,0,3,0,0,2,3,5
840,54,001,101,1977,05400,1,1,0,0,0,2,2
840,54,001,101,1977,05460,2,0,0,0,1,3,3
840,54,001,101,1977,05520,0,0,0,0,1,1,1
840,54,001,101,1977,05600,2,2,2,1,0,6,7
840,54,001,101,1977,05630,2,0,0,0,3,5,5
840,54,001,101,1977,05930,6,0,4,6,8,19,24
