countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,55,001,101,1968,02730,0,0,0,0,1,1,1
840,55,001,101,1968,04740,2,5,16,20,3,18,46
840,55,001,101,1968,04860,0,3,0,0,2,3,5
840,55,001,101,1968,05011,2,2,0,0,2,5,6
840,55,001,101,1968,05100,0,0,0,2,2,2,4
840,55,001,101,1968,05190,0,0,0,0,2,1,2
840,55,001,101,1968,05620,1,4,3,2,1,11,11
840,55,001,101,1968,05730,0,0,0,1,0,1,1
840,55,001,101,1968,05740,4,11,4,3,3,16,25
840,55,001,101,1968,06220,0,0,0,0,4,4,4
840,55,001,101,1968,07020,12,8,12,7,3,26,42
840,55,001,101,1969,02730,6,0,0,8,6,5,20
840,55,001,101,1969,03160,5,0,0,0,0,1,5
840,55,001,101,1969,03250,0,3,1,0,0,2,4
840,55,001,101,1969,03370,0,0,2,0,0,1,2
840,55,001,101,1969,03490,0,0,0,2,0,1,2
840,55,001,101,1969,03600,0,0,0,0,1,1,1
840,55,001,101,1969,04130,1,0,0,0,0,1,1
840,55,001,101,1969,04740,0,12,27,0,5,10,44
840,55,001,101,1969,04860,0,0,0,2,2,2,4
840,55,001,101,1969,05011,0,3,0,6,0,5,9
840,55,001,101,1969,05100,0,0,7,8,0,4,15
840,55,001,101,1969,05620,0,5,3,0,0,3,8
840,55,001,101,1969,05740,2,6,9,0,6,9,23
840,55,001,101,1969,06220,0,0,2,0,0,2,2
840,55,001,101,1969,07020,0,6,9,5,0,11,20
840,55,001,101,1970,02730,0,0,0,4,0,1,4
840,55,001,101,1970,03370,0,0,0,1,0,1,1
840,55,001,101,1970,03550,0,0,0,0,2,1,2
840,55,001,101,1970,04740,8,38,18,9,0,16,73
840,55,001,101,1970,04860,0,7,0,0,0,1,7
840,55,001,101,1970,05011,4,0,3,5,3,9,15
840,55,001,101,1970,05100,0,0,2,6,3,4,11
840,55,001,101,1970,05620,8,4,8,23,31,25,74
840,55,001,101,1970,05740,15,14,10,16,0,21,55
840,55,001,101,1970,06220,0,1,0,1,0,2,2
840,55,001,101,1970,07020,5,1,3,4,8,16,21
840,55,001,101,1972,01320,6,0,0,0,0,2,6
840,55,001,101,1972,02730,3,0,0,0,0,1,3
840,55,001,101,1972,02882,0,0,0,8,0,2,8
840,55,001,101,1972,03160,33,52,0,3,0,10,88
840,55,001,101,1972,03250,0,3,0,0,0,1,3
840,55,001,101,1972,03370,0,2,0,0,0,2,2
840,55,001,101,1972,03550,0,0,2,0,0,1,2
840,55,001,101,1972,04470,1,0,0,0,0,1,1
