countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,57,001,101,1980,00070,0,1,0,0,0,1,1
124,57,001,101,1980,00270,0,0,0,1,0,1,1
124,57,001,101,1980,00400,0,0,0,3,0,2,3
124,57,001,101,1980,00470,0,1,5,37,2,9,45
124,57,001,101,1980,00510,6,24,17,890,12,33,949
124,57,001,101,1980,00540,0,0,0,1,0,1,1
124,57,001,101,1980,00634,0,0,0,0,2,1,2
124,57,001,101,1980,00700,0,0,0,5,0,1,5
124,57,001,101,1980,01170,0,0,0,4,0,1,4
124,57,001,101,1980,01190,0,0,1,0,0,1,1
124,57,001,101,1980,01630,0,0,0,10,0,1,10
124,57,001,101,1980,01650,0,0,0,40,0,1,40
124,57,001,101,1980,02630,0,4,0,2,0,5,6
124,57,001,101,1980,04630,0,5,0,0,0,5,5
124,57,001,101,1980,04740,9,0,0,3,7,12,19
124,57,001,101,1980,04860,3,0,0,0,0,1,3
124,57,001,101,1980,04880,19,10,6,2,1,12,38
124,57,001,101,1980,04930,0,0,8,0,0,1,8
124,57,001,101,1980,05170,0,0,0,1,0,1,1
124,57,001,101,1980,05280,0,2,5,0,0,3,7
124,57,001,101,1980,05420,8,2,3,16,7,25,36
124,57,001,101,1980,05580,0,2,3,1,0,6,6
124,57,001,101,1980,05670,1,4,2,1,0,8,8
124,57,001,101,1980,05810,0,0,1,0,0,1,1
124,57,001,101,1980,05830,0,0,2,0,0,1,2
124,57,001,101,1980,05840,4,6,7,7,4,20,28
124,57,001,101,1980,05850,3,15,5,2,5,21,30
124,57,001,101,1980,06140,0,1,0,0,0,1,1
124,57,001,101,1980,06520,0,11,6,1,2,14,20
124,57,001,101,1980,06550,0,0,0,0,1,1,1
124,57,001,101,1980,06610,0,6,2,2,0,8,10
124,57,001,101,1980,06750,0,8,0,1,1,9,10
124,57,001,101,1980,06810,0,0,1,0,0,1,1
124,57,001,101,1980,07590,0,1,0,1,0,2,2
124,57,001,101,1980,07610,11,10,10,5,3,25,39
124,57,001,101,1981,00070,1,0,2,1,0,4,4
124,57,001,101,1981,00270,0,2,0,0,0,1,2
124,57,001,101,1981,00400,0,0,0,183,0,4,183
124,57,001,101,1981,00470,8,0,1,263,5,11,277
124,57,001,101,1981,00510,3,6,3,801,21,20,834
124,57,001,101,1981,00700,0,0,0,3,0,1,3
124,57,001,101,1981,00710,0,0,2,6,0,2,8
124,57,001,101,1981,02300,1,0,0,0,2,3,3
124,57,001,101,1981,02630,1,1,0,0,0,2,2
124,57,001,101,1981,03900,0,1,0,0,0,1,1
124,57,001,101,1981,04630,0,4,0,0,0,2,4
124,57,001,101,1981,04740,6,0,0,0,5,7,11
124,57,001,101,1981,04860,8,1,2,1,0,6,12
124,57,001,101,1981,04880,2,9,0,1,0,9,12
124,57,001,101,1981,04930,0,2,1,0,0,2,3
124,57,001,101,1981,05150,0,0,0,2,0,1,2
124,57,001,101,1981,05280,0,0,3,1,0,2,4
124,57,001,101,1981,05330,0,1,0,0,0,1,1
124,57,001,101,1981,05420,8,2,14,7,10,26,41
124,57,001,101,1981,05580,1,2,0,0,0,3,3
124,57,001,101,1981,05670,6,5,6,0,0,16,17
124,57,001,101,1981,05810,0,2,2,0,0,2,4
124,57,001,101,1981,05840,3,1,2,6,6,15,18
124,57,001,101,1981,05850,3,26,3,4,2,22,38
124,57,001,101,1981,06130,1,0,0,0,0,1,1
124,57,001,101,1981,06140,0,1,0,0,0,1,1
124,57,001,101,1981,06360,0,2,0,0,0,2,2
124,57,001,101,1981,06520,3,7,6,6,4,16,26
124,57,001,101,1981,06610,0,7,3,1,0,9,11
124,57,001,101,1981,06740,1,0,0,0,0,1,1
124,57,001,101,1981,06750,1,2,1,4,1,9,9
124,57,001,101,1981,06790,0,2,1,0,1,3,4
124,57,001,101,1981,06810,1,0,0,0,0,1,1
124,57,001,101,1981,06850,0,0,0,1,2,3,3
124,57,001,101,1981,06970,0,0,0,1,0,1,1
124,57,001,101,1981,07350,1,1,0,0,0,2,2
124,57,001,101,1981,07610,5,12,16,6,8,29,47
124,57,001,101,1982,00470,0,0,1,17,22,16,40
124,57,001,101,1982,00510,1,7,9,45,13,27,75
124,57,001,101,1982,00700,0,0,0,34,0,5,34
124,57,001,101,1982,01330,0,0,2,0,0,1,2
124,57,001,101,1982,02300,5,0,0,1,0,5,6
124,57,001,101,1982,02420,0,0,1,0,0,1,1
124,57,001,101,1982,02540,0,0,0,1,0,1,1
124,57,001,101,1982,03310,0,0,0,0,1,1,1
124,57,001,101,1982,03570,0,0,0,1,0,1,1
124,57,001,101,1982,03900,0,2,0,0,0,1,2
124,57,001,101,1982,04630,0,7,0,0,0,4,7
124,57,001,101,1982,04740,6,0,1,1,3,9,11
124,57,001,101,1982,04860,0,1,2,0,0,3,3
124,57,001,101,1982,04880,0,7,9,3,1,13,20
124,57,001,101,1982,05090,0,1,0,0,0,1,1
124,57,001,101,1982,05420,13,1,12,7,6,26,39
124,57,001,101,1982,05580,0,1,0,0,0,1,1
124,57,001,101,1982,05670,0,1,0,0,1,2,2
124,57,001,101,1982,05840,1,3,3,9,4,15,20
124,57,001,101,1982,05850,3,16,7,3,4,23,33
124,57,001,101,1982,06520,1,8,2,1,0,10,12
124,57,001,101,1982,06550,0,2,0,1,1,4,4
124,57,001,101,1982,06610,0,3,2,0,1,6,6
124,57,001,101,1982,06750,0,7,1,1,2,10,11
124,57,001,101,1982,06790,0,1,0,1,0,2,2
124,57,001,101,1982,06810,0,2,1,0,0,3,3
124,57,001,101,1982,06850,0,5,2,1,2,8,10
124,57,001,101,1982,06970,0,0,0,1,0,1,1
124,57,001,101,1982,07040,0,0,1,0,0,1,1
124,57,001,101,1982,07400,0,0,1,0,0,1,1
124,57,001,101,1982,07490,0,1,0,0,0,1,1
124,57,001,101,1982,07610,8,9,5,9,3,26,34
124,57,001,101,1983,00070,0,0,0,1,1,2,2
124,57,001,101,1983,00470,0,1,2,57,33,14,93
124,57,001,101,1983,00510,5,9,7,36,28,24,85
124,57,001,101,1983,00540,1,0,0,0,0,1,1
124,57,001,101,1983,00700,0,0,4,5,0,3,9
124,57,001,101,1983,01200,0,4,0,0,0,2,4
124,57,001,101,1983,02300,1,0,0,0,0,1,1
124,57,001,101,1983,02540,1,1,1,0,1,4,4
124,57,001,101,1983,02630,0,0,1,1,0,2,2
124,57,001,101,1983,04120,0,1,0,0,0,1,1
