countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,65,001,101,1966,02300,4,2,0,0,2,8,8
124,65,001,101,1966,04020,0,3,4,0,0,7,7
124,65,001,101,1966,04120,1,0,1,1,3,5,6
124,65,001,101,1966,04280,0,1,0,0,0,1,1
124,65,001,101,1966,04590,0,1,0,0,0,1,1
124,65,001,101,1966,04630,0,2,1,1,0,4,4
124,65,001,101,1966,04661,0,1,1,0,0,2,2
124,65,001,101,1966,04860,2,3,0,3,0,5,8
124,65,001,101,1966,04880,3,2,0,5,4,10,14
124,65,001,101,1966,04930,0,1,0,5,1,5,7
124,65,001,101,1966,04940,5,4,0,2,4,13,15
124,65,001,101,1966,04950,0,2,0,0,3,4,5
124,65,001,101,1966,04980,3,6,1,1,0,7,11
124,65,001,101,1966,05110,1,6,0,7,5,11,19
124,65,001,101,1966,05170,0,0,2,4,0,5,6
124,65,001,101,1966,05290,0,1,0,6,3,8,10
124,65,001,101,1966,05330,2,1,0,8,0,4,11
124,65,001,101,1966,05420,6,1,0,1,1,6,9
124,65,001,101,1966,05580,13,11,12,6,6,33,48
124,65,001,101,1966,05600,1,0,0,2,0,2,3
124,65,001,101,1966,05670,13,6,1,1,3,13,24
124,65,001,101,1966,05810,9,6,0,4,10,24,29
124,65,001,101,1966,05830,5,4,0,1,0,10,10
124,65,001,101,1966,05840,1,0,1,0,0,2,2
124,65,001,101,1966,06120,0,4,0,0,0,2,4
124,65,001,101,1966,06130,0,1,0,1,0,2,2
124,65,001,101,1966,06290,0,0,2,0,0,2,2
124,65,001,101,1966,06360,0,1,1,2,0,4,4
124,65,001,101,1966,06470,0,2,4,5,1,9,12
124,65,001,101,1966,06480,0,1,0,1,0,2,2
124,65,001,101,1966,06500,0,1,0,0,1,2,2
124,65,001,101,1966,06520,1,0,0,0,0,1,1
124,65,001,101,1966,06550,0,0,1,0,0,1,1
124,65,001,101,1966,06570,10,7,13,6,2,25,38
124,65,001,101,1966,06610,0,1,0,0,0,1,1
124,65,001,101,1966,06620,0,0,1,0,0,1,1
124,65,001,101,1966,06670,0,0,2,2,0,4,4
124,65,001,101,1966,06720,0,0,1,0,0,1,1
124,65,001,101,1966,06740,2,1,1,1,0,5,5
124,65,001,101,1966,06750,0,2,0,0,0,1,2
124,65,001,101,1966,06810,1,0,1,2,0,4,4
124,65,001,101,1966,06870,2,1,0,0,2,5,5
124,65,001,101,1966,06882,0,2,0,2,3,4,7
124,65,001,101,1966,07222,0,0,1,0,0,1,1
124,65,001,101,1966,07350,0,0,1,0,0,1,1
124,65,001,101,1966,07400,1,0,0,0,1,2,2
124,65,001,101,1966,07490,3,9,12,7,4,31,35
124,65,001,101,1966,07580,0,2,0,0,0,2,2
124,65,001,101,1966,07590,0,0,0,1,0,1,1
124,65,001,101,1966,07610,26,21,7,11,11,41,76
124,65,001,101,1967,02300,2,0,0,0,1,3,3
124,65,001,101,1967,03900,1,0,0,0,0,1,1
124,65,001,101,1967,03940,0,1,0,0,0,1,1
124,65,001,101,1967,04020,0,0,2,0,0,2,2
124,65,001,101,1967,04590,1,1,0,1,0,3,3
124,65,001,101,1967,04610,1,2,0,2,0,5,5
124,65,001,101,1967,04630,0,2,2,0,1,5,5
124,65,001,101,1967,04661,1,1,2,6,1,10,11
124,65,001,101,1967,04860,1,0,2,1,0,3,4
124,65,001,101,1967,04880,1,1,1,2,3,8,8
124,65,001,101,1967,04930,4,7,0,8,4,14,23
124,65,001,101,1967,04940,5,4,0,3,4,13,16
124,65,001,101,1967,04950,0,1,0,0,0,1,1
124,65,001,101,1967,04980,4,4,1,0,2,8,11
124,65,001,101,1967,05090,0,0,1,0,0,1,1
124,65,001,101,1967,05110,2,8,0,7,15,15,32
124,65,001,101,1967,05140,1,0,0,5,0,5,6
124,65,001,101,1967,05170,0,2,3,3,0,8,8
124,65,001,101,1967,05290,1,0,0,5,1,7,7
124,65,001,101,1967,05330,0,2,2,0,0,2,4
124,65,001,101,1967,05420,9,3,0,1,3,14,16
