countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,75,001,101,1966,00070,0,0,0,1,0,1,1
124,75,001,101,1966,00470,2,8,1,1,0,5,12
124,75,001,101,1966,00510,50,7,15,2,1,15,75
124,75,001,101,1966,00700,1,1,1,4,5,6,12
124,75,001,101,1966,01330,2,23,0,0,0,3,25
124,75,001,101,1966,01400,2,18,0,0,0,3,20
124,75,001,101,1966,01430,0,2,0,0,0,1,2
124,75,001,101,1966,01440,0,8,0,0,0,1,8
124,75,001,101,1966,01940,0,14,7,8,1,13,30
124,75,001,101,1966,02280,2,0,0,0,0,2,2
124,75,001,101,1966,02300,0,4,1,0,0,4,5
124,75,001,101,1966,03131,0,0,0,7,2,3,9
124,75,001,101,1966,03900,1,0,1,0,1,3,3
124,75,001,101,1966,04120,2,5,2,1,2,11,12
124,75,001,101,1966,04440,0,0,0,0,2,1,2
124,75,001,101,1966,04610,0,0,1,0,0,1,1
124,75,001,101,1966,04740,1,0,0,0,0,1,1
124,75,001,101,1966,04770,0,0,1,0,0,1,1
124,75,001,101,1966,04860,0,2,1,0,6,3,9
124,75,001,101,1966,04880,21,32,11,9,11,35,84
124,75,001,101,1966,04930,19,10,16,35,48,27,128
124,75,001,101,1966,04940,0,0,2,0,0,1,2
124,75,001,101,1966,04950,1,0,1,2,0,4,4
124,75,001,101,1966,04980,8,21,12,2,1,9,44
124,75,001,101,1966,05110,51,71,96,70,63,46,351
124,75,001,101,1966,05290,0,0,2,0,0,1,2
124,75,001,101,1966,05420,23,18,14,2,8,23,65
124,75,001,101,1966,05491,17,4,4,0,1,11,26
124,75,001,101,1966,05580,4,0,2,16,8,14,30
124,75,001,101,1966,05600,0,0,0,0,2,1,2
124,75,001,101,1966,05810,27,36,32,14,17,40,126
124,75,001,101,1966,06130,0,0,2,0,2,2,4
124,75,001,101,1966,06140,1,7,7,4,16,12,35
124,75,001,101,1966,06160,54,32,131,2,2,13,221
124,75,001,101,1966,06520,1,2,4,0,0,3,7
124,75,001,101,1966,06882,4,0,0,10,13,6,27
124,75,001,101,1966,07610,32,20,48,38,12,37,150
124,75,001,101,1967,00070,0,2,0,0,1,2,3
124,75,001,101,1967,00470,0,12,4,0,1,7,17
124,75,001,101,1967,00510,1,10,64,13,0,13,88
124,75,001,101,1967,00700,0,3,2,6,2,5,13
124,75,001,101,1967,01200,0,0,50,0,0,1,50
124,75,001,101,1967,01330,1,2,2,0,0,5,5
124,75,001,101,1967,01400,2,0,0,0,0,1,2
124,75,001,101,1967,01440,0,5,0,0,0,1,5
124,75,001,101,1967,01940,7,18,13,2,0,9,40
124,75,001,101,1967,02300,5,4,2,2,1,12,14
124,75,001,101,1967,03131,0,0,0,4,1,2,5
124,75,001,101,1967,03720,0,0,1,0,0,1,1
124,75,001,101,1967,03900,0,0,1,0,0,1,1
124,75,001,101,1967,04020,0,0,0,1,0,1,1
124,75,001,101,1967,04120,0,1,0,0,0,1,1
124,75,001,101,1967,04440,0,1,0,2,0,2,3
124,75,001,101,1967,04590,0,1,0,0,0,1,1
124,75,001,101,1967,04610,1,0,0,1,0,2,2
124,75,001,101,1967,04661,0,0,1,0,0,1,1
124,75,001,101,1967,04740,0,0,0,0,2,1,2
124,75,001,101,1967,04770,0,0,1,0,0,1,1
124,75,001,101,1967,04860,0,0,1,0,0,1,1
124,75,001,101,1967,04880,13,18,8,10,5,26,54
124,75,001,101,1967,04930,6,3,33,23,14,23,79
124,75,001,101,1967,04940,0,0,0,1,1,2,2
124,75,001,101,1967,04950,0,0,3,1,1,3,5
124,75,001,101,1967,04980,13,23,23,7,2,13,68
124,75,001,101,1967,05110,12,42,53,51,74,35,232
124,75,001,101,1967,05290,2,0,0,0,0,1,2
124,75,001,101,1967,05420,26,13,22,8,10,30,79
124,75,001,101,1967,05491,10,0,2,0,0,6,12
124,75,001,101,1967,05580,12,26,14,20,8,30,80
124,75,001,101,1967,05600,0,0,1,8,3,7,12
124,75,001,101,1967,05810,7,5,10,5,7,20,34
124,75,001,101,1967,05840,3,0,1,0,0,3,4
124,75,001,101,1967,06130,0,4,0,0,2,3,6
124,75,001,101,1967,06140,3,2,6,4,2,9,17
124,75,001,101,1967,06160,1,108,96,0,2,10,207
124,75,001,101,1967,06240,1,0,0,0,0,1,1
124,75,001,101,1967,06520,2,9,4,15,2,15,32
124,75,001,101,1967,06550,0,0,2,1,0,2,3
124,75,001,101,1967,06740,0,0,0,2,0,1,2
124,75,001,101,1967,06810,0,1,5,3,0,6,9
124,75,001,101,1967,06882,3,4,4,18,6,12,35
124,75,001,101,1967,07590,0,0,0,1,0,1,1
124,75,001,101,1967,07610,25,17,36,17,23,41,118
124,75,001,101,1968,00070,0,0,0,0,1,1,1
124,75,001,101,1968,00470,59,96,23,9,9,18,196
124,75,001,101,1968,00510,0,4,2,2,13,6,21
124,75,001,101,1968,00700,0,0,2,12,14,6,28
124,75,001,101,1968,01330,6,9,0,9,0,4,24
124,75,001,101,1968,01400,1,0,0,0,0,1,1
