countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,81,001,101,1967,00590,0,0,0,7,0,1,7
840,81,001,101,1967,01320,0,1,0,0,0,1,1
840,81,001,101,1967,01400,0,0,8,0,0,1,8
840,81,001,101,1967,01420,0,0,2,0,0,1,2
840,81,001,101,1967,01430,0,0,2,0,0,1,2
840,81,001,101,1967,02210,0,0,1,0,0,1,1
840,81,001,101,1967,02730,1,0,0,0,0,1,1
840,81,001,101,1967,03091,30,24,10,6,6,33,76
840,81,001,101,1967,03160,7,2,6,4,14,16,33
840,81,001,101,1967,03370,0,0,0,0,1,1,1
840,81,001,101,1967,03600,0,0,0,0,1,1,1
840,81,001,101,1967,03880,0,0,0,0,1,1,1
840,81,001,101,1967,04060,0,3,2,2,5,7,12
840,81,001,101,1967,04120,2,1,2,2,0,5,7
840,81,001,101,1967,04440,0,2,2,5,0,5,9
840,81,001,101,1967,04470,2,0,0,4,0,3,6
840,81,001,101,1967,04740,0,1,4,0,0,4,5
840,81,001,101,1967,04770,0,0,0,1,20,4,21
840,81,001,101,1967,04880,0,3,3,0,6,6,12
840,81,001,101,1967,04930,2,5,0,8,4,7,19
840,81,001,101,1967,04940,0,1,0,2,0,2,3
840,81,001,101,1967,04950,9,8,9,10,2,19,38
840,81,001,101,1967,04970,0,0,11,0,0,1,11
840,81,001,101,1967,04980,30,27,46,15,23,27,141
840,81,001,101,1967,05011,48,49,32,28,16,44,173
840,81,001,101,1967,05110,54,62,37,43,23,38,219
840,81,001,101,1967,05290,0,0,0,2,1,3,3
840,81,001,101,1967,05810,0,1,0,0,0,1,1
840,81,001,101,1967,05950,0,0,0,0,1,1,1
840,81,001,101,1967,06040,5,0,1,3,4,9,13
840,81,001,101,1967,06050,0,0,0,3,0,2,3
840,81,001,101,1967,06110,0,0,6,0,0,1,6
840,81,001,101,1967,06130,0,4,7,8,5,11,24
840,81,001,101,1967,06170,0,0,0,5,0,1,5
840,81,001,101,1967,06270,1,0,0,0,0,1,1
840,81,001,101,1967,06810,8,7,2,0,3,10,20
840,81,001,101,1967,06882,34,3,20,12,29,12,98
840,81,001,101,1967,07040,0,2,0,0,0,1,2
840,81,001,101,1967,07050,1,0,1,3,1,4,6
840,81,001,101,1967,07210,1,0,0,0,1,2,2
840,81,001,101,1967,07250,1,0,0,0,0,1,1
840,81,001,101,1967,07610,4,4,2,2,1,10,13
840,81,001,101,1968,02730,2,0,2,1,0,5,5
840,81,001,101,1968,03091,24,22,10,2,1,28,59
840,81,001,101,1968,03160,7,9,12,20,6,19,54
840,81,001,101,1968,03310,0,0,1,0,0,1,1
840,81,001,101,1968,03600,0,1,0,1,0,2,2
840,81,001,101,1968,03870,0,0,0,0,1,1,1
840,81,001,101,1968,04060,0,4,2,5,7,14,18
840,81,001,101,1968,04120,0,1,2,0,5,4,8
840,81,001,101,1968,04440,0,0,2,3,0,4,5
840,81,001,101,1968,04470,0,0,1,0,5,4,6
840,81,001,101,1968,04560,0,1,0,0,0,1,1
840,81,001,101,1968,04740,0,0,4,0,0,2,4
840,81,001,101,1968,04770,2,2,1,1,8,8,14
840,81,001,101,1968,04880,4,0,1,0,1,4,6
840,81,001,101,1968,04930,4,9,5,12,9,14,39
840,81,001,101,1968,04950,2,5,3,6,0,9,16
840,81,001,101,1968,04980,21,8,31,4,11,20,75
840,81,001,101,1968,05011,54,38,33,31,14,43,170
840,81,001,101,1968,05070,0,0,0,0,2,2,2
840,81,001,101,1968,05110,93,61,42,81,39,41,316
840,81,001,101,1968,05290,0,0,11,1,1,4,13
840,81,001,101,1968,05400,0,0,0,2,0,2,2
840,81,001,101,1968,05610,0,0,1,0,0,1,1
840,81,001,101,1968,05810,0,0,0,0,1,1,1
840,81,001,101,1968,06040,12,11,13,11,9,30,56
840,81,001,101,1968,06050,0,3,11,8,0,10,22
840,81,001,101,1968,06110,1,0,0,0,0,1,1
840,81,001,101,1968,06130,0,0,3,12,7,11,22
840,81,001,101,1968,06810,3,7,2,7,3,14,22
840,81,001,101,1968,06882,34,19,29,9,14,18,105
840,81,001,101,1968,07040,0,0,2,0,0,1,2
840,81,001,101,1968,07050,0,0,5,2,4,6,11
840,81,001,101,1968,07210,1,0,1,0,4,5,6
840,81,001,101,1968,07610,1,6,7,6,4,16,24
840,81,001,101,1969,01320,0,2,2,0,0,3,4
840,81,001,101,1969,01350,0,0,2,0,0,1,2
840,81,001,101,1969,01400,0,2,7,0,0,5,9
840,81,001,101,1969,01420,0,0,3,0,0,2,3
840,81,001,101,1969,01430,0,1,2,0,0,3,3
840,81,001,101,1969,01460,0,0,1,0,0,1,1
840,81,001,101,1969,02210,0,0,1,0,0,1,1
840,81,001,101,1969,02240,0,0,3,0,0,1,3
840,81,001,101,1969,02610,0,1,8,0,1,4,10
840,81,001,101,1969,02730,2,11,12,0,0,11,25
840,81,001,101,1969,03091,29,8,2,0,1,15,40
840,81,001,101,1969,03160,7,26,10,2,10,22,55
840,81,001,101,1969,03600,0,1,0,0,2,3,3
840,81,001,101,1969,03750,1,0,0,0,0,1,1
840,81,001,101,1969,04060,1,3,0,3,6,10,13
840,81,001,101,1969,04120,4,2,0,3,1,7,10
840,81,001,101,1969,04230,0,0,0,0,1,1,1
840,81,001,101,1969,04440,0,0,2,0,1,3,3
840,81,001,101,1969,04470,0,0,0,4,2,4,6
840,81,001,101,1969,04740,0,1,1,1,0,3,3
840,81,001,101,1969,04770,0,0,0,1,1,2,2
840,81,001,101,1969,04880,15,3,1,1,1,6,21
840,81,001,101,1969,04930,1,2,0,44,7,7,54
840,81,001,101,1969,04940,2,0,0,0,0,2,2
840,81,001,101,1969,04950,10,3,10,6,9,17,38
840,81,001,101,1969,04970,0,0,11,0,0,2,11
840,81,001,101,1969,04980,20,16,35,2,1,17,74
840,81,001,101,1969,05011,56,43,27,30,21,43,177
840,81,001,101,1969,05060,0,0,0,1,0,1,1
840,81,001,101,1969,05070,0,0,0,0,1,1,1
840,81,001,101,1969,05110,150,37,59,47,30,34,323
840,81,001,101,1969,05290,0,1,0,0,0,1,1
840,81,001,101,1969,05400,2,1,1,1,1,5,6
840,81,001,101,1969,05460,0,0,0,0,2,1,2
840,81,001,101,1969,05600,0,0,0,0,1,1,1
840,81,001,101,1969,05810,0,0,0,0,5,5,5
840,81,001,101,1969,05970,0,0,0,2,1,2,3
840,81,001,101,1969,06040,17,15,12,10,7,24,61
840,81,001,101,1969,06050,1,7,15,12,3,14,38
840,81,001,101,1969,06110,0,0,0,0,1,1,1
840,81,001,101,1969,06130,0,7,5,5,12,11,29
840,81,001,101,1969,06170,0,0,0,1,0,1,1
840,81,001,101,1969,06220,0,2,0,0,0,1,2
840,81,001,101,1969,06810,15,10,6,3,1,18,35
840,81,001,101,1969,06882,18,1,4,33,29,11,85
840,81,001,101,1969,07050,1,2,0,4,0,5,7
840,81,001,101,1969,07250,0,0,1,0,0,1,1
840,81,001,101,1969,07610,12,4,8,9,2,15,35
840,81,001,101,1970,01320,0,2,6,0,0,4,8
840,81,001,101,1970,01400,0,0,7,0,0,3,7
840,81,001,101,1970,01430,0,0,1,0,0,1,1
840,81,001,101,1970,02610,1,0,0,0,0,1,1
840,81,001,101,1970,02730,0,9,5,1,0,6,15
840,81,001,101,1970,03091,30,7,2,3,2,21,44
840,81,001,101,1970,03160,5,14,17,8,2,20,46
840,81,001,101,1970,03310,0,0,0,1,0,1,1
840,81,001,101,1970,03370,0,0,0,1,0,1,1
840,81,001,101,1970,03670,0,0,1,0,0,1,1
840,81,001,101,1970,03880,0,2,0,0,0,1,2
840,81,001,101,1970,04060,1,0,0,0,9,6,10
840,81,001,101,1970,04120,0,2,0,3,6,6,11
840,81,001,101,1970,04230,0,0,0,0,1,1,1
840,81,001,101,1970,04440,0,0,1,5,4,6,10
840,81,001,101,1970,04470,0,0,0,3,0,2,3
840,81,001,101,1970,04770,0,0,0,1,0,1,1
840,81,001,101,1970,04880,9,2,1,0,1,6,13
840,81,001,101,1970,04930,4,5,1,11,22,12,43
840,81,001,101,1970,04940,0,0,4,0,0,2,4
840,81,001,101,1970,04950,1,3,22,6,2,15,34
840,81,001,101,1970,04970,0,0,14,0,0,2,14
840,81,001,101,1970,04980,32,19,69,3,2,20,125
840,81,001,101,1970,05011,73,40,22,31,26,43,192
840,81,001,101,1970,05110,100,52,39,8,10,34,209
840,81,001,101,1970,05290,0,2,0,0,1,2,3
840,81,001,101,1970,05400,0,1,0,0,0,1,1
840,81,001,101,1970,05460,2,2,1,0,0,4,5
840,81,001,101,1970,05810,0,1,1,1,0,3,3
840,81,001,101,1970,06040,15,18,7,11,14,28,65
840,81,001,101,1970,06050,3,9,0,7,0,12,19
840,81,001,101,1970,06120,0,0,0,0,2,1,2
840,81,001,101,1970,06130,0,0,8,10,8,13,26
840,81,001,101,1970,06160,0,0,0,0,1,1,1
840,81,001,101,1970,06270,0,0,0,1,1,2,2
840,81,001,101,1970,06810,5,10,7,0,6,14,28
840,81,001,101,1970,06882,27,7,25,15,23,17,97
840,81,001,101,1970,07050,0,0,0,1,1,2,2
840,81,001,101,1970,07210,0,0,0,0,1,1,1
840,81,001,101,1970,07610,15,3,1,2,5,11,26
840,81,001,101,1971,00590,0,0,6,2,1,3,9
840,81,001,101,1971,01320,0,1,0,0,0,1,1
840,81,001,101,1971,01400,0,0,4,0,0,2,4
840,81,001,101,1971,01430,0,0,2,0,0,1,2
840,81,001,101,1971,02210,0,0,3,0,0,1,3
840,81,001,101,1971,02610,0,1,1,1,0,3,3
840,81,001,101,1971,02730,1,6,7,2,0,10,16
840,81,001,101,1971,02881,0,0,2,0,0,2,2
840,81,001,101,1971,03091,21,21,8,8,2,31,60
840,81,001,101,1971,03160,3,17,1,7,7,20,35
840,81,001,101,1971,03600,0,1,0,0,0,1,1
840,81,001,101,1971,04060,1,2,0,0,2,5,5
840,81,001,101,1971,04120,1,3,4,4,1,11,13
840,81,001,101,1971,04440,0,2,1,2,0,3,5
840,81,001,101,1971,04470,0,0,0,2,1,2,3
840,81,001,101,1971,04560,0,1,0,0,0,1,1
840,81,001,101,1971,04660,0,1,0,0,0,1,1
840,81,001,101,1971,04740,0,0,0,0,1,1,1
840,81,001,101,1971,04770,0,0,0,2,0,1,2
840,81,001,101,1971,04880,5,1,0,0,0,4,6
840,81,001,101,1971,04930,1,1,54,4,1,8,61
840,81,001,101,1971,04940,1,1,3,2,1,6,8
840,81,001,101,1971,04950,6,6,18,18,11,21,59
