countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,79,001,101,1976,00060,0,0,2,2,0,4,4
124,79,001,101,1976,00770,0,1,0,0,2,1,3
124,79,001,101,1976,01320,1,2,5,2,0,5,10
124,79,001,101,1976,01350,0,15,0,0,0,1,15
124,79,001,101,1976,01400,0,0,0,1,0,1,1
124,79,001,101,1976,01420,0,0,1,0,0,1,1
124,79,001,101,1976,01430,0,0,0,0,1,1,1
124,79,001,101,1976,01670,0,0,0,0,1,1,1
124,79,001,101,1976,01900,2,0,0,1,0,3,3
124,79,001,101,1976,02140,3,2,1,0,0,6,6
124,79,001,101,1976,02210,3,0,0,6,0,4,9
124,79,001,101,1976,02300,0,0,2,0,0,1,2
124,79,001,101,1976,02490,0,0,0,3,0,1,3
124,79,001,101,1976,02610,2,0,0,0,0,2,2
124,79,001,101,1976,02730,4,9,2,3,5,14,23
124,79,001,101,1976,03131,0,0,0,2,0,1,2
124,79,001,101,1976,03160,9,12,8,7,2,26,38
124,79,001,101,1976,03310,0,0,0,0,1,1,1
124,79,001,101,1976,04120,0,1,2,1,1,5,5
124,79,001,101,1976,04440,0,3,2,6,1,9,12
124,79,001,101,1976,04670,0,0,8,1,0,6,9
124,79,001,101,1976,04740,24,30,18,20,11,35,103
124,79,001,101,1976,04750,0,1,8,0,1,8,10
124,79,001,101,1976,04880,4,6,6,3,4,19,23
124,79,001,101,1976,04940,0,1,0,0,1,2,2
124,79,001,101,1976,04950,15,14,19,15,8,28,71
124,79,001,101,1976,04970,5,8,4,5,2,9,24
124,79,001,101,1976,04980,47,110,71,56,40,43,324
124,79,001,101,1976,05011,56,42,13,21,9,39,141
124,79,001,101,1976,05070,0,0,0,0,1,1,1
124,79,001,101,1976,05100,9,3,0,1,3,7,16
124,79,001,101,1976,05110,2,3,2,0,9,6,16
124,79,001,101,1976,05290,0,1,2,3,8,6,14
124,79,001,101,1976,05380,3,0,0,0,0,1,3
