countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,85,001,101,1969,03160,9,2,2,1,0,7,14
840,85,001,101,1969,03310,0,0,0,3,0,2,3
840,85,001,101,1969,03480,0,0,0,1,0,1,1
840,85,001,101,1969,04740,8,10,41,20,16,18,95
840,85,001,101,1969,05011,5,2,14,1,1,7,23
840,85,001,101,1969,05520,1,0,0,0,0,1,1
840,85,001,101,1969,05740,3,0,1,0,0,4,4
840,85,001,101,1969,06120,0,0,0,0,5,1,5
840,85,001,101,1970,02881,1,0,0,0,0,1,1
840,85,001,101,1970,02882,0,0,10,0,0,1,10
840,85,001,101,1970,03160,1,0,0,0,0,1,1
840,85,001,101,1970,03490,1,1,0,0,1,3,3
840,85,001,101,1970,03600,0,0,0,1,0,1,1
840,85,001,101,1970,04740,16,45,172,3,7,21,243
840,85,001,101,1970,05011,15,0,2,2,1,9,20
840,85,001,101,1970,05740,1,0,0,3,0,2,4
840,85,001,101,1970,06220,1,0,0,0,1,2,2
840,85,001,101,1970,07020,0,0,0,0,1,1,1
840,85,001,101,1971,01410,0,0,0,2,0,1,2
840,85,001,101,1971,02730,2,0,0,0,0,1,2
840,85,001,101,1971,03160,12,0,1,2,0,6,15
840,85,001,101,1971,04470,1,1,0,0,0,2,2
840,85,001,101,1971,04740,5,11,11,3,13,21,43
840,85,001,101,1971,04860,0,4,0,0,4,3,8
840,85,001,101,1971,05011,31,20,12,43,11,34,117
840,85,001,101,1971,05520,0,0,1,0,0,1,1
840,85,001,101,1971,05740,2,5,2,1,2,9,12
840,85,001,101,1971,06220,0,0,4,0,0,2,4
840,85,001,101,1972,03550,0,0,0,2,0,1,2
840,85,001,101,1972,03780,0,0,0,5,0,1,5
840,85,001,101,1972,04740,26,21,9,3,3,29,62
840,85,001,101,1972,04860,0,2,17,3,0,8,22
840,85,001,101,1972,05011,0,28,40,15,5,23,88
