countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,87,001,101,1966,03000,0,1,1,0,0,2,2
840,87,001,101,1966,03930,0,0,0,0,1,1,1
840,87,001,101,1966,03940,2,6,0,0,4,10,12
840,87,001,101,1966,04020,0,0,1,0,0,1,1
840,87,001,101,1966,04050,0,0,0,1,0,1,1
840,87,001,101,1966,04120,1,2,2,4,4,12,13
840,87,001,101,1966,04230,0,0,5,0,0,1,5
840,87,001,101,1966,04440,1,1,1,1,0,4,4
840,87,001,101,1966,04560,3,2,2,2,1,10,10
840,87,001,101,1966,04610,0,1,5,2,4,12,12
840,87,001,101,1966,04670,0,3,2,3,3,11,11
840,87,001,101,1966,04770,0,4,2,2,7,9,15
840,87,001,101,1966,04880,3,6,1,1,4,10,15
840,87,001,101,1966,04930,0,2,0,0,1,2,3
840,87,001,101,1966,04940,0,2,0,0,0,1,2
840,87,001,101,1966,04950,1,2,0,0,0,2,3
840,87,001,101,1966,04980,0,3,1,4,3,6,11
840,87,001,101,1966,05010,0,0,0,0,1,1,1
840,87,001,101,1966,05070,0,0,0,1,0,1,1
840,87,001,101,1966,05110,0,2,3,1,3,6,9
840,87,001,101,1966,05290,0,1,1,0,1,3,3
840,87,001,101,1966,05580,13,9,3,2,0,16,27
840,87,001,101,1966,05600,0,1,1,4,1,5,7
840,87,001,101,1966,05630,2,0,0,1,1,4,4
840,87,001,101,1966,05670,1,3,1,0,0,4,5
840,87,001,101,1966,05810,4,2,3,2,9,16,20
840,87,001,101,1966,05870,7,4,1,2,1,11,15
840,87,001,101,1966,05950,0,0,2,1,1,4,4
840,87,001,101,1966,05980,1,0,0,0,2,2,3
840,87,001,101,1966,06080,1,2,4,0,5,12,12
840,87,001,101,1966,06130,0,2,0,1,7,6,10
840,87,001,101,1966,06140,3,4,0,1,3,4,11
840,87,001,101,1966,06170,0,0,1,0,0,1,1
840,87,001,101,1966,06190,0,1,0,0,0,1,1
840,87,001,101,1966,06240,2,7,8,6,5,20,28
840,87,001,101,1966,06270,2,2,1,0,0,4,5
840,87,001,101,1966,06360,0,0,0,2,0,2,2
840,87,001,101,1966,06520,1,1,1,0,3,5,6
840,87,001,101,1966,06590,3,3,4,1,3,12,14
840,87,001,101,1966,06670,1,1,1,0,0,3,3
