countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,90,001,101,1970,02730,0,0,1,0,0,1,1
840,90,001,101,1970,02890,2,3,5,1,0,10,11
840,90,001,101,1970,03160,0,0,1,0,0,1,1
840,90,001,101,1970,03900,0,0,0,0,1,1,1
840,90,001,101,1970,03940,0,1,1,0,0,2,2
840,90,001,101,1970,04050,0,3,1,1,2,7,7
840,90,001,101,1970,04120,3,3,5,3,2,15,16
840,90,001,101,1970,04230,0,0,0,1,1,2,2
840,90,001,101,1970,04440,0,3,2,0,2,7,7
840,90,001,101,1970,04520,0,2,0,2,3,7,7
840,90,001,101,1970,04560,4,3,2,2,0,10,11
840,90,001,101,1970,04610,0,1,1,2,0,4,4
840,90,001,101,1970,04650,0,0,0,1,0,1,1
840,90,001,101,1970,04770,0,0,2,1,1,4,4
840,90,001,101,1970,04880,12,17,2,9,8,25,48
840,90,001,101,1970,04930,0,0,16,3,15,8,34
840,90,001,101,1970,04950,1,3,0,1,0,5,5
840,90,001,101,1970,04980,0,0,6,2,11,6,19
840,90,001,101,1970,05010,4,1,1,1,11,10,18
840,90,001,101,1970,05060,0,0,0,0,3,1,3
840,90,001,101,1970,05110,0,0,6,2,2,5,10
840,90,001,101,1970,05290,0,0,0,0,2,2,2
840,90,001,101,1970,05400,0,1,0,0,0,1,1
840,90,001,101,1970,05460,0,2,0,1,1,4,4
840,90,001,101,1970,05600,8,8,3,2,4,15,25
840,90,001,101,1970,05630,2,5,2,7,5,18,21
840,90,001,101,1970,05810,13,1,18,2,1,20,35
840,90,001,101,1970,05870,10,8,6,9,4,25,37
840,90,001,101,1970,05930,2,2,11,7,7,21,29
840,90,001,101,1970,05980,13,19,9,3,9,32,53
840,90,001,101,1970,06080,2,5,0,3,4,12,14
840,90,001,101,1970,06100,0,0,0,2,0,2,2
840,90,001,101,1970,06130,2,0,0,8,6,4,16
840,90,001,101,1970,06190,0,0,1,0,0,1,1
840,90,001,101,1970,06240,10,4,7,1,4,17,26
840,90,001,101,1970,06280,0,1,1,0,0,2,2
840,90,001,101,1970,06310,0,0,1,0,0,1,1
840,90,001,101,1970,06360,1,4,0,0,0,5,5
840,90,001,101,1970,06380,0,0,0,1,0,1,1
840,90,001,101,1970,06390,0,0,0,0,1,1,1
840,90,001,101,1970,06420,0,1,0,0,0,1,1
840,90,001,101,1970,06480,0,0,0,2,1,3,3
840,90,001,101,1970,06520,6,3,2,2,1,12,14
840,90,001,101,1970,06580,0,1,0,0,0,1,1
840,90,001,101,1970,06730,2,1,1,0,2,4,6
840,90,001,101,1970,06740,2,6,0,0,0,5,8
840,90,001,101,1970,06760,0,1,0,0,0,1,1
840,90,001,101,1970,06770,0,1,0,0,2,3,3
840,90,001,101,1970,06810,2,0,2,0,1,4,5
840,90,001,101,1970,06830,3,6,2,1,1,11,13
840,90,001,101,1970,06870,4,1,0,0,0,4,5
840,90,001,101,1970,06882,1,1,7,0,0,3,9
840,90,001,101,1970,07030,2,0,3,2,3,10,10
840,90,001,101,1970,07040,5,0,1,0,0,4,6
840,90,001,101,1970,07050,4,1,1,0,0,4,6
840,90,001,101,1970,07180,0,0,1,0,0,1,1
840,90,001,101,1970,07190,0,0,0,0,1,1,1
840,90,001,101,1970,07270,1,3,0,1,1,5,6
840,90,001,101,1970,07310,4,8,3,8,7,22,30
840,90,001,101,1970,07360,0,0,1,2,0,2,3
