countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
840,92,001,101,1982,01320,0,2,0,0,0,1,2
840,92,001,101,1982,01390,1,0,0,0,0,1,1
840,92,001,101,1982,01490,8,0,0,0,0,1,8
840,92,001,101,1982,01520,0,0,7,0,0,3,7
840,92,001,101,1982,01720,0,4,0,0,0,1,4
840,92,001,101,1982,02060,0,2,0,0,0,1,2
840,92,001,101,1982,02240,0,0,1,0,0,1,1
840,92,001,101,1982,02300,1,2,7,3,0,10,13
840,92,001,101,1982,02630,0,1,6,4,0,8,11
840,92,001,101,1982,02730,1,2,1,7,0,8,11
840,92,001,101,1982,03370,0,0,0,2,0,2,2
840,92,001,101,1982,03600,1,0,0,1,0,2,2
840,92,001,101,1982,04130,1,0,1,4,0,5,6
840,92,001,101,1982,04200,5,0,0,0,0,4,5
840,92,001,101,1982,04590,0,0,0,1,2,3,3
840,92,001,101,1982,04679,2,0,0,0,2,4,4
840,92,001,101,1982,04750,0,0,5,0,0,3,5
840,92,001,101,1982,04860,1,2,1,2,1,6,7
840,92,001,101,1982,04880,1,0,0,0,0,1,1
840,92,001,101,1982,04930,1,0,3,0,0,4,4
840,92,001,101,1982,04970,4,0,0,0,0,4,4
840,92,001,101,1982,04980,1,4,3,0,0,5,8
840,92,001,101,1982,05011,6,4,7,2,0,17,19
840,92,001,101,1982,05100,2,2,5,2,0,8,11
840,92,001,101,1982,05180,0,0,0,2,0,1,2
840,92,001,101,1982,05330,1,2,1,2,7,9,13
840,92,001,101,1982,05400,13,6,6,6,0,17,31
840,92,001,101,1982,05420,2,0,10,1,1,9,14
840,92,001,101,1982,05540,2,2,0,5,0,7,9
840,92,001,101,1982,05600,13,5,2,5,4,16,29
840,92,001,101,1982,05620,7,7,8,2,0,18,24
840,92,001,101,1982,05810,1,0,1,0,0,2,2
840,92,001,101,1982,05830,1,2,3,3,0,9,9
840,92,001,101,1982,05900,4,2,1,1,0,8,8
840,92,001,101,1982,06120,0,5,10,100,0,3,115
840,92,001,101,1982,06140,0,0,1,5,0,6,6
840,92,001,101,1982,06150,8,3,0,0,0,10,11
840,92,001,101,1982,06160,0,0,30,0,0,1,30
840,92,001,101,1982,06170,0,0,0,0,4,1,4
840,92,001,101,1982,06270,7,2,1,7,3,16,20
840,92,001,101,1982,06560,2,0,0,3,11,11,16
840,92,001,101,1982,06810,2,0,2,0,0,4,4
840,92,001,101,1982,07020,2,0,0,0,0,2,2
840,92,001,101,1982,07210,0,0,0,0,1,1,1
840,92,001,101,1982,07280,1,0,0,0,0,1,1
840,92,001,101,1982,07490,0,1,0,1,1,3,3
840,92,001,101,1982,07580,0,0,0,0,4,4,4
840,92,001,101,1982,07590,0,0,0,0,2,2,2
840,92,001,101,1982,07610,13,6,4,3,5,21,31
840,92,001,101,1982,07680,0,0,0,1,0,1,1
840,92,001,101,1988,01320,2,1,0,0,0,2,3
840,92,001,101,1988,01370,2,0,0,0,0,2,2
840,92,001,101,1988,01390,1,2,0,0,0,2,3
840,92,001,101,1988,01430,0,1,0,0,0,1,1
840,92,001,101,1988,01810,1,0,0,0,0,1,1
840,92,001,101,1988,01940,1,0,0,0,0,1,1
840,92,001,101,1988,02210,0,2,0,0,0,1,2
840,92,001,101,1988,02630,0,0,1,0,3,3,4
840,92,001,101,1988,02730,0,1,0,0,0,1,1
840,92,001,101,1988,03600,0,0,0,0,1,1,1
840,92,001,101,1988,04130,0,1,3,2,0,6,6
840,92,001,101,1988,04200,2,0,0,0,0,2,2
840,92,001,101,1988,04620,0,0,0,1,1,2,2
840,92,001,101,1988,04660,0,0,0,0,2,2,2
840,92,001,101,1988,04750,0,0,10,0,0,3,10
840,92,001,101,1988,04860,0,1,0,0,0,1,1
840,92,001,101,1988,04910,1,0,0,0,0,1,1
840,92,001,101,1988,04930,0,0,0,4,0,2,4
840,92,001,101,1988,04950,2,0,0,0,0,2,2
840,92,001,101,1988,04970,14,1,0,1,0,8,16
840,92,001,101,1988,04980,1,0,0,0,0,1,1
840,92,001,101,1988,05011,1,6,10,5,0,19,22
840,92,001,101,1988,05100,5,4,8,5,0,12,22
840,92,001,101,1988,05180,0,0,0,2,0,1,2
840,92,001,101,1988,05330,3,0,0,0,2,3,5
840,92,001,101,1988,05400,2,0,0,1,0,3,3
840,92,001,101,1988,05420,4,10,9,8,2,21,33
840,92,001,101,1988,05460,0,2,0,0,0,2,2
840,92,001,101,1988,05540,2,0,0,0,0,2,2
840,92,001,101,1988,05600,8,5,2,3,1,16,19
840,92,001,101,1988,05610,1,1,0,0,0,2,2
840,92,001,101,1988,05671,1,2,4,1,2,7,10
840,92,001,101,1988,05810,3,1,2,1,0,7,7
840,92,001,101,1988,05880,0,0,1,0,0,1,1
840,92,001,101,1988,06120,0,0,23,52,0,8,75
840,92,001,101,1988,06140,0,0,0,2,0,2,2
840,92,001,101,1988,06270,0,0,0,4,1,3,5
840,92,001,101,1988,06560,0,1,0,2,2,5,5
840,92,001,101,1988,06810,2,1,0,0,0,3,3
840,92,001,101,1988,07020,1,1,0,0,0,2,2
840,92,001,101,1988,07040,1,2,0,0,0,3,3
840,92,001,101,1988,07210,0,0,0,2,0,2,2
840,92,001,101,1988,07380,0,0,0,1,2,3,3
840,92,001,101,1988,07480,1,0,0,0,0,1,1
840,92,001,101,1988,07490,0,2,1,3,4,9,10
840,92,001,101,1988,07590,0,0,0,0,3,3,3
840,92,001,101,1988,07610,9,4,3,4,2,19,22
840,92,001,101,1988,07680,0,0,2,0,0,1,2
840,92,001,101,1989,01320,1,2,1,0,0,3,4
840,92,001,101,1989,01940,2,0,0,0,0,1,2
840,92,001,101,1989,02300,0,0,0,1,0,1,1
840,92,001,101,1989,02630,1,0,3,2,0,6,6
840,92,001,101,1989,04130,0,0,1,0,1,2,2
840,92,001,101,1989,04660,1,0,0,1,0,2,2
840,92,001,101,1989,04680,0,1,0,0,0,1,1
840,92,001,101,1989,04750,1,0,0,0,0,1,1
840,92,001,101,1989,04780,0,0,0,1,0,1,1
840,92,001,101,1989,04860,0,2,0,1,0,2,3
840,92,001,101,1989,04910,0,0,0,0,7,2,7
840,92,001,101,1989,04930,0,3,0,2,0,2,5
840,92,001,101,1989,04970,2,0,0,0,0,1,2
840,92,001,101,1989,04980,0,1,0,0,0,1,1
840,92,001,101,1989,05011,1,5,6,4,0,14,16
840,92,001,101,1989,05100,0,1,17,8,0,9,26
840,92,001,101,1989,05330,0,0,0,3,0,1,3
840,92,001,101,1989,05400,1,1,1,0,0,3,3
840,92,001,101,1989,05420,6,4,3,3,0,14,16
840,92,001,101,1989,05600,7,1,0,0,3,10,11
840,92,001,101,1989,05620,1,3,3,2,0,9,9
840,92,001,101,1989,05671,1,0,0,1,3,4,5
840,92,001,101,1989,05810,3,2,3,0,0,7,8
840,92,001,101,1989,05880,1,0,0,0,0,1,1
840,92,001,101,1989,05900,1,1,0,1,0,3,3
840,92,001,101,1989,06120,2,0,150,70,0,3,222
840,92,001,101,1989,06160,0,0,50,0,0,1,50
840,92,001,101,1989,06270,1,0,0,2,2,5,5
840,92,001,101,1989,06560,2,1,0,1,4,7,8
840,92,001,101,1989,06800,0,0,0,0,1,1,1
840,92,001,101,1989,07150,0,1,0,0,0,1,1
840,92,001,101,1989,07210,0,0,0,0,1,1,1
840,92,001,101,1989,07280,0,0,0,0,1,1,1
840,92,001,101,1989,07380,0,0,0,0,2,2,2
840,92,001,101,1989,07490,1,0,0,3,1,3,5
840,92,001,101,1989,07580,0,0,0,1,0,1,1
840,92,001,101,1989,07590,0,0,0,0,1,1,1
840,92,001,101,1989,07610,6,3,4,6,10,23,29
840,92,001,101,1989,07680,0,0,1,0,0,1,1
840,92,001,101,1990,01320,3,0,0,0,0,2,3
840,92,001,101,1990,01370,5,0,0,0,0,1,5
840,92,001,101,1990,01430,0,0,0,1,0,1,1
840,92,001,101,1990,01520,0,0,1,0,0,1,1
840,92,001,101,1990,02300,1,0,0,0,0,1,1
840,92,001,101,1990,02630,0,1,1,2,2,6,6
840,92,001,101,1990,02730,2,3,0,0,0,3,5
840,92,001,101,1990,03930,0,0,1,0,0,1,1
840,92,001,101,1990,04130,0,0,1,1,0,2,2
840,92,001,101,1990,04660,1,0,1,2,1,5,5
840,92,001,101,1990,04860,0,4,1,0,0,4,5
840,92,001,101,1990,04930,0,1,1,0,0,2,2
840,92,001,101,1990,04970,3,0,0,0,0,2,3
840,92,001,101,1990,04980,1,0,0,0,0,1,1
840,92,001,101,1990,05011,0,2,4,1,0,6,7
840,92,001,101,1990,05100,7,4,1,2,0,8,14
840,92,001,101,1990,05330,0,1,1,5,8,7,15
840,92,001,101,1990,05420,7,6,1,5,0,18,19
840,92,001,101,1990,05600,4,2,1,2,2,11,11
840,92,001,101,1990,05610,0,2,1,0,0,3,3
840,92,001,101,1990,05620,2,1,2,0,0,5,5
840,92,001,101,1990,05671,3,1,0,1,0,5,5
840,92,001,101,1990,05810,0,0,1,1,1,3,3
840,92,001,101,1990,05880,1,0,0,0,1,2,2
840,92,001,101,1990,05900,2,2,0,1,0,5,5
840,92,001,101,1990,05990,0,0,0,1,0,1,1
840,92,001,101,1990,06120,0,53,26,32,30,8,141
840,92,001,101,1990,06140,0,0,1,0,0,1,1
840,92,001,101,1990,06150,1,3,1,0,0,3,5
840,92,001,101,1990,06270,0,1,0,0,2,3,3
840,92,001,101,1990,06520,1,0,0,0,0,1,1
840,92,001,101,1990,06560,2,2,0,3,6,9,13
840,92,001,101,1990,06800,0,0,0,1,0,1,1
840,92,001,101,1990,06810,0,1,0,0,0,1,1
840,92,001,101,1990,07210,0,0,0,1,2,3,3
840,92,001,101,1990,07280,0,0,0,0,1,1,1
840,92,001,101,1990,07380,3,0,0,0,2,5,5
840,92,001,101,1990,07480,0,0,0,0,1,1,1
840,92,001,101,1990,07490,1,0,0,5,7,11,13
840,92,001,101,1990,07590,1,0,0,0,2,2,3
840,92,001,101,1990,07610,6,4,2,3,5,16,20
840,92,001,101,1990,07680,1,1,1,1,0,4,4
840,92,001,101,1991,01320,3,0,0,0,0,1,3
840,92,001,101,1991,01390,1,0,0,1,0,2,2
840,92,001,101,1991,01430,0,0,1,0,0,1,1
840,92,001,101,1991,02300,2,0,1,0,0,2,3
840,92,001,101,1991,02630,0,2,3,0,1,6,6
840,92,001,101,1991,03940,0,0,0,0,1,1,1
840,92,001,101,1991,04130,0,1,0,0,0,1,1
840,92,001,101,1991,04590,0,0,0,2,3,5,5
840,92,001,101,1991,04660,1,0,0,1,1,3,3
840,92,001,101,1991,04680,0,0,0,1,1,2,2
840,92,001,101,1991,04750,0,1,0,0,0,1,1
840,92,001,101,1991,04860,0,1,0,1,0,2,2
840,92,001,101,1991,04910,0,0,0,0,1,1,1
840,92,001,101,1991,04930,0,2,0,0,0,1,2
840,92,001,101,1991,04970,3,0,0,0,0,2,3
840,92,001,101,1991,04980,2,0,0,0,0,2,2
840,92,001,101,1991,05011,0,4,0,0,0,3,4
840,92,001,101,1991,05100,0,0,12,2,0,4,14
840,92,001,101,1991,05180,0,1,0,0,1,2,2
840,92,001,101,1991,05290,0,0,1,0,0,1,1
840,92,001,101,1991,05330,0,1,1,2,3,5,7
840,92,001,101,1991,05400,1,0,1,0,0,2,2
840,92,001,101,1991,05420,9,4,6,4,0,18,23
840,92,001,101,1991,05540,1,0,0,0,1,2,2
840,92,001,101,1991,05600,12,4,2,3,5,21,26
840,92,001,101,1991,05610,1,1,1,0,0,3,3
840,92,001,101,1991,05620,4,2,0,0,0,6,6
840,92,001,101,1991,05671,1,1,0,0,5,6,7
840,92,001,101,1991,05810,2,1,2,1,0,6,6
840,92,001,101,1991,05830,1,0,0,0,0,1,1
840,92,001,101,1991,05850,1,1,0,0,0,2,2
840,92,001,101,1991,05880,2,1,0,0,0,3,3
840,92,001,101,1991,05900,1,0,0,1,0,2,2
840,92,001,101,1991,06120,0,0,150,20,0,2,170
840,92,001,101,1991,06130,0,0,5,0,0,1,5
840,92,001,101,1991,06140,0,0,3,0,0,1,3
840,92,001,101,1991,06150,0,1,1,0,1,3,3
840,92,001,101,1991,06270,0,1,0,1,3,5,5
840,92,001,101,1991,06460,1,0,0,0,0,1,1
840,92,001,101,1991,06520,2,1,0,0,0,3,3
840,92,001,101,1991,06560,1,1,1,5,9,15,17
840,92,001,101,1991,06800,1,0,0,1,1,3,3
840,92,001,101,1991,06810,0,2,0,0,0,1,2
840,92,001,101,1991,07280,0,0,0,0,2,2,2
840,92,001,101,1991,07380,0,1,0,0,4,4,5
840,92,001,101,1991,07490,3,0,0,2,10,12,15
840,92,001,101,1991,07540,0,0,0,0,2,2,2
840,92,001,101,1991,07610,4,4,3,5,3,16,19
840,92,001,101,1991,07680,3,1,0,0,0,3,4
840,92,001,101,1992,00060,0,1,0,0,0,1,1
840,92,001,101,1992,01520,0,1,3,0,0,3,4
840,92,001,101,1992,02210,0,1,0,0,0,1,1
840,92,001,101,1992,02630,0,2,2,0,2,5,6
840,92,001,101,1992,03160,0,0,1,0,0,1,1
840,92,001,101,1992,04021,0,0,0,2,0,2,2
840,92,001,101,1992,04130,1,3,2,0,0,5,6
840,92,001,101,1992,04200,2,0,0,0,0,2,2
840,92,001,101,1992,04660,0,0,0,0,1,1,1
840,92,001,101,1992,04860,0,1,1,2,0,4,4
840,92,001,101,1992,04910,0,0,1,0,0,1,1
840,92,001,101,1992,04930,0,6,4,0,0,2,10
840,92,001,101,1992,04950,0,0,1,0,0,1,1
840,92,001,101,1992,04970,7,0,0,0,0,4,7
840,92,001,101,1992,04980,1,0,0,0,0,1,1
