countrynum,statenum,Route,RPID,Year,Aou,count10,count20,count30,count40,count50,StopTotal,SpeciesTotal
124,93,006,101,1986,00070,1,1,0,0,0,2,2
124,93,006,101,1986,00710,0,1,0,0,0,1,1
124,93,006,101,1986,01720,0,2,0,0,0,1,2
124,93,006,101,1986,02300,0,3,2,0,0,5,5
124,93,006,101,1986,04590,1,1,1,0,0,3,3
124,93,006,101,1986,04661,1,5,5,0,0,9,11
124,93,006,101,1986,04680,0,1,0,1,0,2,2
124,93,006,101,1986,04840,4,4,1,0,1,9,10
124,93,006,101,1986,04860,0,1,1,0,1,3,3
124,93,006,101,1986,05170,0,0,2,0,2,3,4
124,93,006,101,1986,05330,0,0,0,0,1,1,1
124,93,006,101,1986,05600,0,0,0,3,0,2,3
124,93,006,101,1986,05670,2,5,3,8,5,17,23
124,93,006,101,1986,05830,0,0,1,0,0,1,1
124,93,006,101,1986,06460,0,2,1,0,0,3,3
124,93,006,101,1986,06550,5,4,2,6,7,19,24
124,93,006,101,1986,06610,0,1,1,2,0,4,4
124,93,006,101,1986,06750,0,5,4,2,1,11,12
124,93,006,101,1986,06850,0,0,1,1,0,2,2
124,93,006,101,1986,07400,0,1,0,1,0,2,2
124,93,006,101,1986,07490,8,3,9,6,5,26,31
124,93,006,101,1986,07580,22,21,11,18,3,39,75
124,93,006,101,1986,07610,4,1,0,0,0,4,5
124,93,006,101,2000,00070,1,0,1,0,0,2,2
124,93,006,101,2000,00510,0,1,0,0,0,1,1
124,93,006,101,2000,02300,0,3,0,0,1,3,4
124,93,006,101,2000,02550,0,1,0,0,0,1,1
124,93,006,101,2000,03900,0,1,1,0,0,2,2
124,93,006,101,2000,03930,0,0,0,0,1,1,1
124,93,006,101,2000,04020,0,1,0,0,0,1,1
124,93,006,101,2000,04120,0,0,0,0,1,1,1
124,93,006,101,2000,04200,1,0,0,0,0,1,1
124,93,006,101,2000,04590,2,4,1,2,0,9,9
124,93,006,101,2000,04661,13,3,11,3,1,18,31
124,93,006,101,2000,04670,5,2,0,0,0,6,7
124,93,006,101,2000,04840,1,3,4,0,3,11,11
124,93,006,101,2000,04860,0,0,3,0,0,2,3
124,93,006,101,2000,05150,1,0,0,0,0,1,1
124,93,006,101,2000,05170,1,1,1,1,0,4,4
124,93,006,101,2000,05220,0,3,14,33,0,14,50
124,93,006,101,2000,05280,1,0,2,0,0,3,3
124,93,006,101,2000,05580,5,0,1,0,0,4,6
124,93,006,101,2000,05600,3,5,2,7,5,18,22
124,93,006,101,2000,05670,7,5,6,1,4,19,23
124,93,006,101,2000,05830,0,0,1,0,0,1,1
124,93,006,101,2000,05850,1,2,0,0,0,3,3
124,93,006,101,2000,05950,0,0,0,1,1,2,2
124,93,006,101,2000,06140,3,3,0,0,0,5,6
124,93,006,101,2000,06180,0,1,1,0,1,3,3
124,93,006,101,2000,06270,1,0,0,1,1,3,3
124,93,006,101,2000,06460,6,1,0,3,0,8,10
124,93,006,101,2000,06470,0,1,3,0,0,4,4
124,93,006,101,2000,06550,4,9,12,11,15,36,51
124,93,006,101,2000,06570,1,0,0,0,0,1,1
124,93,006,101,2000,06610,2,2,2,0,0,6,6
124,93,006,101,2000,06750,0,8,5,1,2,11,16
124,93,006,101,2000,06810,0,2,1,0,0,3,3
124,93,006,101,2000,07280,0,0,1,0,0,1,1
124,93,006,101,2000,07400,0,0,1,6,2,5,9
124,93,006,101,2000,07490,4,6,6,9,11,33,36
124,93,006,101,2000,07580,10,11,12,14,4,34,51
124,93,006,101,2000,07590,5,0,0,0,0,4,5
124,93,006,101,2000,07610,1,3,3,1,1,9,9
124,93,006,101,2000,07630,1,0,2,0,0,3,3
124,93,006,101,2001,00070,0,2,1,0,0,2,3
124,93,006,101,2001,02300,0,2,0,0,0,2,2
124,93,006,101,2001,02550,0,1,0,1,0,2,2
124,93,006,101,2001,04020,0,0,1,0,0,1,1
124,93,006,101,2001,04120,0,0,0,1,0,1,1
124,93,006,101,2001,04590,2,4,0,0,0,6,6
124,93,006,101,2001,04661,12,4,7,1,2,18,26
124,93,006,101,2001,04670,2,4,1,0,0,7,7
124,93,006,101,2001,04840,0,2,1,8,1,7,12
124,93,006,101,2001,04860,0,0,0,1,0,1,1
124,93,006,101,2001,05150,0,0,0,0,1,1,1
124,93,006,101,2001,05170,0,2,2,0,0,3,4
124,93,006,101,2001,05220,0,1,0,0,0,1,1
124,93,006,101,2001,05280,0,1,0,0,0,1,1
124,93,006,101,2001,05330,0,0,2,0,1,3,3
124,93,006,101,2001,05580,8,1,0,0,0,6,9
124,93,006,101,2001,05600,5,2,2,4,1,14,14
124,93,006,101,2001,05670,12,6,7,7,4,27,36
124,93,006,101,2001,05830,0,3,1,0,0,4,4
124,93,006,101,2001,05850,3,1,0,0,0,4,4
124,93,006,101,2001,06140,7,5,0,0,2,11,14
124,93,006,101,2001,06270,1,0,1,2,1,5,5
124,93,006,101,2001,06460,1,0,0,0,0,1,1
124,93,006,101,2001,06470,1,5,3,1,0,10,10
124,93,006,101,2001,06550,4,5,5,11,5,26,30
124,93,006,101,2001,06610,0,0,1,1,0,2,2
124,93,006,101,2001,06750,0,5,3,1,2,10,11
124,93,006,101,2001,06810,0,2,0,0,0,2,2
124,93,006,101,2001,06850,0,2,2,0,0,4,4
124,93,006,101,2001,07280,0,0,0,1,0,1,1
124,93,006,101,2001,07400,0,1,1,2,0,4,4
124,93,006,101,2001,07490,3,5,11,9,8,31,36
124,93,006,101,2001,07580,10,11,5,8,3,26,37
124,93,006,101,2001,07590,3,0,0,0,0,3,3
124,93,006,101,2001,07610,1,1,2,4,0,7,8
124,93,006,101,2001,07630,0,2,0,1,0,3,3
124,93,006,101,2002,00710,0,1,0,0,0,1,1
124,93,006,101,2002,01720,0,0,0,2,0,1,2
124,93,006,101,2002,02140,1,0,0,0,0,1,1
124,93,006,101,2002,02300,0,0,0,1,0,1,1
124,93,006,101,2002,02550,0,2,3,0,0,4,5
124,93,006,101,2002,04020,0,0,0,1,0,1,1
124,93,006,101,2002,04570,0,0,0,0,1,1,1
124,93,006,101,2002,04590,2,1,0,0,0,3,3
124,93,006,101,2002,04661,9,6,6,2,1,15,24
124,93,006,101,2002,04670,2,2,1,0,0,5,5
124,93,006,101,2002,04840,1,7,1,3,2,12,14
124,93,006,101,2002,05170,0,0,1,0,0,1,1
124,93,006,101,2002,05220,16,14,11,9,9,18,59
124,93,006,101,2002,05330,0,1,4,6,1,10,12
124,93,006,101,2002,05580,10,0,0,0,0,5,10
124,93,006,101,2002,05600,2,0,0,3,0,4,5
124,93,006,101,2002,05670,16,6,4,6,2,25,34
124,93,006,101,2002,05830,1,1,1,0,0,3,3
124,93,006,101,2002,05850,1,3,0,0,0,4,4
124,93,006,101,2002,06140,4,2,1,0,0,5,7
124,93,006,101,2002,06180,0,0,0,0,2,2,2
124,93,006,101,2002,06270,0,1,1,0,2,4,4
124,93,006,101,2002,06470,0,1,3,1,0,5,5
124,93,006,101,2002,06550,7,10,6,9,13,34,45
124,93,006,101,2002,06610,2,0,3,0,0,5,5
124,93,006,101,2002,06750,0,8,5,3,1,14,17
124,93,006,101,2002,06810,0,2,0,0,0,2,2
124,93,006,101,2002,06850,0,1,0,0,0,1,1
124,93,006,101,2002,07400,0,0,2,3,0,4,5
124,93,006,101,2002,07490,1,4,9,7,5,25,26
124,93,006,101,2002,07580,19,11,10,15,3,38,58
124,93,006,101,2002,07610,2,2,1,1,0,6,6
124,93,006,101,2002,07630,0,1,1,1,0,3,3
124,93,006,101,2003,00070,0,0,0,1,0,1,1
124,93,006,101,2003,00710,0,1,0,0,0,1,1
124,93,006,101,2003,02550,1,2,0,0,0,3,3
124,93,006,101,2003,04120,1,0,0,0,0,1,1
124,93,006,101,2003,04590,1,1,0,0,0,2,2
124,93,006,101,2003,04620,1,0,0,0,0,1,1
124,93,006,101,2003,04661,8,4,4,1,0,11,17
124,93,006,101,2003,04670,3,5,0,0,0,7,8
124,93,006,101,2003,04840,0,6,7,6,3,17,22
124,93,006,101,2003,04860,0,0,0,1,0,1,1
124,93,006,101,2003,05150,0,0,0,1,0,1,1
124,93,006,101,2003,05220,0,11,0,3,0,4,14
124,93,006,101,2003,05330,0,1,7,7,5,10,20
124,93,006,101,2003,05580,10,1,2,0,0,7,13
124,93,006,101,2003,05600,0,4,0,3,0,5,7
124,93,006,101,2003,05670,17,8,10,12,6,39,53
124,93,006,101,2003,05830,1,2,0,0,0,3,3
124,93,006,101,2003,05850,4,1,0,1,0,5,6
124,93,006,101,2003,06180,0,1,0,0,2,2,3
124,93,006,101,2003,06470,2,1,4,2,1,8,10
124,93,006,101,2003,06520,0,1,4,0,0,4,5
124,93,006,101,2003,06550,4,4,5,8,5,23,26
124,93,006,101,2003,06610,1,2,0,1,0,4,4
124,93,006,101,2003,06750,0,6,4,1,0,10,11
124,93,006,101,2003,06810,0,0,1,0,0,1,1
124,93,006,101,2003,07280,2,0,0,0,0,1,2
124,93,006,101,2003,07400,0,0,0,3,0,2,3
124,93,006,101,2003,07490,1,3,4,8,2,16,18
124,93,006,101,2003,07580,8,12,8,5,2,28,35
124,93,006,101,2003,07590,0,1,0,0,0,1,1
124,93,006,101,2003,07610,1,0,1,2,1,5,5
124,93,006,101,2003,07630,1,0,0,0,0,1,1
124,93,006,101,2004,00020,0,0,0,0,1,1,1
124,93,006,101,2004,00070,1,0,0,1,0,2,2
124,93,006,101,2004,02300,0,1,1,0,1,3,3
124,93,006,101,2004,02550,0,0,2,0,0,2,2
124,93,006,101,2004,03000,1,1,0,0,0,2,2
124,93,006,101,2004,04020,0,0,1,0,0,1,1
124,93,006,101,2004,04590,2,1,3,1,0,7,7
124,93,006,101,2004,04620,0,0,3,0,0,3,3
124,93,006,101,2004,04661,10,3,7,2,0,14,22
124,93,006,101,2004,04670,6,3,0,0,1,7,10
124,93,006,101,2004,04840,1,3,4,1,3,11,12
124,93,006,101,2004,04860,0,0,0,2,0,2,2
124,93,006,101,2004,05150,0,0,0,1,0,1,1
124,93,006,101,2004,05220,1,2,2,1,13,8,19
124,93,006,101,2004,05330,0,1,0,0,0,1,1
124,93,006,101,2004,05540,0,1,0,0,0,1,1
124,93,006,101,2004,05580,8,1,0,0,0,5,9
124,93,006,101,2004,05600,0,0,0,1,0,1,1
124,93,006,101,2004,05670,19,10,8,7,6,32,50
124,93,006,101,2004,05830,1,1,1,0,0,3,3
124,93,006,101,2004,05850,2,3,0,1,0,6,6
124,93,006,101,2004,06140,3,4,0,1,1,8,9
124,93,006,101,2004,06180,0,3,0,0,9,4,12
124,93,006,101,2004,06270,1,1,0,5,2,7,9
124,93,006,101,2004,06460,1,0,0,1,0,2,2
124,93,006,101,2004,06470,12,7,8,4,1,24,32
124,93,006,101,2004,06550,6,5,8,12,13,33,44
