Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Anon1976,Brown & Nicoletto 1991,Anonymous,1976,Cross Florida barge canal restudy report: Wildlife study,Florida Game and Freshwater Fish Commission,4,88,95,8,NULL,3
Anon1987,Brown & Nicoletto 1991,Anonymous,1987,Plants and animals of White Sands: A discussion of dunes ecology with revised checklists,White Sands National Monument; New Mexico,NULL,NULL,NULL,28,NULL,1
Anthony1987,JSTOR,R.G. Anthony; E.D. Forsman; G.S. Green; G. Witmer; S.K. Nelson,1987,Small mammal populations in riparian zones of different-aged coniferous forests,The Murrelet,68,94,102,9,NULL,12
Balciauskas2006,Web of Science,Linas Balciauskas and Ausra Gudaite,2006,Diversity of small mammals in winter season in north-east Lithuania,Acta Zoologica Lituanica,16,137,142,6,NULL,1
Barko2001,UMI,Valerie Ann Barko,2001,Landscape ecology of small mammals; with special reference to the cotton mouse (Peromyscus gossypinus),Southern Illinois University,NULL,1,114,114,NULL,1
Barriere2000,OBrien2009,Patrick Barriere; Violaine Nicolas; Robert Koristan Maro; and Gabriel Yangoundjara,2000,Ecologie et structuration des peuplements de micro-mammiferes musaraignes et rongeurs,Report to ECOFAC-CEE,NULL,NULL,NULL,56,NULL,7
Bartel2005,Ecological Archives,Rebecca A. Bartel; Frederick F. Knowlton; and L. Charles Stoddart,2005,Mammal abundance indices in the northern portion of the Great Basin: 1962 - 1993,Ecology,86,3130,3130,1,NULL,2
Beck2002,UMI,Harald Beck,2002,Population dynamics and biodiversity of small mammals in treefall gaps within an Amazonian rainforest,University of Miami,NULL,1,119,119,NULL,4
Bennett1989,Web of Science,Andrew F. Bennett; M. Schulz; Lindy F. Lumsden; P. Robertson; P.G. Johnson,1989,Pitfall trapping of small mammals in temperate forests of southeastern Australia,Journal of the Australian Mammal Society,12,37,39,3,NULL,3
Bernardo2000,BioOne,Luis Bernardo; Vazquez; Rodrigo A. Medellin; and Guy N. Cameron,2000,Populations and community ecology of small rodents in montane forest of western Mexico,Journal of Mammalogy,81,77,85,9,NULL,2
