Site_ID,Reference_ID,Location,Country,State,Latitude,Longitude,Uncertainty_radius,Elevation_low,Elevation_high,Habitat_description,Habitat_code,Abundance_data_present,Abundance_data_format,Spatial_extent,Study_duration,Time_series,N_years,Notes
1001,Smith2001,Tongass; Dog Island,USA,AK,54.96667,-131.31667,1,0,15,typical SE AK vegetation; bog in center of island; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1002,Smith2001,Tongass; Old Tom Creek,USA,AK,55.38333,-132.41667,1,0,450,typical SE AK vegetation; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1003,Smith2001,Tongass; Rio Roberts,USA,AK,55.7,-132.71667,1,18,76,riparian flood-plain spruce stands; upland evergreen forest; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1004,Smith2001,Tongass; Kadin Island,USA,AK,56.51667,-132.45,1,0,530,loess soils; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1005,Smith2001,Tongass; West Gambier Bay,USA,AK,57.41667,-133.93333,1,0,863,forest; peatland; estuary; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1006,Smith2001,Tongass; Cape Fanshaw,USA,AK,57.21667,-133.48333,1,30,682,cedar forest; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1007,Smith2001,Tongass; Limestone Inlet,USA,AK,58.03333,-133.95,1,0,975,forested; barren and estuary; typical mainland; shoreline; forest,CF,some,raw,1250,1,0,1,NULL
1008,Drost2008,Death Valley National Park,USA,CA,36.461944,-116.866667,90,-86,3368,low elev. desert valley,D,all,raw,NULL,25,0,3,NULL
1009,Drost2008,Joshua Tree National Park,USA,CA,33.837197,-115.952919,49,300,1773,Sonoran/Mojave desert vegetation,DS,all,raw,NULL,24,0,3,NULL
1010,Drost2008,Lake Mead National Recreation Area ,USA,AZ,36,-114.460561,93,191,2156,pine forest; riparian; wetland,MX,all,raw,NULL,17,0,2,NULL
1011,Drost2008,Manzanar National Historic Site,USA,CA,36.727447,-118.153897,2,1170,1210,desert scrub; some riparian and deciduous forest,MX,all,raw,NULL,18,0,3,NULL
1012,Drost2008,Mojave National Preserve,USA,CA,35.042881,-115.40036,180,283,2417,mountainous - elevational gradient including desert scrub and coniferous forest,MX,all,raw,NULL,24,0,3,NULL
1013,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,silvicultural treatment; control,MF,all,raw,37800,17,0,2,NULL
1014,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,silvicultural treatment; group selection,MF,all,raw,37800,17,0,2,NULL
1015,Waldien2005,McDonald-Dunn Research Forest; Oregon Coast Range,USA,OR,44.637175,-123.310781,7,150,500,silvicultural treatment; two-story,MF,all,raw,37800,17,0,2,NULL
