Species_ID,Family,Genus,Species,Species_level
ABBE,Abrocomidae,Abrocoma,bennettii,1
ABLO,Cricetidae,Abrothrix,longipilis,1
ABOL,Cricetidae,Abrothrix,olivaceus,1
ACSP,Muridae,Acomys,spinosissimus,1
ACWI,Muridae,Acomys,wilsoni,1
ACPY,Acrobatidae,Acrobates,pygmaeus,1
AECH,Muridae,Aethomys,chrysophilus,1
AEHI,Muridae,Aethomys,hindei,1
AKAZ,Cricetidae,Akodon,azarae,1
AKCU,Cricetidae,Akodon,cursor,1
AKMO,Cricetidae,Akodon,molinae,1
AKMN,Cricetidae,Akodon,montensis,1
AKSE,Cricetidae,Akodon,serrensis,1
AKSN,Cricetidae,Akodon,sp. nov.,1
ALAL,Cervidae,Alces,alces,1
ALBA,Dipodidae,Allactaga,balikunica,1
ALBU,Dipodidae,Allactaga,bullata,1
ALSI,Dipodidae,Allactaga,sibirica,1
ALCU,Cricetidae,Allocricetulus,curtatus,1
ALRO,Cricetidae,Alticola,roylei,1
ALST,Cricetidae,Alticola,stoliczkanus,1
AMHA,Sciuridae,Ammospermophilus,harrisii,1
AMIN,Sciuridae,Ammospermophilus,interpres,1
AMLE,Sciuridae,Ammospermophilus,leucurus,1
ANBE,Dasyuridae,Antechinus,bellus,1
ANFL,Dasyuridae,Antechinus ,flavipes,1
ANST,Dasyuridae,Antechinus ,stuartii,1
ANSW,Dasyuridae,Antechinus ,swainsonii,1
ANAM,Antilocapridae,Antilocapra,americana,1
APAG,Muridae,Apodemus,agrarius,1
APFL,Muridae,Apodemus,flavicollis,1
APSP,Muridae,Apodemus,speciosus,1
APSY,Muridae,Apodemus,sylvaticus,1
APUR,Muridae,Apodemus,uralensis,1
ARAL,Cricetidae,Arborimus,albipes,1
ARLO,Cricetidae,Arborimus,longicaudus,1
ARAN,Muridae,Arvicanthis,ansorgei,1
ARNI,Muridae,Arvicanthis,niloticus,1
ARRU,Muridae,Arvicanthis,rufinus,1
ARAM,Cricetidae,Arvicola,amphibius,1
ATMA,Hystricidae,Atherurus,macrourus,1
BAMU,Cricetidae,Baiomys,musculus,1
BATA,Cricetidae,Baiomys,taylori,1
BAIN,Muridae,Bandicota,indica,1
BAAS,Procyonidae,Bassariscus ,astutus,1
BEBE,Muridae,Berylmys,berdmorei,1
BIBI,Bovidae,Bison,bison,1
BLBR,Soricidae,Blarina,brevicauda,1
BLCA,Soricidae,Blarina ,carolinensis,1
BLHY,Soricidae,Blarina ,hylophaga,1
BRBR,Cricetidae,Blarinomys,breviceps,1
CATA,Dasypodidae,Cabassous,tatouay,1
CAMO,Pitheciidae,Callicebus,moloch,1
CSCA,Sciuridae,Callosciurus,caniceps,1
CAER,Sciuridae,Callosciurus,erythraeus,1
CANI,Sciuridae,Callosciurus,nigrovittatus,1
CANO,Sciuridae,Callosciurus,notatus,1
CAPR,Sciuridae,Callosciurus,prevostii,1
CLCA,Cricetidae,Calomys,callosus,1
CLLA,Cricetidae,Calomys,laucha,1
CAMU,Cricetidae,Calomys,musculinus,1
CATE,Cricetidae,Calomys,tener,1
CLLN,Didelphidae,Caluromys,lanatus,1
CAPH,Didelphidae,Caluromys,philander,1
CAIR,Didelphidae,Caluromysiops,irrupta,1
CALA,Canidae,Canis,latrans,1
CALU,Canidae,Canis,lupus,1
CAPA,Dipodidae,Cardiocranius,paradoxus,1
CACA,Castoridae,Castor,canadensis,1
CAAP,Caviidae,Cavia,aperea,1
CEAP,Cebidae,Cebus,apella,1
CENA,Burramyidae,Cercartetus,nanus,1
CETH,Canidae,Cerdocyon,thous,1
CEEL,Cervidae,Cervus,elaphus,1
CHBA,Heteromyidae,Chaetodipus,baileyi,1
CHCA,Heteromyidae,Chaetodipus,californicus,1
CHFA,Heteromyidae,Chaetodipus,fallax,1
CHFO,Heteromyidae,Chaetodipus,formosus,1
CHHI,Heteromyidae,Chaetodipus,hispidus,1
CHIN,Heteromyidae,Chaetodipus,intermedius,1
CHNE,Heteromyidae,Chaetodipus,nelsoni,1
CHPE,Heteromyidae,Chaetodipus,penicillatus,1
CHPF,Heteromyidae,Chaetodipus,penicillatus/formosus,2
CHSP,Heteromyidae,Chaetodipus,spinatus,1
CHSX,Heteromyidae,Chaetodipus,spp.,0
CHMA,Cricetidae,Chelemys,macronyx,1
CHNI,Cricetidae,Chionomys,nivalis,1
CHMI,Didelphidae,Chironectes,minimus,1
CHGL,Muridae,Chiropodomys,gliroides,1
CIMA,Muridae,Chiropodomys,major,1
CHBR,Canidae,Chrysocyon,brachyurus,1
COPR,Erethizontidae,Coendou,prehensilis,1
COGO,Muridae,Colomys,goslingi,1
COCR,Talpidae,Condylura,cristata,1
COLE,Mephitidae,Conepatus,leuconotus,1
COSN,Soricidae,Congosorex,sp. nov.,1
CRCA,Geomyidae,Cratogeomys,castanops,1
CREM,Nesomyidae,Cricetomys,emini,1
CRGA,Nesomyidae,Cricetomys,gambianus,1
CCBA,Cricetidae,Cricetulus,barabensis,1
CRLO,Cricetidae,Cricetulus,longicaudatus,1
CRMI,Cricetidae,Cricetulus,migratorius,1
CCCR,Cricetidae,Cricetus,cricetus,1
CRJU,Soricidae,Crocidura, jouvenetae,1
CRBA,Soricidae,Crocidura,batesi,1
CRBU,Soricidae,Crocidura,buettikoferi,1
CRCR,Soricidae,Crocidura,crenata,1
CRCS,Soricidae,Crocidura,crossei,1
CRCY,Soricidae,Crocidura,cyanea,1
CRDE,Soricidae,Crocidura,denti,1
CRDO,Soricidae,Crocidura,dolichura,1
CRFL,Soricidae,Crocidura,flavescens,1
CRFO,Soricidae,Crocidura,foxi,1
CRFU,Soricidae,Crocidura,fuliginosa,1
CRFS,Soricidae,Crocidura,fuscomurina,1
CRGO,Soricidae,Crocidura,goliath,1
